precise	kind	title	path	declaration
c:@F@alBuffer3f	swift.func	alBuffer3f(_:_:_:_:_:)	alBuffer3f(_:_:_:_:_:)	func alBuffer3f(_ bid: ALuint, _ param: ALenum, _ value1: ALfloat, _ value2: ALfloat, _ value3: ALfloat)
c:@F@alBuffer3i	swift.func	alBuffer3i(_:_:_:_:_:)	alBuffer3i(_:_:_:_:_:)	func alBuffer3i(_ bid: ALuint, _ param: ALenum, _ value1: ALint, _ value2: ALint, _ value3: ALint)
c:@F@alBufferData	swift.func	alBufferData(_:_:_:_:_:)	alBufferData(_:_:_:_:_:)	func alBufferData(_ bid: ALuint, _ format: ALenum, _ data: UnsafeRawPointer!, _ size: ALsizei, _ freq: ALsizei)
c:@F@alBufferf	swift.func	alBufferf(_:_:_:)	alBufferf(_:_:_:)	func alBufferf(_ bid: ALuint, _ param: ALenum, _ value: ALfloat)
c:@F@alBufferfv	swift.func	alBufferfv(_:_:_:)	alBufferfv(_:_:_:)	func alBufferfv(_ bid: ALuint, _ param: ALenum, _ values: UnsafePointer<ALfloat>!)
c:@F@alBufferi	swift.func	alBufferi(_:_:_:)	alBufferi(_:_:_:)	func alBufferi(_ bid: ALuint, _ param: ALenum, _ value: ALint)
c:@F@alBufferiv	swift.func	alBufferiv(_:_:_:)	alBufferiv(_:_:_:)	func alBufferiv(_ bid: ALuint, _ param: ALenum, _ values: UnsafePointer<ALint>!)
c:@F@alDeleteBuffers	swift.func	alDeleteBuffers(_:_:)	alDeleteBuffers(_:_:)	func alDeleteBuffers(_ n: ALsizei, _ buffers: UnsafePointer<ALuint>!)
c:@F@alDeleteSources	swift.func	alDeleteSources(_:_:)	alDeleteSources(_:_:)	func alDeleteSources(_ n: ALsizei, _ sources: UnsafePointer<ALuint>!)
c:@F@alDisable	swift.func	alDisable(_:)	alDisable(_:)	func alDisable(_ capability: ALenum)
c:@F@alDistanceModel	swift.func	alDistanceModel(_:)	alDistanceModel(_:)	func alDistanceModel(_ distanceModel: ALenum)
c:@F@alDopplerFactor	swift.func	alDopplerFactor(_:)	alDopplerFactor(_:)	func alDopplerFactor(_ value: ALfloat)
c:@F@alDopplerVelocity	swift.func	alDopplerVelocity(_:)	alDopplerVelocity(_:)	func alDopplerVelocity(_ value: ALfloat)
c:@F@alEnable	swift.func	alEnable(_:)	alEnable(_:)	func alEnable(_ capability: ALenum)
c:@F@alGenBuffers	swift.func	alGenBuffers(_:_:)	alGenBuffers(_:_:)	func alGenBuffers(_ n: ALsizei, _ buffers: UnsafeMutablePointer<ALuint>!)
c:@F@alGenSources	swift.func	alGenSources(_:_:)	alGenSources(_:_:)	func alGenSources(_ n: ALsizei, _ sources: UnsafeMutablePointer<ALuint>!)
c:@F@alGetBoolean	swift.func	alGetBoolean(_:)	alGetBoolean(_:)	func alGetBoolean(_ param: ALenum) -> ALboolean
c:@F@alGetBooleanv	swift.func	alGetBooleanv(_:_:)	alGetBooleanv(_:_:)	func alGetBooleanv(_ param: ALenum, _ data: UnsafeMutablePointer<ALboolean>!)
c:@F@alGetBuffer3f	swift.func	alGetBuffer3f(_:_:_:_:_:)	alGetBuffer3f(_:_:_:_:_:)	func alGetBuffer3f(_ bid: ALuint, _ param: ALenum, _ value1: UnsafeMutablePointer<ALfloat>!, _ value2: UnsafeMutablePointer<ALfloat>!, _ value3: UnsafeMutablePointer<ALfloat>!)
c:@F@alGetBuffer3i	swift.func	alGetBuffer3i(_:_:_:_:_:)	alGetBuffer3i(_:_:_:_:_:)	func alGetBuffer3i(_ bid: ALuint, _ param: ALenum, _ value1: UnsafeMutablePointer<ALint>!, _ value2: UnsafeMutablePointer<ALint>!, _ value3: UnsafeMutablePointer<ALint>!)
c:@F@alGetBufferf	swift.func	alGetBufferf(_:_:_:)	alGetBufferf(_:_:_:)	func alGetBufferf(_ bid: ALuint, _ param: ALenum, _ value: UnsafeMutablePointer<ALfloat>!)
c:@F@alGetBufferfv	swift.func	alGetBufferfv(_:_:_:)	alGetBufferfv(_:_:_:)	func alGetBufferfv(_ bid: ALuint, _ param: ALenum, _ values: UnsafeMutablePointer<ALfloat>!)
c:@F@alGetBufferi	swift.func	alGetBufferi(_:_:_:)	alGetBufferi(_:_:_:)	func alGetBufferi(_ bid: ALuint, _ param: ALenum, _ value: UnsafeMutablePointer<ALint>!)
