precise	kind	title	path	declaration
c:@E@OSLogEntryLogLevel	swift.enum	OSLogEntryLog.Level	OSLogEntryLog.Level	enum Level
c:@E@OSLogEntryLogLevel@OSLogEntryLogLevelDebug	swift.enum.case	OSLogEntryLog.Level.debug	OSLogEntryLog.Level.debug	case debug
c:@E@OSLogEntryLogLevel@OSLogEntryLogLevelError	swift.enum.case	OSLogEntryLog.Level.error	OSLogEntryLog.Level.error	case error
c:@E@OSLogEntryLogLevel@OSLogEntryLogLevelFault	swift.enum.case	OSLogEntryLog.Level.fault	OSLogEntryLog.Level.fault	case fault
c:@E@OSLogEntryLogLevel@OSLogEntryLogLevelInfo	swift.enum.case	OSLogEntryLog.Level.info	OSLogEntryLog.Level.info	case info
c:@E@OSLogEntryLogLevel@OSLogEntryLogLevelNotice	swift.enum.case	OSLogEntryLog.Level.notice	OSLogEntryLog.Level.notice	case notice
c:@E@OSLogEntryLogLevel@OSLogEntryLogLevelUndefined	swift.enum.case	OSLogEntryLog.Level.undefined	OSLogEntryLog.Level.undefined	case undefined
c:@E@OSLogEntrySignpostType	swift.enum	OSLogEntrySignpost.SignpostType	OSLogEntrySignpost.SignpostType	enum SignpostType
c:@E@OSLogEntrySignpostType@OSLogEntrySignpostTypeEvent	swift.enum.case	OSLogEntrySignpost.SignpostType.event	OSLogEntrySignpost.SignpostType.event	case event
c:@E@OSLogEntrySignpostType@OSLogEntrySignpostTypeIntervalBegin	swift.enum.case	OSLogEntrySignpost.SignpostType.intervalBegin	OSLogEntrySignpost.SignpostType.intervalBegin	case intervalBegin
c:@E@OSLogEntrySignpostType@OSLogEntrySignpostTypeIntervalEnd	swift.enum.case	OSLogEntrySignpost.SignpostType.intervalEnd	OSLogEntrySignpost.SignpostType.intervalEnd	case intervalEnd
c:@E@OSLogEntrySignpostType@OSLogEntrySignpostTypeUndefined	swift.enum.case	OSLogEntrySignpost.SignpostType.undefined	OSLogEntrySignpost.SignpostType.undefined	case undefined
c:@E@OSLogEntryStoreCategory	swift.enum	OSLogEntry.StoreCategory	OSLogEntry.StoreCategory	enum StoreCategory
c:@E@OSLogEntryStoreCategory@OSLogEntryStoreCategoryLongTerm1	swift.enum.case	OSLogEntry.StoreCategory.longTerm1	OSLogEntry.StoreCategory.longTerm1	case longTerm1
c:@E@OSLogEntryStoreCategory@OSLogEntryStoreCategoryLongTerm14	swift.enum.case	OSLogEntry.StoreCategory.longTerm14	OSLogEntry.StoreCategory.longTerm14	case longTerm14
