precise	kind	title	path	declaration
c:@M@PaperKit@objc(cs)MarkupEditViewController	swift.class	MarkupEditViewController	MarkupEditViewController	@MainActor @objc @preconcurrency class MarkupEditViewController
c:@M@PaperKit@objc(cs)MarkupEditViewController(im)viewDidLoad	swift.method	viewDidLoad()	MarkupEditViewController.viewDidLoad()	@MainActor @preconcurrency override dynamic func viewDidLoad()
c:@M@PaperKit@objc(cs)PaperMarkupViewController	swift.class	PaperMarkupViewController	PaperMarkupViewController	@MainActor @objc @preconcurrency class PaperMarkupViewController
c:@M@PaperKit@objc(cs)PaperMarkupViewController(im)toolPickerIsRulerActiveDidChange:	swift.method	toolPickerIsRulerActiveDidChange(_:)	PaperMarkupViewController.toolPickerIsRulerActiveDidChange(_:)	@MainActor @preconcurrency func toolPickerIsRulerActiveDidChange(_ toolPicker: PKToolPicker)
c:@M@PaperKit@objc(cs)PaperMarkupViewController(im)toolPickerSelectedToolItemDidChange:	swift.method	toolPickerSelectedToolItemDidChange(_:)	PaperMarkupViewController.toolPickerSelectedToolItemDidChange(_:)	@MainActor @preconcurrency func toolPickerSelectedToolItemDidChange(_ toolPicker: PKToolPicker)
c:@M@PaperKit@objc(cs)PaperMarkupViewController(im)viewDidLoad	swift.method	viewDidLoad()	PaperMarkupViewController.viewDidLoad()	@MainActor @preconcurrency override dynamic func viewDidLoad()
c:@M@PaperKit@objc(cs)PaperMarkupViewController(py)canBecomeFirstResponder	swift.property	canBecomeFirstResponder	PaperMarkupViewController.canBecomeFirstResponder	@MainActor @preconcurrency override dynamic var canBecomeFirstResponder: Bool { get }
c:@M@PaperKit@objc(cs)PaperMarkupViewController(py)undoManager	swift.property	undoManager	PaperMarkupViewController.undoManager	@MainActor @preconcurrency override dynamic var undoManager: UndoManager? { get }
s:22UniformTypeIdentifiers6UTTypeV8PaperKitE8paperkitACvpZ	swift.type.property	paperkit	UTType.paperkit	static let paperkit: UTType
s:8PaperKit0A20MarkupViewControllerC07contentD0So6UIViewCSgvp	swift.property	contentView	PaperMarkupViewController.contentView	@MainActor @preconcurrency var contentView: UIView? { get set }
s:8PaperKit0A20MarkupViewControllerC08selectedC0AA0aC0Vvp	swift.property	selectedMarkup	PaperMarkupViewController.selectedMarkup	@MainActor @preconcurrency var selectedMarkup: PaperMarkup { get set }
s:8PaperKit0A20MarkupViewControllerC10isEditableSbvp	swift.property	isEditable	PaperMarkupViewController.isEditable	@MainActor @preconcurrency var isEditable: Bool { get set }
s:8PaperKit0A20MarkupViewControllerC11drawingTool06PencilB06PKTool_pvp	swift.property	drawingTool	PaperMarkupViewController.drawingTool	@MainActor @preconcurrency var drawingTool: any PKTool { get set }
s:8PaperKit0A20MarkupViewControllerC13isRulerActiveSbvp	swift.property	isRulerActive	PaperMarkupViewController.isRulerActive	@MainActor @preconcurrency var isRulerActive: Bool { get set }
s:8PaperKit0A20MarkupViewControllerC15directTouchModeAC0gH0Ovp	swift.property	directTouchMode	PaperMarkupViewController.directTouchMode	@MainActor @preconcurrency var directTouchMode: PaperMarkupViewController.TouchMode { get set }
s:8PaperKit0A20MarkupViewControllerC19contentVisibleFrameSo6CGRectVvp	swift.property	contentVisibleFrame	PaperMarkupViewController.contentVisibleFrame	@MainActor @preconcurrency var contentVisibleFrame: CGRect { get set }
s:8PaperKit0A20MarkupViewControllerC19supportedFeatureSetAA0gH0Vvp	swift.property	supportedFeatureSet	PaperMarkupViewController.supportedFeatureSet	@MainActor @preconcurrency var supportedFeatureSet: FeatureSet { get }
s:8PaperKit0A20MarkupViewControllerC22setContentVisibleFrame_8animatedySo6CGRectV_SbtF	swift.method	setContentVisibleFrame(_:animated:)	PaperMarkupViewController.setContentVisibleFrame(_:animated:)	@MainActor @preconcurrency func setContentVisibleFrame(_ rect: CGRect, animated: Bool)
s:8PaperKit0A20MarkupViewControllerC24indirectPointerTouchModeAC0hI0Ovp	swift.property	indirectPointerTouchMode	PaperMarkupViewController.indirectPointerTouchMode	@MainActor @preconcurrency var indirectPointerTouchMode: PaperMarkupViewController.TouchMode { get set }
s:8PaperKit0A20MarkupViewControllerC26suggestedFrameForInserting09contentInG0So6CGRectVAG_tF	swift.method	suggestedFrameForInserting(contentInFrame:)	PaperMarkupViewController.suggestedFrameForInserting(contentInFrame:)	@MainActor @preconcurrency func suggestedFrameForInserting(contentInFrame frame: CGRect) -> CGRect
s:8PaperKit0A20MarkupViewControllerC28showsVerticalScrollIndicatorSbvp	swift.property	showsVerticalScrollIndicator	PaperMarkupViewController.showsVerticalScrollIndicator	@MainActor @preconcurrency var showsVerticalScrollIndicator: Bool { get set }
