precise	status	evidence	notes
c:@CM@PassKit@@objc(cs)PKStoredValuePassProperties(py)isBlocked	implemented	test:full/passkit/tests/agent/PassKitCorpusTests.swift#testSecureElementPassFailClosed	Focused Linux host evidence; not Apple-runtime parity.
c:@CM@PassKit@@objc(cs)PKSuicaPassProperties(py)isBlocked	implemented	test:full/passkit/tests/agent/PassKitCorpusTests.swift#testSecureElementPassFailClosed	Focused Linux host evidence; not Apple-runtime parity.
c:@CM@PassKit@@objc(cs)PKTransitPassProperties(py)isBlocked	implemented	test:full/passkit/tests/agent/PassKitCorpusTests.swift#testSecureElementPassFailClosed	Focused Linux host evidence; not Apple-runtime parity.
c:@E@PKAddIdentityDocumentType	implemented	test:full/passkit/tests/agent/PassKitCorpusTests.swift#testCorpusValueStores	Focused Linux host evidence; not Apple-runtime parity.
c:@E@PKAddIdentityDocumentType@PKAddIdentityDocumentTypeIDCard	implemented	test:full/passkit/tests/agent/PassKitCorpusTests.swift#testCorpusValueStores	Focused Linux host evidence; not Apple-runtime parity.
c:@E@PKAddIdentityDocumentType@PKAddIdentityDocumentTypeMDL	implemented	test:full/passkit/tests/agent/PassKitCorpusTests.swift#testCorpusValueStores	Focused Linux host evidence; not Apple-runtime parity.
c:@E@PKAddIdentityDocumentType@PKAddIdentityDocumentTypePhotoID	implemented	test:full/passkit/tests/agent/PassKitCorpusTests.swift#testCorpusValueStores	Focused Linux host evidence; not Apple-runtime parity.
c:@E@PKAddPassButtonStyle	implemented	test:full/passkit/tests/agent/PassKitTests.swift#testPaymentButtonEnums	Focused Linux host evidence; not Apple-runtime parity.
c:@E@PKAddPassButtonStyle@PKAddPassButtonStyleBlack	implemented	test:full/passkit/tests/agent/PassKitTests.swift#testPaymentButtonEnums	Focused Linux host evidence; not Apple-runtime parity.
c:@E@PKAddPassButtonStyle@PKAddPassButtonStyleBlackOutline	implemented	test:full/passkit/tests/agent/PassKitTests.swift#testPaymentButtonEnums	Focused Linux host evidence; not Apple-runtime parity.
c:@E@PKAddPaymentPassError	implemented	test:full/passkit/tests/agent/PassKitCorpusTests.swift#testAddPaymentPassValueStores	Focused Linux host evidence; not Apple-runtime parity.
c:@E@PKAddPaymentPassError@PKAddPaymentPassErrorSystemCancelled	implemented	test:full/passkit/tests/agent/PassKitCorpusTests.swift#testAddPaymentPassValueStores	Focused Linux host evidence; not Apple-runtime parity.
c:@E@PKAddPaymentPassError@PKAddPaymentPassErrorUnsupported	implemented	test:full/passkit/tests/agent/PassKitCorpusTests.swift#testAddPaymentPassValueStores	Focused Linux host evidence; not Apple-runtime parity.
c:@E@PKAddPaymentPassError@PKAddPaymentPassErrorUserCancelled	implemented	test:full/passkit/tests/agent/PassKitCorpusTests.swift#testAddPaymentPassValueStores	Focused Linux host evidence; not Apple-runtime parity.
c:@E@PKAddPaymentPassStyle	implemented	test:full/passkit/tests/agent/PassKitCorpusTests.swift#testAddPaymentPassValueStores	Focused Linux host evidence; not Apple-runtime parity.
c:@E@PKAddPaymentPassStyle@PKAddPaymentPassStyleAccess	implemented	test:full/passkit/tests/agent/PassKitCorpusTests.swift#testAddPaymentPassValueStores	Focused Linux host evidence; not Apple-runtime parity.
c:@E@PKAddPaymentPassStyle@PKAddPaymentPassStylePayment	implemented	test:full/passkit/tests/agent/PassKitCorpusTests.swift#testAddPaymentPassValueStores	Focused Linux host evidence; not Apple-runtime parity.
c:@E@PKAddSecureElementPassErrorCode	implemented	test:full/passkit/tests/agent/PassKitTests.swift#testPaymentErrors	Focused Linux host evidence; not Apple-runtime parity.
c:@E@PKAddSecureElementPassErrorCode@PKAddSecureElementPassDeviceNotReadyError	implemented	test:full/passkit/tests/agent/PassKitTests.swift#testPaymentErrors	Focused Linux host evidence; not Apple-runtime parity.
c:@E@PKAddSecureElementPassErrorCode@PKAddSecureElementPassDeviceNotSupportedError	implemented	test:full/passkit/tests/agent/PassKitTests.swift#testPaymentErrors	Focused Linux host evidence; not Apple-runtime parity.
c:@E@PKAddSecureElementPassErrorCode@PKAddSecureElementPassGenericError	implemented	test:full/passkit/tests/agent/PassKitTests.swift#testPaymentErrors	Focused Linux host evidence; not Apple-runtime parity.
c:@E@PKAddSecureElementPassErrorCode@PKAddSecureElementPassInvalidConfigurationError	implemented	test:full/passkit/tests/agent/PassKitTests.swift#testPaymentErrors	Focused Linux host evidence; not Apple-runtime parity.
c:@E@PKAddSecureElementPassErrorCode@PKAddSecureElementPassOSVersionNotSupportedError	implemented	test:full/passkit/tests/agent/PassKitTests.swift#testPaymentErrors	Focused Linux host evidence; not Apple-runtime parity.
c:@E@PKAddSecureElementPassErrorCode@PKAddSecureElementPassUnavailableError	implemented	test:full/passkit/tests/agent/PassKitTests.swift#testPaymentErrors	Focused Linux host evidence; not Apple-runtime parity.
c:@E@PKAddSecureElementPassErrorCode@PKAddSecureElementPassUserCanceledError	implemented	test:full/passkit/tests/agent/PassKitTests.swift#testPaymentErrors	Focused Linux host evidence; not Apple-runtime parity.
c:@E@PKAddShareablePassConfigurationPrimaryAction	implemented	test:full/passkit/tests/agent/PassKitCorpusTests.swift#testCorpusValueStores	Focused Linux host evidence; not Apple-runtime parity.
c:@E@PKAddShareablePassConfigurationPrimaryAction@PKAddShareablePassConfigurationPrimaryActionAdd	implemented	test:full/passkit/tests/agent/PassKitCorpusTests.swift#testCorpusValueStores	Focused Linux host evidence; not Apple-runtime parity.
c:@E@PKAddShareablePassConfigurationPrimaryAction@PKAddShareablePassConfigurationPrimaryActionShare	implemented	test:full/passkit/tests/agent/PassKitCorpusTests.swift#testCorpusValueStores	Focused Linux host evidence; not Apple-runtime parity.
c:@E@PKAddressField	implemented	test:full/passkit/tests/agent/PassKitTests.swift#testAddressAndContactFields	Focused Linux host evidence; not Apple-runtime parity.
c:@E@PKAddressField@PKAddressFieldAll	implemented	test:full/passkit/tests/agent/PassKitTests.swift#testAddressAndContactFields	Focused Linux host evidence; not Apple-runtime parity.
c:@E@PKAddressField@PKAddressFieldEmail	implemented	test:full/passkit/tests/agent/PassKitTests.swift#testAddressAndContactFields	Focused Linux host evidence; not Apple-runtime parity.
c:@E@PKAddressField@PKAddressFieldName	implemented	test:full/passkit/tests/agent/PassKitTests.swift#testAddressAndContactFields	Focused Linux host evidence; not Apple-runtime parity.
c:@E@PKAddressField@PKAddressFieldPhone	implemented	test:full/passkit/tests/agent/PassKitTests.swift#testAddressAndContactFields	Focused Linux host evidence; not Apple-runtime parity.
c:@E@PKAddressField@PKAddressFieldPostalAddress	implemented	test:full/passkit/tests/agent/PassKitTests.swift#testAddressAndContactFields	Focused Linux host evidence; not Apple-runtime parity.
c:@E@PKApplePayLaterAvailability	implemented	test:full/passkit/tests/agent/PassKitCorpusTests.swift#testCorpusValueStores	Focused Linux host evidence; not Apple-runtime parity.
c:@E@PKApplePayLaterAvailability@PKApplePayLaterAvailable	implemented	test:full/passkit/tests/agent/PassKitCorpusTests.swift#testCorpusValueStores	Focused Linux host evidence; not Apple-runtime parity.
c:@E@PKApplePayLaterAvailability@PKApplePayLaterUnavailableItemIneligible	implemented	test:full/passkit/tests/agent/PassKitCorpusTests.swift#testCorpusValueStores	Focused Linux host evidence; not Apple-runtime parity.
c:@E@PKApplePayLaterAvailability@PKApplePayLaterUnavailableRecurringTransaction	implemented	test:full/passkit/tests/agent/PassKitCorpusTests.swift#testCorpusValueStores	Focused Linux host evidence; not Apple-runtime parity.
c:@E@PKAutomaticPassPresentationSuppressionResult	implemented	test:full/passkit/tests/agent/PassKitCorpusTests.swift#testCorpusValueStores	Focused Linux host evidence; not Apple-runtime parity.
c:@E@PKAutomaticPassPresentationSuppressionResult@PKAutomaticPassPresentationSuppressionResultAlreadyPresenting	implemented	test:full/passkit/tests/agent/PassKitCorpusTests.swift#testCorpusValueStores	Focused Linux host evidence; not Apple-runtime parity.
c:@E@PKAutomaticPassPresentationSuppressionResult@PKAutomaticPassPresentationSuppressionResultCancelled	implemented	test:full/passkit/tests/agent/PassKitCorpusTests.swift#testCorpusValueStores	Focused Linux host evidence; not Apple-runtime parity.
c:@E@PKAutomaticPassPresentationSuppressionResult@PKAutomaticPassPresentationSuppressionResultDenied	implemented	test:full/passkit/tests/agent/PassKitCorpusTests.swift#testCorpusValueStores	Focused Linux host evidence; not Apple-runtime parity.
c:@E@PKAutomaticPassPresentationSuppressionResult@PKAutomaticPassPresentationSuppressionResultNotSupported	implemented	test:full/passkit/tests/agent/PassKitCorpusTests.swift#testCorpusValueStores	Focused Linux host evidence; not Apple-runtime parity.
c:@E@PKAutomaticPassPresentationSuppressionResult@PKAutomaticPassPresentationSuppressionResultSuccess	implemented	test:full/passkit/tests/agent/PassKitCorpusTests.swift#testCorpusValueStores	Focused Linux host evidence; not Apple-runtime parity.
c:@E@PKBarcodeEventConfigurationDataType	implemented	test:full/passkit/tests/agent/PassKitCorpusTests.swift#testCorpusValueStores	Focused Linux host evidence; not Apple-runtime parity.
c:@E@PKBarcodeEventConfigurationDataType@PKBarcodeEventConfigurationDataTypeSigningCertificate	implemented	test:full/passkit/tests/agent/PassKitCorpusTests.swift#testCorpusValueStores	Focused Linux host evidence; not Apple-runtime parity.
c:@E@PKBarcodeEventConfigurationDataType@PKBarcodeEventConfigurationDataTypeSigningKeyMaterial	implemented	test:full/passkit/tests/agent/PassKitCorpusTests.swift#testCorpusValueStores	Focused Linux host evidence; not Apple-runtime parity.
c:@E@PKBarcodeEventConfigurationDataType@PKBarcodeEventConfigurationDataTypeUnknown	implemented	test:full/passkit/tests/agent/PassKitCorpusTests.swift#testCorpusValueStores	Focused Linux host evidence; not Apple-runtime parity.
c:@E@PKDisbursementErrorCode	implemented	test:full/passkit/tests/agent/PassKitCorpusTests.swift#testCorpusValueStores	Focused Linux host evidence; not Apple-runtime parity.
c:@E@PKDisbursementErrorCode@PKDisbursementRecipientContactInvalidError	implemented	test:full/passkit/tests/agent/PassKitCorpusTests.swift#testCorpusValueStores	Focused Linux host evidence; not Apple-runtime parity.
c:@E@PKDisbursementErrorCode@PKDisbursementUnknownError	implemented	test:full/passkit/tests/agent/PassKitCorpusTests.swift#testCorpusValueStores	Focused Linux host evidence; not Apple-runtime parity.
