precise	graphKind	graphPath	status	basis	rawCandidateCount	compatibleCandidateCount	selectedNodePath	candidateNodePaths
c:@CM@PassKit@@objc(cs)PKStoredValuePassProperties(py)isBlocked	swift.property	["PKStoredValuePassProperties","isBlocked"]	exact-usr	exact-usr	1	1	/ABIRoot/children/82/children/0	["/ABIRoot/children/82/children/0"]
c:@CM@PassKit@@objc(cs)PKSuicaPassProperties(py)isBlocked	swift.property	["PKSuicaPassProperties","isBlocked"]	exact-usr	exact-usr	1	1	/ABIRoot/children/84/children/0	["/ABIRoot/children/84/children/0"]
c:@CM@PassKit@@objc(cs)PKTransitPassProperties(py)isBlocked	swift.property	["PKTransitPassProperties","isBlocked"]	exact-usr	exact-usr	1	1	/ABIRoot/children/83/children/0	["/ABIRoot/children/83/children/0"]
c:@E@PKAddIdentityDocumentType	swift.enum	["PKAddIdentityDocumentType"]	unmatched	none	0	0		[]
c:@E@PKAddIdentityDocumentType@PKAddIdentityDocumentTypeIDCard	swift.enum.case	["PKAddIdentityDocumentType","idCard"]	unmatched	none	0	0		[]
c:@E@PKAddIdentityDocumentType@PKAddIdentityDocumentTypeMDL	swift.enum.case	["PKAddIdentityDocumentType","mDL"]	unmatched	none	0	0		[]
c:@E@PKAddIdentityDocumentType@PKAddIdentityDocumentTypePhotoID	swift.enum.case	["PKAddIdentityDocumentType","photoID"]	unmatched	none	0	0		[]
c:@E@PKAddPassButtonStyle	swift.enum	["PKAddPassButtonStyle"]	unmatched	none	0	0		[]
c:@E@PKAddPassButtonStyle@PKAddPassButtonStyleBlack	swift.enum.case	["PKAddPassButtonStyle","black"]	unmatched	none	0	0		[]
c:@E@PKAddPassButtonStyle@PKAddPassButtonStyleBlackOutline	swift.enum.case	["PKAddPassButtonStyle","blackOutline"]	unmatched	none	0	0		[]
c:@E@PKAddPaymentPassError	swift.enum	["PKAddPaymentPassError"]	unmatched	none	0	0		[]
c:@E@PKAddPaymentPassError@PKAddPaymentPassErrorSystemCancelled	swift.enum.case	["PKAddPaymentPassError","systemCancelled"]	unmatched	none	0	0		[]
c:@E@PKAddPaymentPassError@PKAddPaymentPassErrorUnsupported	swift.enum.case	["PKAddPaymentPassError","unsupported"]	unmatched	none	0	0		[]
c:@E@PKAddPaymentPassError@PKAddPaymentPassErrorUserCancelled	swift.enum.case	["PKAddPaymentPassError","userCancelled"]	unmatched	none	0	0		[]
c:@E@PKAddPaymentPassStyle	swift.enum	["PKAddPaymentPassStyle"]	unmatched	none	0	0		[]
c:@E@PKAddPaymentPassStyle@PKAddPaymentPassStyleAccess	swift.enum.case	["PKAddPaymentPassStyle","access"]	unmatched	none	0	0		[]
c:@E@PKAddPaymentPassStyle@PKAddPaymentPassStylePayment	swift.enum.case	["PKAddPaymentPassStyle","payment"]	unmatched	none	0	0		[]
c:@E@PKAddSecureElementPassErrorCode	swift.enum	["PKAddSecureElementPassError","Code"]	exact-usr	exact-usr	3	1	/ABIRoot/children/66/children/3	["/ABIRoot/children/66","/ABIRoot/children/66/children/3","/ABIRoot/children/66/children/3/children/3"]
c:@E@PKAddSecureElementPassErrorCode@PKAddSecureElementPassDeviceNotReadyError	swift.enum.case	["PKAddSecureElementPassError","Code","deviceNotReadyError"]	exact-usr	exact-usr	2	1	/ABIRoot/children/66/children/3/children/10	["/ABIRoot/children/66/children/10","/ABIRoot/children/66/children/3/children/10"]
c:@E@PKAddSecureElementPassErrorCode@PKAddSecureElementPassDeviceNotSupportedError	swift.enum.case	["PKAddSecureElementPassError","Code","deviceNotSupportedError"]	exact-usr	exact-usr	2	1	/ABIRoot/children/66/children/3/children/9	["/ABIRoot/children/66/children/3/children/9","/ABIRoot/children/66/children/9"]
c:@E@PKAddSecureElementPassErrorCode@PKAddSecureElementPassGenericError	swift.enum.case	["PKAddSecureElementPassError","Code","genericError"]	exact-usr	exact-usr	2	1	/ABIRoot/children/66/children/3/children/4	["/ABIRoot/children/66/children/3/children/4","/ABIRoot/children/66/children/4"]
c:@E@PKAddSecureElementPassErrorCode@PKAddSecureElementPassInvalidConfigurationError	swift.enum.case	["PKAddSecureElementPassError","Code","invalidConfigurationError"]	exact-usr	exact-usr	2	1	/ABIRoot/children/66/children/3/children/8	["/ABIRoot/children/66/children/3/children/8","/ABIRoot/children/66/children/8"]
c:@E@PKAddSecureElementPassErrorCode@PKAddSecureElementPassOSVersionNotSupportedError	swift.enum.case	["PKAddSecureElementPassError","Code","osVersionNotSupportedError"]	exact-usr	exact-usr	2	1	/ABIRoot/children/66/children/3/children/11	["/ABIRoot/children/66/children/11","/ABIRoot/children/66/children/3/children/11"]
