category	sdkRelativePath	size	sha256
header	System/Library/Frameworks/PassKit.framework/Headers/PKAddCarKeyPassConfiguration.h	1022	6a789818184de862bdcb4f682b3a075ac78def37d4e57ef045adf0b71dcae1de
header	System/Library/Frameworks/PassKit.framework/Headers/PKAddIdentityDocumentConfiguration.h	8167	9f227f262cd2f9f2629325a27762a2d3a30fa5a35b7600f54b00d4a546cf40dd
header	System/Library/Frameworks/PassKit.framework/Headers/PKAddPassButton.h	1192	c93f9fd4cb2049ea132b11aea610c9985f057728b4c47d0e4712589387d19719
header	System/Library/Frameworks/PassKit.framework/Headers/PKAddPassesViewController.h	1425	7999f47105c23e620124ce8d2ec01227dff0a7ce02dd75d377bf4be7a858f1d5
header	System/Library/Frameworks/PassKit.framework/Headers/PKAddPaymentPassRequest.h	2724	6e5a1a973b262cb68197d05762bf927fdbdc554d378e60b1c57ee9876ee44f83
header	System/Library/Frameworks/PassKit.framework/Headers/PKAddPaymentPassViewController.h	2341	6aa8fe88cde7f9f1ce4bff27554abd3a9eec063ce3bf3ab5b71113ee68b06208
header	System/Library/Frameworks/PassKit.framework/Headers/PKAddSecureElementPassConfiguration.h	1933	cc38befaf777cf56a68ab29af68e151e992571c3882663e1b0b727548ec34cef
header	System/Library/Frameworks/PassKit.framework/Headers/PKAddSecureElementPassViewController.h	1931	e28dbbe5a60b1d13c811888d0286ec70c849c1b97a59aefea1a00461de9ce6c4
header	System/Library/Frameworks/PassKit.framework/Headers/PKAddShareablePassConfiguration.h	8340	f2ca8e0857864172affee9c426ded1cdab98ecac0d68399eda55ebfcb1f43e72
header	System/Library/Frameworks/PassKit.framework/Headers/PKAutomaticReloadPaymentRequest.h	2360	21714022d1f0f7b6b0beec4079500a64ed312ca63321d067d49377fd8d1b7895
header	System/Library/Frameworks/PassKit.framework/Headers/PKAutomaticReloadPaymentSummaryItem.h	806	c5a487fca460f1226b7189fe807a2c168217fd05178f93e0a761d4aa29cf8794
header	System/Library/Frameworks/PassKit.framework/Headers/PKBarcodeEventMetadataRequest.h	2420	d2a1bf847b06ac7b723fec186f31aa3a9ea5d22d69b9e24f7b64b503bafeeafd
header	System/Library/Frameworks/PassKit.framework/Headers/PKConstants.h	9234	239a46f0d215f3a083bb87a9d88473b11d280ba454b6e72ca6121429b02d57bd
header	System/Library/Frameworks/PassKit.framework/Headers/PKContact.h	1215	139cfc3453410537c227d67fad4ec5c2b079009b74bf9c070018ed6e9cd4c475
header	System/Library/Frameworks/PassKit.framework/Headers/PKDateComponentsRange.h	982	dbd09b13ac1c4a9489d5be210d216a5fae2a2358843c4e60dda039896263ba42
header	System/Library/Frameworks/PassKit.framework/Headers/PKDeferredPaymentRequest.h	2786	656b88d98ca7297ed7c4ce736e2f0dd19e3c0bbec13204d3c2a711b9dd81b680
header	System/Library/Frameworks/PassKit.framework/Headers/PKDeferredPaymentSummaryItem.h	731	fd2e0cf1b2724ea0134741da4fc15633c95ddc4b912fa90a9784895d53db4e7e
header	System/Library/Frameworks/PassKit.framework/Headers/PKDisbursementRequest.h	3676	133f0d1a8a9827917efd787fc3d60c02a9edf33df4586cc3ed76bd34512ea4a3
header	System/Library/Frameworks/PassKit.framework/Headers/PKDisbursementSummaryItem.h	501	48ec5a681385780991de7a5c516919a8686f5e0ff3ace5a0985954c859300ef9
header	System/Library/Frameworks/PassKit.framework/Headers/PKError.h	5199	b5a8a03296e6dc5d090725d303d71c586315b210b068268e23ebe9930f7fa508
header	System/Library/Frameworks/PassKit.framework/Headers/PKIdentityAuthorizationController.h	2252	4f08c0fa527200a6aecf2405716d9e3690ea57a445a4e3a4f2c8e719e2d2e8a9
header	System/Library/Frameworks/PassKit.framework/Headers/PKIdentityButton.h	2103	ce24043d5f671e24a44c147b8f78992d8a24bc5bf3ba8c239a79196dd989cfea
header	System/Library/Frameworks/PassKit.framework/Headers/PKIdentityDocument.h	998	c3e09fa065b2591f20a41045623212631336d19f42f8a5f63d70d0d2c8961f38
header	System/Library/Frameworks/PassKit.framework/Headers/PKIdentityDocumentDescriptor.h	3240	3d27f203b6afc1c8f533d57c2414c5b1499a6c42a9c1d651ded3fd73cbeb19e6
header	System/Library/Frameworks/PassKit.framework/Headers/PKIdentityElement.h	4062	af65827d720a98308f8fe6abab0457e1402e969c50fbbbe2c9897c3e0a7f566a
header	System/Library/Frameworks/PassKit.framework/Headers/PKIdentityError.h	1671	8d558b959b9b7c9fcff81fc7062e537cc758a2372b75654bc827d5d74f99681d
header	System/Library/Frameworks/PassKit.framework/Headers/PKIdentityIntentToStore.h	1391	c4d3d9e3d27d5e31c3f4f06ee5d0dc812d2edc7a537e8a10bb9b5bb04e03be3a
header	System/Library/Frameworks/PassKit.framework/Headers/PKIdentityRequest.h	1293	b7571ee85c0febe3761fc8dbf8076f0f4c8b5c758f49217a5df3b3edc9cbb2ad
header	System/Library/Frameworks/PassKit.framework/Headers/PKInstantFundsOutFeeSummaryItem.h	739	b00bb0f6f6ef5d3830fc070a4377f1264343616fcb4a075fde486d894b25d464
header	System/Library/Frameworks/PassKit.framework/Headers/PKIssuerProvisioningExtensionAuthorizationProviding.h	1010	634c335170bcceddd4dc05c72a2dc70d00c5777e11d3e0718c9ddd799b73655e
header	System/Library/Frameworks/PassKit.framework/Headers/PKIssuerProvisioningExtensionHandler.h	2070	c54bbadcf8123f5ed8ff3eebf219b6483a36c6afe61f1e3963b8cca69b199c7d
header	System/Library/Frameworks/PassKit.framework/Headers/PKIssuerProvisioningExtensionPassEntry.h	924	1ba89a9eb5f1edadb68c62ba693989b050f2974d712147104df84658a9fe2962
header	System/Library/Frameworks/PassKit.framework/Headers/PKIssuerProvisioningExtensionPaymentPassEntry.h	1270	1fbc9165a84cb463ecd6ae04624a5ead001d430846ba890803146daf90977456
header	System/Library/Frameworks/PassKit.framework/Headers/PKIssuerProvisioningExtensionStatus.h	1032	9e67ec9b08eadf9b0aa24261aafc09bed094ded881a31dfc6795ea945a58d753
header	System/Library/Frameworks/PassKit.framework/Headers/PKLabeledValue.h	644	0fc9c7235f947631894e293e32286593919a7b7ee7a4ab28b3a445177b338221
header	System/Library/Frameworks/PassKit.framework/Headers/PKObject.h	381	0a61cd5c9ae7cdb3384e553408b06274f72d0207762b8b68a151e94508ff1362
header	System/Library/Frameworks/PassKit.framework/Headers/PKPass.h	2814	b97d4948e3984454a412ed37608809b9cb8c9c54c3558e54ae5374db08a192f5
header	System/Library/Frameworks/PassKit.framework/Headers/PKPassLibrary.h	11640	4012e1e4f1ef8bd29291640475e3846b082f3a0571415f6e91f6a9d733a12766
header	System/Library/Frameworks/PassKit.framework/Headers/PKPassRelevantDate.h	650	5b683f9e9019eb76934b0be9e2b36c4f4e572d997f300d8a490f0c304aef147f
header	System/Library/Frameworks/PassKit.framework/Headers/PKPass_Types.h	753	974b5e8115029f2c3d3e9e60a69db9b8db8d739181e81a7cebffdc262301716a
header	System/Library/Frameworks/PassKit.framework/Headers/PKPayLaterValidator.h	1915	cc217432e6d19b4ee7e15a498303ccc4797820ff6c21df139ec8b3f43a95ce71
header	System/Library/Frameworks/PassKit.framework/Headers/PKPayLaterView.h	2464	311a1a57bc881ea14dcd702959591694f6968f7e0ff968d22fd3c3c2760b5de8
header	System/Library/Frameworks/PassKit.framework/Headers/PKPayment.h	2765	07cca0084d5b42735824f1c0aa468a630880bc9c952fd24f223a7f07018839f4
