precise	graphKind	graphPath	status	basis	rawCandidateCount	compatibleCandidateCount	selectedNodePath	candidateNodePaths
c:@E@PKCanvasViewDrawingPolicy	swift.enum	["PKCanvasViewDrawingPolicy"]	unmatched	none	0	0		[]
c:@E@PKCanvasViewDrawingPolicy@PKCanvasViewDrawingPolicyAnyInput	swift.enum.case	["PKCanvasViewDrawingPolicy","anyInput"]	unmatched	none	0	0		[]
c:@E@PKCanvasViewDrawingPolicy@PKCanvasViewDrawingPolicyDefault	swift.enum.case	["PKCanvasViewDrawingPolicy","default"]	unmatched	none	0	0		[]
c:@E@PKCanvasViewDrawingPolicy@PKCanvasViewDrawingPolicyPencilOnly	swift.enum.case	["PKCanvasViewDrawingPolicy","pencilOnly"]	unmatched	none	0	0		[]
c:@E@PKContentVersion	swift.enum	["PKContentVersion"]	unmatched	none	0	0		[]
c:@E@PKContentVersion@PKContentVersion1	swift.enum.case	["PKContentVersion","version1"]	unmatched	none	0	0		[]
c:@E@PKContentVersion@PKContentVersion2	swift.enum.case	["PKContentVersion","version2"]	unmatched	none	0	0		[]
c:@E@PKContentVersion@PKContentVersion3	swift.enum.case	["PKContentVersion","version3"]	unmatched	none	0	0		[]
c:@E@PKContentVersion@PKContentVersion4	swift.enum.case	["PKContentVersion","version4"]	unmatched	none	0	0		[]
c:@E@PKContentVersion@PKContentVersionLatest	swift.type.property	["PKContentVersion","latest"]	unmatched	none	0	0		[]
c:@E@PKToolPickerCustomItemControlOptions	swift.struct	["PKToolPickerCustomItem","ControlOptions"]	unmatched	none	0	0		[]
c:@E@PKToolPickerCustomItemControlOptions@PKToolPickerCustomItemControlOpacity	swift.type.property	["PKToolPickerCustomItem","ControlOptions","opacity"]	unmatched	none	0	0		[]
c:@E@PKToolPickerCustomItemControlOptions@PKToolPickerCustomItemControlWidth	swift.type.property	["PKToolPickerCustomItem","ControlOptions","width"]	unmatched	none	0	0		[]
c:@E@PKToolPickerVisibility	swift.enum	["PKToolPickerVisibility"]	exact-usr	exact-usr	1	1	/ABIRoot/children/49	["/ABIRoot/children/49"]
c:@E@PKToolPickerVisibility@PKToolPickerVisibilityHidden	swift.enum.case	["PKToolPickerVisibility","hidden"]	unmatched	none	0	0		[]
c:@E@PKToolPickerVisibility@PKToolPickerVisibilityInactive	swift.enum.case	["PKToolPickerVisibility","inactive"]	unmatched	none	0	0		[]
c:@E@PKToolPickerVisibility@PKToolPickerVisibilityVisible	swift.enum.case	["PKToolPickerVisibility","visible"]	unmatched	none	0	0		[]
c:@PKAppleDrawingTypeIdentifier	swift.var	["PKAppleDrawingTypeIdentifier"]	unmatched	none	0	0		[]
c:objc(cs)PKCanvasView	swift.class	["PKCanvasView"]	exact-usr	exact-usr	1	1	/ABIRoot/children/57	["/ABIRoot/children/57"]
c:objc(cs)PKCanvasView(py)allowsFingerDrawing	swift.property	["PKCanvasView","allowsFingerDrawing"]	unmatched	none	0	0		[]
c:objc(cs)PKCanvasView(py)delegate	swift.property	["PKCanvasView","delegate"]	unmatched	none	0	0		[]
c:objc(cs)PKCanvasView(py)drawing	swift.property	["PKCanvasView","drawing"]	unmatched	none	0	0		[]
c:objc(cs)PKCanvasView(py)drawingEnabled	swift.property	["PKCanvasView","isDrawingEnabled"]	unmatched	none	0	0		[]
