precise	kind	title	path	declaration
c:@E@PHASEAssetError	swift.enum	PHASEAssetError.Code	PHASEAssetError.Code	enum Code
c:@E@PHASEAssetError@PHASEAssetErrorAlreadyExists	swift.enum.case	PHASEAssetError.Code.alreadyExists	PHASEAssetError.Code.alreadyExists	case alreadyExists
c:@E@PHASEAssetError@PHASEAssetErrorBadParameters	swift.enum.case	PHASEAssetError.Code.badParameters	PHASEAssetError.Code.badParameters	case badParameters
c:@E@PHASEAssetError@PHASEAssetErrorFailedToLoad	swift.enum.case	PHASEAssetError.Code.failedToLoad	PHASEAssetError.Code.failedToLoad	case failedToLoad
c:@E@PHASEAssetError@PHASEAssetErrorGeneralError	swift.enum.case	PHASEAssetError.Code.generalError	PHASEAssetError.Code.generalError	case generalError
c:@E@PHASEAssetError@PHASEAssetErrorInvalidEngineInstance	swift.enum.case	PHASEAssetError.Code.invalidEngineInstance	PHASEAssetError.Code.invalidEngineInstance	case invalidEngineInstance
c:@E@PHASEAssetError@PHASEAssetErrorMemoryAllocation	swift.enum.case	PHASEAssetError.Code.memoryAllocation	PHASEAssetError.Code.memoryAllocation	case memoryAllocation
c:@E@PHASEAssetType	swift.enum	PHASEAsset.AssetType	PHASEAsset.AssetType	enum AssetType
c:@E@PHASEAssetType@PHASEAssetTypeResident	swift.enum.case	PHASEAsset.AssetType.resident	PHASEAsset.AssetType.resident	case resident
c:@E@PHASEAssetType@PHASEAssetTypeStreamed	swift.enum.case	PHASEAsset.AssetType.streamed	PHASEAsset.AssetType.streamed	case streamed
c:@E@PHASEAutomaticHeadTrackingFlags	swift.struct	PHASEAutomaticHeadTrackingFlags	PHASEAutomaticHeadTrackingFlags	struct PHASEAutomaticHeadTrackingFlags
c:@E@PHASEAutomaticHeadTrackingFlags@PHASEAutomaticHeadTrackingFlagOrientation	swift.type.property	orientation	PHASEAutomaticHeadTrackingFlags.orientation	static var orientation: PHASEAutomaticHeadTrackingFlags { get }
c:@E@PHASEAutomaticHeadTrackingFlags@PHASEAutomaticHeadTrackingFlagPosition	swift.type.property	position	PHASEAutomaticHeadTrackingFlags.position	static var position: PHASEAutomaticHeadTrackingFlags { get }
c:@E@PHASECalibrationMode	swift.enum	PHASECalibrationMode	PHASECalibrationMode	enum PHASECalibrationMode
c:@E@PHASECalibrationMode@PHASECalibrationModeAbsoluteSpl	swift.enum.case	PHASECalibrationMode.absoluteSpl	PHASECalibrationMode.absoluteSpl	case absoluteSpl
c:@E@PHASECalibrationMode@PHASECalibrationModeNone	swift.enum.case	PHASECalibrationMode.none	PHASECalibrationMode.none	case none
c:@E@PHASECalibrationMode@PHASECalibrationModeRelativeSpl	swift.enum.case	PHASECalibrationMode.relativeSpl	PHASECalibrationMode.relativeSpl	case relativeSpl
c:@E@PHASECullOption	swift.enum	PHASECullOption	PHASECullOption	enum PHASECullOption
c:@E@PHASECullOption@PHASECullOptionDoNotCull	swift.enum.case	PHASECullOption.doNotCull	PHASECullOption.doNotCull	case doNotCull
c:@E@PHASECullOption@PHASECullOptionSleepWakeAtRandomOffset	swift.enum.case	PHASECullOption.sleepWakeAtRandomOffset	PHASECullOption.sleepWakeAtRandomOffset	case sleepWakeAtRandomOffset
c:@E@PHASECullOption@PHASECullOptionSleepWakeAtRealtimeOffset	swift.enum.case	PHASECullOption.sleepWakeAtRealtimeOffset	PHASECullOption.sleepWakeAtRealtimeOffset	case sleepWakeAtRealtimeOffset
c:@E@PHASECullOption@PHASECullOptionSleepWakeAtZero	swift.enum.case	PHASECullOption.sleepWakeAtZero	PHASECullOption.sleepWakeAtZero	case sleepWakeAtZero
c:@E@PHASECullOption@PHASECullOptionTerminate	swift.enum.case	PHASECullOption.terminate	PHASECullOption.terminate	case terminate
c:@E@PHASECurveType	swift.enum	PHASECurveType	PHASECurveType	enum PHASECurveType
c:@E@PHASECurveType@PHASECurveTypeCubed	swift.enum.case	PHASECurveType.cubed	PHASECurveType.cubed	case cubed
c:@E@PHASECurveType@PHASECurveTypeHoldStartValue	swift.enum.case	PHASECurveType.holdStartValue	PHASECurveType.holdStartValue	case holdStartValue
c:@E@PHASECurveType@PHASECurveTypeInverseCubed	swift.enum.case	PHASECurveType.inverseCubed	PHASECurveType.inverseCubed	case inverseCubed
c:@E@PHASECurveType@PHASECurveTypeInverseSigmoid	swift.enum.case	PHASECurveType.inverseSigmoid	PHASECurveType.inverseSigmoid	case inverseSigmoid
c:@E@PHASECurveType@PHASECurveTypeInverseSine	swift.enum.case	PHASECurveType.inverseSine	PHASECurveType.inverseSine	case inverseSine
c:@E@PHASECurveType@PHASECurveTypeInverseSquared	swift.enum.case	PHASECurveType.inverseSquared	PHASECurveType.inverseSquared	case inverseSquared
c:@E@PHASECurveType@PHASECurveTypeJumpToEndValue	swift.enum.case	PHASECurveType.jumpToEndValue	PHASECurveType.jumpToEndValue	case jumpToEndValue
c:@E@PHASECurveType@PHASECurveTypeLinear	swift.enum.case	PHASECurveType.linear	PHASECurveType.linear	case linear
c:@E@PHASECurveType@PHASECurveTypeSigmoid	swift.enum.case	PHASECurveType.sigmoid	PHASECurveType.sigmoid	case sigmoid
c:@E@PHASECurveType@PHASECurveTypeSine	swift.enum.case	PHASECurveType.sine	PHASECurveType.sine	case sine
c:@E@PHASECurveType@PHASECurveTypeSquared	swift.enum.case	PHASECurveType.squared	PHASECurveType.squared	case squared
c:@E@PHASEError	swift.enum	PHASEError.Code	PHASEError.Code	enum Code
c:@E@PHASEError@PHASEErrorInitializeFailed	swift.enum.case	PHASEError.Code.initializeFailed	PHASEError.Code.initializeFailed	case initializeFailed
c:@E@PHASEError@PHASEErrorInvalidObject	swift.enum.case	PHASEError.Code.invalidObject	PHASEError.Code.invalidObject	case invalidObject
c:@E@PHASEMaterialPreset	swift.enum	PHASEMaterialPreset	PHASEMaterialPreset	enum PHASEMaterialPreset
c:@E@PHASEMaterialPreset@PHASEMaterialPresetBrick	swift.enum.case	PHASEMaterialPreset.brick	PHASEMaterialPreset.brick	case brick
c:@E@PHASEMaterialPreset@PHASEMaterialPresetCardboard	swift.enum.case	PHASEMaterialPreset.cardboard	PHASEMaterialPreset.cardboard	case cardboard
c:@E@PHASEMaterialPreset@PHASEMaterialPresetConcrete	swift.enum.case	PHASEMaterialPreset.concrete	PHASEMaterialPreset.concrete	case concrete
c:@E@PHASEMaterialPreset@PHASEMaterialPresetDrywall	swift.enum.case	PHASEMaterialPreset.drywall	PHASEMaterialPreset.drywall	case drywall
c:@E@PHASEMaterialPreset@PHASEMaterialPresetGlass	swift.enum.case	PHASEMaterialPreset.glass	PHASEMaterialPreset.glass	case glass
c:@E@PHASEMaterialPreset@PHASEMaterialPresetWood	swift.enum.case	PHASEMaterialPreset.wood	PHASEMaterialPreset.wood	case wood
c:@E@PHASEMediumPreset	swift.enum	PHASEMedium.Preset	PHASEMedium.Preset	enum Preset
c:@E@PHASEMediumPreset@PHASEMediumPresetAir	swift.enum.case	PHASEMedium.Preset.air	PHASEMedium.Preset.air	case air
c:@E@PHASENormalizationMode	swift.enum	PHASENormalizationMode	PHASENormalizationMode	enum PHASENormalizationMode
c:@E@PHASENormalizationMode@PHASENormalizationModeDynamic	swift.enum.case	PHASENormalizationMode.dynamic	PHASENormalizationMode.dynamic	case dynamic
c:@E@PHASENormalizationMode@PHASENormalizationModeNone	swift.enum.case	PHASENormalizationMode.none	PHASENormalizationMode.none	case none
c:@E@PHASEPlaybackMode	swift.enum	PHASEPlaybackMode	PHASEPlaybackMode	enum PHASEPlaybackMode
c:@E@PHASEPlaybackMode@PHASEPlaybackModeLooping	swift.enum.case	PHASEPlaybackMode.looping	PHASEPlaybackMode.looping	case looping
c:@E@PHASEPlaybackMode@PHASEPlaybackModeOneShot	swift.enum.case	PHASEPlaybackMode.oneShot	PHASEPlaybackMode.oneShot	case oneShot
