precise	graphKind	graphPath	status	basis	rawCandidateCount	compatibleCandidateCount	selectedNodePath	candidateNodePaths
c:@E@PHLivePhotoBadgeOptions	swift.struct	["PHLivePhotoBadgeOptions"]	unmatched	none	0	0		[]
c:@E@PHLivePhotoBadgeOptions@PHLivePhotoBadgeOptionsLiveOff	swift.type.property	["PHLivePhotoBadgeOptions","liveOff"]	unmatched	none	0	0		[]
c:@E@PHLivePhotoBadgeOptions@PHLivePhotoBadgeOptionsOverContent	swift.type.property	["PHLivePhotoBadgeOptions","overContent"]	unmatched	none	0	0		[]
c:@E@PHLivePhotoViewPlaybackStyle	swift.enum	["PHLivePhotoViewPlaybackStyle"]	unmatched	none	0	0		[]
c:@E@PHLivePhotoViewPlaybackStyle@PHLivePhotoViewPlaybackStyleFull	swift.enum.case	["PHLivePhotoViewPlaybackStyle","full"]	unmatched	none	0	0		[]
c:@E@PHLivePhotoViewPlaybackStyle@PHLivePhotoViewPlaybackStyleHint	swift.enum.case	["PHLivePhotoViewPlaybackStyle","hint"]	unmatched	none	0	0		[]
c:@E@PHLivePhotoViewPlaybackStyle@PHLivePhotoViewPlaybackStyleUndefined	swift.enum.case	["PHLivePhotoViewPlaybackStyle","undefined"]	unmatched	none	0	0		[]
c:@E@PHPickerCapabilities	swift.struct	["PHPickerCapabilities"]	unmatched	none	0	0		[]
c:@E@PHPickerCapabilities@PHPickerCapabilitiesCollectionNavigation	swift.type.property	["PHPickerCapabilities","collectionNavigation"]	unmatched	none	0	0		[]
c:@E@PHPickerCapabilities@PHPickerCapabilitiesSearch	swift.type.property	["PHPickerCapabilities","search"]	unmatched	none	0	0		[]
c:@E@PHPickerCapabilities@PHPickerCapabilitiesSelectionActions	swift.type.property	["PHPickerCapabilities","selectionActions"]	unmatched	none	0	0		[]
c:@E@PHPickerCapabilities@PHPickerCapabilitiesSensitivityAnalysisIntervention	swift.type.property	["PHPickerCapabilities","sensitivityAnalysisIntervention"]	unmatched	none	0	0		[]
c:@E@PHPickerCapabilities@PHPickerCapabilitiesStagingArea	swift.type.property	["PHPickerCapabilities","stagingArea"]	unmatched	none	0	0		[]
c:@E@PHPickerConfigurationAssetRepresentationMode	swift.enum	["PHPickerConfigurationAssetRepresentationMode"]	unmatched	none	0	0		[]
c:@E@PHPickerConfigurationAssetRepresentationMode@PHPickerConfigurationAssetRepresentationModeAutomatic	swift.enum.case	["PHPickerConfigurationAssetRepresentationMode","automatic"]	unmatched	none	0	0		[]
c:@E@PHPickerConfigurationAssetRepresentationMode@PHPickerConfigurationAssetRepresentationModeCompatible	swift.enum.case	["PHPickerConfigurationAssetRepresentationMode","compatible"]	unmatched	none	0	0		[]
c:@E@PHPickerConfigurationAssetRepresentationMode@PHPickerConfigurationAssetRepresentationModeCurrent	swift.enum.case	["PHPickerConfigurationAssetRepresentationMode","current"]	unmatched	none	0	0		[]
c:@E@PHPickerConfigurationSelection	swift.enum	["PHPickerConfigurationSelection"]	unmatched	none	0	0		[]
c:@E@PHPickerConfigurationSelection@PHPickerConfigurationSelectionContinuous	swift.enum.case	["PHPickerConfigurationSelection","continuous"]	unmatched	none	0	0		[]
c:@E@PHPickerConfigurationSelection@PHPickerConfigurationSelectionContinuousAndOrdered	swift.enum.case	["PHPickerConfigurationSelection","continuousAndOrdered"]	unmatched	none	0	0		[]
c:@E@PHPickerConfigurationSelection@PHPickerConfigurationSelectionDefault	swift.enum.case	["PHPickerConfigurationSelection","default"]	unmatched	none	0	0		[]
c:@E@PHPickerConfigurationSelection@PHPickerConfigurationSelectionOrdered	swift.enum.case	["PHPickerConfigurationSelection","ordered"]	unmatched	none	0	0		[]
c:objc(cs)PHLivePhotoView	swift.class	["PHLivePhotoView"]	import-name	exported-import-name	1	1	/ABIRoot/children/1	["/ABIRoot/children/1"]
c:objc(cs)PHLivePhotoView(cm)livePhotoBadgeImageWithOptions:	swift.type.method	["PHLivePhotoView","livePhotoBadgeImage(options:)"]	unmatched	none	0	0		[]
c:objc(cs)PHLivePhotoView(im)startPlaybackWithStyle:	swift.method	["PHLivePhotoView","startPlayback(with:)"]	unmatched	none	0	0		[]
c:objc(cs)PHLivePhotoView(im)stopPlayback	swift.method	["PHLivePhotoView","stopPlayback()"]	unmatched	none	0	0		[]
c:objc(cs)PHLivePhotoView(py)contentsRect	swift.property	["PHLivePhotoView","contentsRect"]	unmatched	none	0	0		[]
c:objc(cs)PHLivePhotoView(py)delegate	swift.property	["PHLivePhotoView","delegate"]	unmatched	none	0	0		[]
c:objc(cs)PHLivePhotoView(py)livePhoto	swift.property	["PHLivePhotoView","livePhoto"]	unmatched	none	0	0		[]
c:objc(cs)PHLivePhotoView(py)muted	swift.property	["PHLivePhotoView","isMuted"]	unmatched	none	0	0		[]
c:objc(cs)PHLivePhotoView(py)playbackGestureRecognizer	swift.property	["PHLivePhotoView","playbackGestureRecognizer"]	unmatched	none	0	0		[]
c:objc(cs)PHPhotoLibrary(im)presentLimitedLibraryPickerFromViewController:	swift.method	["PHPhotoLibrary","presentLimitedLibraryPicker(from:)"]	unmatched	none	0	0		[]
c:objc(cs)PHPhotoLibrary(im)presentLimitedLibraryPickerFromViewController:completionHandler:	swift.method	["PHPhotoLibrary","presentLimitedLibraryPicker(from:)"]	unmatched	none	0	0		[]
c:objc(cs)PHPickerViewController	swift.class	["PHPickerViewController"]	exact-usr	exact-usr	1	1	/ABIRoot/children/17	["/ABIRoot/children/17"]
c:objc(cs)PHPickerViewController(im)deselectAssetsWithIdentifiers:	swift.method	["PHPickerViewController","deselectAssets(withIdentifiers:)"]	unmatched	none	0	0		[]
c:objc(cs)PHPickerViewController(im)moveAssetWithIdentifier:afterAssetWithIdentifier:	swift.method	["PHPickerViewController","moveAsset(withIdentifier:afterAssetWithIdentifier:)"]	unmatched	none	0	0		[]
c:objc(cs)PHPickerViewController(im)scrollToInitialPosition	swift.method	["PHPickerViewController","scrollToInitialPosition()"]	unmatched	none	0	0		[]
c:objc(cs)PHPickerViewController(im)zoomIn	swift.method	["PHPickerViewController","zoomIn()"]	unmatched	none	0	0		[]
c:objc(cs)PHPickerViewController(im)zoomOut	swift.method	["PHPickerViewController","zoomOut()"]	unmatched	none	0	0		[]
c:objc(pl)PHContentEditingController	swift.protocol	["PHContentEditingController"]	import-name	exported-import-name	1	1	/ABIRoot/children/3	["/ABIRoot/children/3"]
c:objc(pl)PHContentEditingController(im)canHandleAdjustmentData:	swift.method	["PHContentEditingController","canHandle(_:)"]	unmatched	none	0	0		[]
c:objc(pl)PHContentEditingController(im)cancelContentEditing	swift.method	["PHContentEditingController","cancelContentEditing()"]	unmatched	none	0	0		[]
c:objc(pl)PHContentEditingController(im)finishContentEditingWithCompletionHandler:	swift.method	["PHContentEditingController","finishContentEditing(completionHandler:)"]	unmatched	none	0	0		[]
c:objc(pl)PHContentEditingController(im)startContentEditingWithInput:placeholderImage:	swift.method	["PHContentEditingController","startContentEditing(with:placeholderImage:)"]	unmatched	none	0	0		[]
c:objc(pl)PHContentEditingController(py)shouldShowCancelConfirmation	swift.property	["PHContentEditingController","shouldShowCancelConfirmation"]	unmatched	none	0	0		[]
c:objc(pl)PHLivePhotoViewDelegate	swift.protocol	["PHLivePhotoViewDelegate"]	unmatched	none	0	0		[]
c:objc(pl)PHLivePhotoViewDelegate(im)livePhotoView:canBeginPlaybackWithStyle:	swift.method	["PHLivePhotoViewDelegate","livePhotoView(_:canBeginPlaybackWith:)"]	unmatched	none	0	0		[]
c:objc(pl)PHLivePhotoViewDelegate(im)livePhotoView:didEndPlaybackWithStyle:	swift.method	["PHLivePhotoViewDelegate","livePhotoView(_:didEndPlaybackWith:)"]	unmatched	none	0	0		[]
c:objc(pl)PHLivePhotoViewDelegate(im)livePhotoView:extraMinimumTouchDurationForTouch:withStyle:	swift.method	["PHLivePhotoViewDelegate","livePhotoView(_:extraMinimumTouchDurationFor:with:)"]	unmatched	none	0	0		[]
c:objc(pl)PHLivePhotoViewDelegate(im)livePhotoView:willBeginPlaybackWithStyle:	swift.method	["PHLivePhotoViewDelegate","livePhotoView(_:willBeginPlaybackWith:)"]	unmatched	none	0	0		[]
s:015_PhotosUI_SwiftB00A10PickerItemV	swift.struct	["PhotosPickerItem"]	unmatched	none	0	0		[]
s:015_PhotosUI_SwiftB00A10PickerItemV14itemIdentifierACSS_tcfc	swift.init	["PhotosPickerItem","init(itemIdentifier:)"]	unmatched	none	0	0		[]
s:015_PhotosUI_SwiftB00A10PickerItemV14itemIdentifierSSSgvp	swift.property	["PhotosPickerItem","itemIdentifier"]	unmatched	none	0	0		[]
s:015_PhotosUI_SwiftB00A10PickerItemV16loadTransferable4type17completionHandlerSo10NSProgressCxm_ys6ResultOyxSgs5Error_pGct04CoreG00G0RzlF	swift.method	["PhotosPickerItem","loadTransferable(type:completionHandler:)"]	unmatched	none	0	0		[]
s:015_PhotosUI_SwiftB00A10PickerItemV16loadTransferable4typexSgxm_tYaK04CoreG00G0RzlF	swift.method	["PhotosPickerItem","loadTransferable(type:)"]	unmatched	none	0	0		[]
s:015_PhotosUI_SwiftB00A10PickerItemV21supportedContentTypesSay22UniformTypeIdentifiers6UTTypeVGvp	swift.property	["PhotosPickerItem","supportedContentTypes"]	unmatched	none	0	0		[]
s:015_PhotosUI_SwiftB00A10PickerItemV28EncodingDisambiguationPolicyV	swift.struct	["PhotosPickerItem","EncodingDisambiguationPolicy"]	unmatched	none	0	0		[]
s:015_PhotosUI_SwiftB00A10PickerItemV28EncodingDisambiguationPolicyV10compatibleAEvpZ	swift.type.property	["PhotosPickerItem","EncodingDisambiguationPolicy","compatible"]	unmatched	none	0	0		[]
s:015_PhotosUI_SwiftB00A10PickerItemV28EncodingDisambiguationPolicyV2eeoiySbAE_AEtFZ	swift.func.op	["PhotosPickerItem","EncodingDisambiguationPolicy","==(_:_:)"]	unmatched	none	0	0		[]
s:015_PhotosUI_SwiftB00A10PickerItemV28EncodingDisambiguationPolicyV4hash4intoys6HasherVz_tF	swift.method	["PhotosPickerItem","EncodingDisambiguationPolicy","hash(into:)"]	unmatched	none	0	0		[]
s:015_PhotosUI_SwiftB00A10PickerItemV28EncodingDisambiguationPolicyV7currentAEvpZ	swift.type.property	["PhotosPickerItem","EncodingDisambiguationPolicy","current"]	unmatched	none	0	0		[]
s:015_PhotosUI_SwiftB00A10PickerItemV28EncodingDisambiguationPolicyV9automaticAEvpZ	swift.type.property	["PhotosPickerItem","EncodingDisambiguationPolicy","automatic"]	unmatched	none	0	0		[]
s:015_PhotosUI_SwiftB00A10PickerItemV28EncodingDisambiguationPolicyV9hashValueSivp	swift.property	["PhotosPickerItem","EncodingDisambiguationPolicy","hashValue"]	unmatched	none	0	0		[]
s:015_PhotosUI_SwiftB00A10PickerItemV2eeoiySbAC_ACtFZ	swift.func.op	["PhotosPickerItem","==(_:_:)"]	unmatched	none	0	0		[]
s:015_PhotosUI_SwiftB00A10PickerItemV4hash4intoys6HasherVz_tF	swift.method	["PhotosPickerItem","hash(into:)"]	unmatched	none	0	0		[]
s:015_PhotosUI_SwiftB00A10PickerItemV9hashValueSivp	swift.property	["PhotosPickerItem","hashValue"]	unmatched	none	0	0		[]
s:015_PhotosUI_SwiftB00A11PickerStyleV	swift.struct	["PhotosPickerStyle"]	unmatched	none	0	0		[]
s:015_PhotosUI_SwiftB00A11PickerStyleV12presentationACvpZ	swift.type.property	["PhotosPickerStyle","presentation"]	unmatched	none	0	0		[]
s:015_PhotosUI_SwiftB00A11PickerStyleV2eeoiySbAC_ACtFZ	swift.func.op	["PhotosPickerStyle","==(_:_:)"]	unmatched	none	0	0		[]
s:015_PhotosUI_SwiftB00A11PickerStyleV4hash4intoys6HasherVz_tF	swift.method	["PhotosPickerStyle","hash(into:)"]	unmatched	none	0	0		[]
s:015_PhotosUI_SwiftB00A11PickerStyleV6inlineACvpZ	swift.type.property	["PhotosPickerStyle","inline"]	unmatched	none	0	0		[]
s:015_PhotosUI_SwiftB00A11PickerStyleV7compactACvpZ	swift.type.property	["PhotosPickerStyle","compact"]	unmatched	none	0	0		[]
s:015_PhotosUI_SwiftB00A11PickerStyleV9hashValueSivp	swift.property	["PhotosPickerStyle","hashValue"]	unmatched	none	0	0		[]
s:015_PhotosUI_SwiftB00A23PickerSelectionBehaviorV	swift.struct	["PhotosPickerSelectionBehavior"]	unmatched	none	0	0		[]
s:015_PhotosUI_SwiftB00A23PickerSelectionBehaviorV10continuousACvpZ	swift.type.property	["PhotosPickerSelectionBehavior","continuous"]	unmatched	none	0	0		[]
s:015_PhotosUI_SwiftB00A23PickerSelectionBehaviorV20continuousAndOrderedACvpZ	swift.type.property	["PhotosPickerSelectionBehavior","continuousAndOrdered"]	unmatched	none	0	0		[]
s:015_PhotosUI_SwiftB00A23PickerSelectionBehaviorV2eeoiySbAC_ACtFZ	swift.func.op	["PhotosPickerSelectionBehavior","==(_:_:)"]	unmatched	none	0	0		[]
s:015_PhotosUI_SwiftB00A23PickerSelectionBehaviorV4hash4intoys6HasherVz_tF	swift.method	["PhotosPickerSelectionBehavior","hash(into:)"]	unmatched	none	0	0		[]
s:015_PhotosUI_SwiftB00A23PickerSelectionBehaviorV7defaultACvpZ	swift.type.property	["PhotosPickerSelectionBehavior","default"]	unmatched	none	0	0		[]
s:015_PhotosUI_SwiftB00A23PickerSelectionBehaviorV7orderedACvpZ	swift.type.property	["PhotosPickerSelectionBehavior","ordered"]	unmatched	none	0	0		[]
s:015_PhotosUI_SwiftB00A23PickerSelectionBehaviorV9hashValueSivp	swift.property	["PhotosPickerSelectionBehavior","hashValue"]	unmatched	none	0	0		[]
s:015_PhotosUI_SwiftB00A6PickerV	swift.struct	["PhotosPicker"]	unmatched	none	0	0		[]
s:015_PhotosUI_SwiftB00A6PickerV4Bodya	swift.typealias	["PhotosPicker","Body"]	unmatched	none	0	0		[]
s:015_PhotosUI_SwiftB00A6PickerV4bodyQrvp	swift.property	["PhotosPicker","body"]	unmatched	none	0	0		[]
s:015_PhotosUI_SwiftB00A6PickerV9selection17maxSelectionCount0E8Behavior8matching21preferredItemEncoding12photoLibrary5labelACyxG0cB07BindingVySayAA0adL0VGG_SiSgAA0adgI0V0aB014PHPickerFilterVSgAP0M20DisambiguationPolicyVSo07PHPhotoO0CxyXEtcfc	swift.init	["PhotosPicker","init(selection:maxSelectionCount:selectionBehavior:matching:preferredItemEncoding:photoLibrary:label:)"]	unmatched	none	0	0		[]
s:015_PhotosUI_SwiftB00A6PickerV9selection17maxSelectionCount0E8Behavior8matching21preferredItemEncoding5labelACyxG0cB07BindingVySayAA0adL0VGG_SiSgAA0adgI0V0aB014PHPickerFilterVSgAO0M20DisambiguationPolicyVxyXEtcfc	swift.init	["PhotosPicker","init(selection:maxSelectionCount:selectionBehavior:matching:preferredItemEncoding:label:)"]	unmatched	none	0	0		[]
s:015_PhotosUI_SwiftB00A6PickerV9selection8matching21preferredItemEncoding12photoLibrary5labelACyxG0cB07BindingVyAA0adH0VSgG_0aB014PHPickerFilterVSgAN0I20DisambiguationPolicyVSo07PHPhotoK0CxyXEtcfc	swift.init	["PhotosPicker","init(selection:matching:preferredItemEncoding:photoLibrary:label:)"]	unmatched	none	0	0		[]
s:015_PhotosUI_SwiftB00A6PickerV9selection8matching21preferredItemEncoding5labelACyxG0cB07BindingVyAA0adH0VSgG_0aB014PHPickerFilterVSgAM0I20DisambiguationPolicyVxyXEtcfc	swift.init	["PhotosPicker","init(selection:matching:preferredItemEncoding:label:)"]	unmatched	none	0	0		[]
s:015_PhotosUI_SwiftB00A6PickerVAA0cB04TextVRszrlE_9selection17maxSelectionCount0F8Behavior8matching21preferredItemEncoding12photoLibraryACyAFGAD18LocalizedStringKeyV_AD7BindingVySayAA0adM0VGGSiSgAA0adhJ0V0aB014PHPickerFilterVSgAS0N20DisambiguationPolicyVSo07PHPhotoP0Ctcfc	swift.init	["PhotosPicker","init(_:selection:maxSelectionCount:selectionBehavior:matching:preferredItemEncoding:photoLibrary:)"]	unmatched	none	0	0		[]
s:015_PhotosUI_SwiftB00A6PickerVAA0cB04TextVRszrlE_9selection17maxSelectionCount0F8Behavior8matching21preferredItemEncoding12photoLibraryACyAFGqd___AD7BindingVySayAA0adM0VGGSiSgAA0adhJ0V0aB014PHPickerFilterVSgAQ0N20DisambiguationPolicyVSo07PHPhotoP0CtcSyRd__lufc	swift.init	["PhotosPicker","init(_:selection:maxSelectionCount:selectionBehavior:matching:preferredItemEncoding:photoLibrary:)"]	unmatched	none	0	0		[]
s:015_PhotosUI_SwiftB00A6PickerVAA0cB04TextVRszrlE_9selection17maxSelectionCount0F8Behavior8matching21preferredItemEncodingACyAFGAD18LocalizedStringKeyV_AD7BindingVySayAA0adM0VGGSiSgAA0adhJ0V0aB014PHPickerFilterVSgAR0N20DisambiguationPolicyVtcfc	swift.init	["PhotosPicker","init(_:selection:maxSelectionCount:selectionBehavior:matching:preferredItemEncoding:)"]	unmatched	none	0	0		[]
s:015_PhotosUI_SwiftB00A6PickerVAA0cB04TextVRszrlE_9selection17maxSelectionCount0F8Behavior8matching21preferredItemEncodingACyAFGqd___AD7BindingVySayAA0adM0VGGSiSgAA0adhJ0V0aB014PHPickerFilterVSgAP0N20DisambiguationPolicyVtcSyRd__lufc	swift.init	["PhotosPicker","init(_:selection:maxSelectionCount:selectionBehavior:matching:preferredItemEncoding:)"]	unmatched	none	0	0		[]
s:015_PhotosUI_SwiftB00A6PickerVAA0cB04TextVRszrlE_9selection8matching21preferredItemEncoding12photoLibraryACyAFGAD18LocalizedStringKeyV_AD7BindingVyAA0adI0VSgG0aB014PHPickerFilterVSgAQ0J20DisambiguationPolicyVSo07PHPhotoL0Ctcfc	swift.init	["PhotosPicker","init(_:selection:matching:preferredItemEncoding:photoLibrary:)"]	unmatched	none	0	0		[]
s:015_PhotosUI_SwiftB00A6PickerVAA0cB04TextVRszrlE_9selection8matching21preferredItemEncoding12photoLibraryACyAFGqd___AD7BindingVyAA0adI0VSgG0aB014PHPickerFilterVSgAO0J20DisambiguationPolicyVSo07PHPhotoL0CtcSyRd__lufc	swift.init	["PhotosPicker","init(_:selection:matching:preferredItemEncoding:photoLibrary:)"]	unmatched	none	0	0		[]
s:015_PhotosUI_SwiftB00A6PickerVAA0cB04TextVRszrlE_9selection8matching21preferredItemEncodingACyAFGAD18LocalizedStringKeyV_AD7BindingVyAA0adI0VSgG0aB014PHPickerFilterVSgAP0J20DisambiguationPolicyVtcfc	swift.init	["PhotosPicker","init(_:selection:matching:preferredItemEncoding:)"]	unmatched	none	0	0		[]
