precise	kind	title	path	declaration
c:@E@QLPreviewItemEditingMode	swift.enum	QLPreviewItemEditingMode	QLPreviewItemEditingMode	enum QLPreviewItemEditingMode
c:@E@QLPreviewItemEditingMode@QLPreviewItemEditingModeCreateCopy	swift.enum.case	QLPreviewItemEditingMode.createCopy	QLPreviewItemEditingMode.createCopy	case createCopy
c:@E@QLPreviewItemEditingMode@QLPreviewItemEditingModeDisabled	swift.enum.case	QLPreviewItemEditingMode.disabled	QLPreviewItemEditingMode.disabled	case disabled
c:@E@QLPreviewItemEditingMode@QLPreviewItemEditingModeUpdateContents	swift.enum.case	QLPreviewItemEditingMode.updateContents	QLPreviewItemEditingMode.updateContents	case updateContents
c:objc(cs)ARQuickLookPreviewItem	swift.class	ARQuickLookPreviewItem	ARQuickLookPreviewItem	class ARQuickLookPreviewItem
c:objc(cs)ARQuickLookPreviewItem(im)initWithFileAtURL:	swift.init	init(fileAt:)	ARQuickLookPreviewItem.init(fileAt:)	init(fileAt url: URL)
c:objc(cs)ARQuickLookPreviewItem(im)initWithFileAtURL:::SYNTHESIZED::c:objc(cs)ARQuickLookPreviewItem	swift.init	init(fileAtURL:)	ARQuickLookPreviewItem.init(fileAtURL:)	init(fileAtURL url: URL)
c:objc(cs)ARQuickLookPreviewItem(py)allowsContentScaling	swift.property	allowsContentScaling	ARQuickLookPreviewItem.allowsContentScaling	var allowsContentScaling: Bool { get set }
c:objc(cs)ARQuickLookPreviewItem(py)canonicalWebPageURL	swift.property	canonicalWebPageURL	ARQuickLookPreviewItem.canonicalWebPageURL	var canonicalWebPageURL: URL? { get set }
c:objc(cs)QLFilePreviewRequest	swift.class	QLFilePreviewRequest	QLFilePreviewRequest	class QLFilePreviewRequest
c:objc(cs)QLFilePreviewRequest(py)fileURL	swift.property	fileURL	QLFilePreviewRequest.fileURL	var fileURL: URL { get }
c:objc(cs)QLPreviewController	swift.class	QLPreviewController	QLPreviewController	@MainActor class QLPreviewController
c:objc(cs)QLPreviewController(cm)canPreviewItem:	swift.type.method	canPreview(_:)	QLPreviewController.canPreview(_:)	@MainActor class func canPreview(_ item: any QLPreviewItem) -> Bool
c:objc(cs)QLPreviewController(im)refreshCurrentPreviewItem	swift.method	refreshCurrentPreviewItem()	QLPreviewController.refreshCurrentPreviewItem()	@MainActor func refreshCurrentPreviewItem()
c:objc(cs)QLPreviewController(im)reloadData	swift.method	reloadData()	QLPreviewController.reloadData()	@MainActor func reloadData()
c:objc(cs)QLPreviewController(py)currentPreviewItem	swift.property	currentPreviewItem	QLPreviewController.currentPreviewItem	@MainActor var currentPreviewItem: (any QLPreviewItem)? { get }
c:objc(cs)QLPreviewController(py)currentPreviewItemIndex	swift.property	currentPreviewItemIndex	QLPreviewController.currentPreviewItemIndex	@MainActor var currentPreviewItemIndex: Int { get set }
c:objc(cs)QLPreviewController(py)dataSource	swift.property	dataSource	QLPreviewController.dataSource	@MainActor weak var dataSource: (any QLPreviewControllerDataSource)? { get set }
c:objc(cs)QLPreviewController(py)delegate	swift.property	delegate	QLPreviewController.delegate	@MainActor weak var delegate: (any QLPreviewControllerDelegate)? { get set }
c:objc(cs)QLPreviewProvider	swift.class	QLPreviewProvider	QLPreviewProvider	class QLPreviewProvider
c:objc(cs)QLPreviewReply	swift.class	QLPreviewReply	QLPreviewReply	class QLPreviewReply
c:objc(cs)QLPreviewReply(im)initWithFileURL:	swift.init	init(fileURL:)	QLPreviewReply.init(fileURL:)	init(fileURL: URL)
c:objc(cs)QLPreviewReply(py)attachments	swift.property	attachments	QLPreviewReply.attachments	var attachments: [String : QLPreviewReplyAttachment] { get set }
c:objc(cs)QLPreviewReply(py)title	swift.property	title	QLPreviewReply.title	var title: String { get set }
c:objc(cs)QLPreviewReplyAttachment	swift.class	QLPreviewReplyAttachment	QLPreviewReplyAttachment	class QLPreviewReplyAttachment
c:objc(cs)QLPreviewReplyAttachment(im)initWithData:contentType:	swift.init	init(data:contentType:)	QLPreviewReplyAttachment.init(data:contentType:)	init(data: Data, contentType: UTType)
c:objc(cs)QLPreviewReplyAttachment(py)contentType	swift.property	contentType	QLPreviewReplyAttachment.contentType	var contentType: UTType { get }
c:objc(cs)QLPreviewReplyAttachment(py)data	swift.property	data	QLPreviewReplyAttachment.data	var data: Data { get }
c:objc(cs)QLPreviewSceneActivationConfiguration	swift.class	QLPreviewSceneActivationConfiguration	QLPreviewSceneActivationConfiguration	class QLPreviewSceneActivationConfiguration
c:objc(cs)QLPreviewSceneActivationConfiguration(im)initWithItemsAtURLs:options:	swift.init	init(itemsAt:options:)	QLPreviewSceneActivationConfiguration.init(itemsAt:options:)	init(itemsAt urls: [URL], options: QLPreviewSceneActivationConfiguration.Options?)
c:objc(cs)QLPreviewSceneActivationConfiguration(im)initWithItemsAtURLs:options:::SYNTHESIZED::c:objc(cs)QLPreviewSceneActivationConfiguration	swift.init	init(itemsAtURLs:options:)	QLPreviewSceneActivationConfiguration.init(itemsAtURLs:options:)	init(itemsAtURLs urls: [URL], options: QLPreviewSceneActivationConfiguration.Options?)
c:objc(cs)QLPreviewSceneOptions	swift.class	QLPreviewSceneActivationConfiguration.Options	QLPreviewSceneActivationConfiguration.Options	class Options
c:objc(cs)QLPreviewSceneOptions(py)initialPreviewIndex	swift.property	initialPreviewIndex	QLPreviewSceneActivationConfiguration.Options.initialPreviewIndex	var initialPreviewIndex: Int { get set }
c:objc(pl)QLPreviewControllerDataSource	swift.protocol	QLPreviewControllerDataSource	QLPreviewControllerDataSource	@MainActor protocol QLPreviewControllerDataSource
c:objc(pl)QLPreviewControllerDataSource(im)numberOfPreviewItemsInPreviewController:	swift.method	numberOfPreviewItems(in:)	QLPreviewControllerDataSource.numberOfPreviewItems(in:)	@MainActor func numberOfPreviewItems(in controller: QLPreviewController) -> Int
c:objc(pl)QLPreviewControllerDataSource(im)previewController:previewItemAtIndex:	swift.method	previewController(_:previewItemAt:)	QLPreviewControllerDataSource.previewController(_:previewItemAt:)	@MainActor func previewController(_ controller: QLPreviewController, previewItemAt index: Int) -> any QLPreviewItem
c:objc(pl)QLPreviewControllerDelegate	swift.protocol	QLPreviewControllerDelegate	QLPreviewControllerDelegate	protocol QLPreviewControllerDelegate : NSObjectProtocol
