precise	kind	title	path	declaration
c:@E@QLThumbnailError	swift.enum	QLThumbnailError.Code	QLThumbnailError.Code	enum Code
c:@E@QLThumbnailError@QLThumbnailErrorGenerationFailed	swift.enum.case	QLThumbnailError.Code.generationFailed	QLThumbnailError.Code.generationFailed	case generationFailed
c:@E@QLThumbnailError@QLThumbnailErrorNoCachedThumbnail	swift.enum.case	QLThumbnailError.Code.noCachedThumbnail	QLThumbnailError.Code.noCachedThumbnail	case noCachedThumbnail
c:@E@QLThumbnailError@QLThumbnailErrorNoCloudThumbnail	swift.enum.case	QLThumbnailError.Code.noCloudThumbnail	QLThumbnailError.Code.noCloudThumbnail	case noCloudThumbnail
c:@E@QLThumbnailError@QLThumbnailErrorRequestCancelled	swift.enum.case	QLThumbnailError.Code.requestCancelled	QLThumbnailError.Code.requestCancelled	case requestCancelled
c:@E@QLThumbnailError@QLThumbnailErrorRequestInvalid	swift.enum.case	QLThumbnailError.Code.requestInvalid	QLThumbnailError.Code.requestInvalid	case requestInvalid
c:@E@QLThumbnailError@QLThumbnailErrorSavingToURLFailed	swift.enum.case	QLThumbnailError.Code.savingToURLFailed	QLThumbnailError.Code.savingToURLFailed	case savingToURLFailed
c:@E@QLThumbnailGenerationRequestRepresentationTypes	swift.struct	QLThumbnailGenerator.Request.RepresentationTypes	QLThumbnailGenerator.Request.RepresentationTypes	struct RepresentationTypes
c:@E@QLThumbnailGenerationRequestRepresentationTypes@QLThumbnailGenerationRequestRepresentationTypeAll	swift.type.property	all	QLThumbnailGenerator.Request.RepresentationTypes.all	static var all: QLThumbnailGenerator.Request.RepresentationTypes { get }
c:@E@QLThumbnailGenerationRequestRepresentationTypes@QLThumbnailGenerationRequestRepresentationTypeIcon	swift.type.property	icon	QLThumbnailGenerator.Request.RepresentationTypes.icon	static var icon: QLThumbnailGenerator.Request.RepresentationTypes { get }
c:@E@QLThumbnailGenerationRequestRepresentationTypes@QLThumbnailGenerationRequestRepresentationTypeLowQualityThumbnail	swift.type.property	lowQualityThumbnail	QLThumbnailGenerator.Request.RepresentationTypes.lowQualityThumbnail	static var lowQualityThumbnail: QLThumbnailGenerator.Request.RepresentationTypes { get }
c:@E@QLThumbnailGenerationRequestRepresentationTypes@QLThumbnailGenerationRequestRepresentationTypeThumbnail	swift.type.property	thumbnail	QLThumbnailGenerator.Request.RepresentationTypes.thumbnail	static var thumbnail: QLThumbnailGenerator.Request.RepresentationTypes { get }
c:@E@QLThumbnailRepresentationType	swift.enum	QLThumbnailRepresentation.RepresentationType	QLThumbnailRepresentation.RepresentationType	enum RepresentationType
c:@E@QLThumbnailRepresentationType@QLThumbnailRepresentationTypeIcon	swift.enum.case	QLThumbnailRepresentation.RepresentationType.icon	QLThumbnailRepresentation.RepresentationType.icon	case icon
c:@E@QLThumbnailRepresentationType@QLThumbnailRepresentationTypeLowQualityThumbnail	swift.enum.case	QLThumbnailRepresentation.RepresentationType.lowQualityThumbnail	QLThumbnailRepresentation.RepresentationType.lowQualityThumbnail	case lowQualityThumbnail
c:@E@QLThumbnailRepresentationType@QLThumbnailRepresentationTypeThumbnail	swift.enum.case	QLThumbnailRepresentation.RepresentationType.thumbnail	QLThumbnailRepresentation.RepresentationType.thumbnail	case thumbnail
c:@QLThumbnailErrorDomain	swift.var	QLThumbnailErrorDomain	QLThumbnailErrorDomain	let QLThumbnailErrorDomain: String
c:objc(cs)QLFileThumbnailRequest	swift.class	QLFileThumbnailRequest	QLFileThumbnailRequest	class QLFileThumbnailRequest
c:objc(cs)QLFileThumbnailRequest(py)fileURL	swift.property	fileURL	QLFileThumbnailRequest.fileURL	var fileURL: URL { get }
c:objc(cs)QLFileThumbnailRequest(py)maximumSize	swift.property	maximumSize	QLFileThumbnailRequest.maximumSize	var maximumSize: CGSize { get }
c:objc(cs)QLFileThumbnailRequest(py)minimumSize	swift.property	minimumSize	QLFileThumbnailRequest.minimumSize	var minimumSize: CGSize { get }
c:objc(cs)QLFileThumbnailRequest(py)scale	swift.property	scale	QLFileThumbnailRequest.scale	var scale: CGFloat { get }
