precise	graphKind	graphPath	status	basis	rawCandidateCount	compatibleCandidateCount	selectedNodePath	candidateNodePaths
s:12RelevanceKit15RelevantContextV	swift.struct	["RelevantContext"]	exact-usr	exact-usr	1	1	/ABIRoot/children/11	["/ABIRoot/children/11"]
s:12RelevanceKit15RelevantContextV01_ab4_MapB0E8location8categoryACSgSo25MKPointOfInterestCategorya_tFZ	swift.type.method	["RelevantContext","location(category:)"]	unmatched	none	0	0		[]
s:12RelevanceKit15RelevantContextV14SleepConditionV	swift.struct	["RelevantContext","SleepCondition"]	exact-usr	exact-usr	1	1	/ABIRoot/children/11/children/6	["/ABIRoot/children/11/children/6"]
s:12RelevanceKit15RelevantContextV14SleepConditionV6wakeupAEvpZ	swift.type.property	["RelevantContext","SleepCondition","wakeup"]	exact-usr	exact-usr	1	1	/ABIRoot/children/11/children/6/children/0	["/ABIRoot/children/11/children/6/children/0"]
s:12RelevanceKit15RelevantContextV14SleepConditionV7bedtimeAEvpZ	swift.type.property	["RelevantContext","SleepCondition","bedtime"]	exact-usr	exact-usr	1	1	/ABIRoot/children/11/children/6/children/1	["/ABIRoot/children/11/children/6/children/1"]
s:12RelevanceKit15RelevantContextV16FitnessConditionV	swift.struct	["RelevantContext","FitnessCondition"]	exact-usr	exact-usr	1	1	/ABIRoot/children/11/children/8	["/ABIRoot/children/11/children/8"]
s:12RelevanceKit15RelevantContextV16FitnessConditionV13workoutActiveAEvpZ	swift.type.property	["RelevantContext","FitnessCondition","workoutActive"]	exact-usr	exact-usr	1	1	/ABIRoot/children/11/children/8/children/0	["/ABIRoot/children/11/children/8/children/0"]
s:12RelevanceKit15RelevantContextV16FitnessConditionV23activityRingsIncompleteAEvpZ	swift.type.property	["RelevantContext","FitnessCondition","activityRingsIncomplete"]	exact-usr	exact-usr	1	1	/ABIRoot/children/11/children/8/children/1	["/ABIRoot/children/11/children/8/children/1"]
s:12RelevanceKit15RelevantContextV16InferredLocationV	swift.struct	["RelevantContext","InferredLocation"]	exact-usr	exact-usr	1	1	/ABIRoot/children/11/children/4	["/ABIRoot/children/11/children/4"]
s:12RelevanceKit15RelevantContextV16InferredLocationV4homeAEvpZ	swift.type.property	["RelevantContext","InferredLocation","home"]	exact-usr	exact-usr	1	1	/ABIRoot/children/11/children/4/children/0	["/ABIRoot/children/11/children/4/children/0"]
s:12RelevanceKit15RelevantContextV16InferredLocationV4workAEvpZ	swift.type.property	["RelevantContext","InferredLocation","work"]	exact-usr	exact-usr	1	1	/ABIRoot/children/11/children/4/children/1	["/ABIRoot/children/11/children/4/children/1"]
s:12RelevanceKit15RelevantContextV16InferredLocationV6schoolAEvpZ	swift.type.property	["RelevantContext","InferredLocation","school"]	exact-usr	exact-usr	1	1	/ABIRoot/children/11/children/4/children/2	["/ABIRoot/children/11/children/4/children/2"]
s:12RelevanceKit15RelevantContextV16InferredLocationV7commuteAEvpZ	swift.type.property	["RelevantContext","InferredLocation","commute"]	exact-usr	exact-usr	1	1	/ABIRoot/children/11/children/4/children/3	["/ABIRoot/children/11/children/4/children/3"]
s:12RelevanceKit15RelevantContextV19HeadphonesConditionV	swift.struct	["RelevantContext","HeadphonesCondition"]	exact-usr	exact-usr	1	1	/ABIRoot/children/11/children/10	["/ABIRoot/children/11/children/10"]
s:12RelevanceKit15RelevantContextV19HeadphonesConditionV9connectedAEvpZ	swift.type.property	["RelevantContext","HeadphonesCondition","connected"]	exact-usr	exact-usr	1	1	/ABIRoot/children/11/children/10/children/0	["/ABIRoot/children/11/children/10/children/0"]
s:12RelevanceKit15RelevantContextV4date4from2toAC10Foundation4DateV_AItFZ	swift.type.method	["RelevantContext","date(from:to:)"]	exact-usr	exact-usr	1	1	/ABIRoot/children/11/children/1	["/ABIRoot/children/11/children/1"]
s:12RelevanceKit15RelevantContextV4date5range4kindACSNy10Foundation4DateVG_AC0I4KindVtFZ	swift.type.method	["RelevantContext","date(range:kind:)"]	exact-usr	exact-usr	1	1	/ABIRoot/children/11/children/13	["/ABIRoot/children/11/children/13"]
s:12RelevanceKit15RelevantContextV4date8interval4kindAC10Foundation12DateIntervalV_AC0I4KindVtFZ	swift.type.method	["RelevantContext","date(interval:kind:)"]	exact-usr	exact-usr	1	1	/ABIRoot/children/11/children/12	["/ABIRoot/children/11/children/12"]
s:12RelevanceKit15RelevantContextV4date_4kindAC10Foundation4DateV_AC0H4KindVtFZ	swift.type.method	["RelevantContext","date(_:kind:)"]	exact-usr	exact-usr	1	1	/ABIRoot/children/11/children/11	["/ABIRoot/children/11/children/11"]
s:12RelevanceKit15RelevantContextV4dateyAC10Foundation4DateVFZ	swift.type.method	["RelevantContext","date(_:)"]	exact-usr	exact-usr	1	1	/ABIRoot/children/11/children/0	["/ABIRoot/children/11/children/0"]
