precise	status	evidence	notes
c:@E@RPCameraPosition	implemented	full/replaykit/ReplayKit.swift; full/replaykit/tests/agent/ReplayKitRuntime.swift	Raw values from public NS_ENUM headers.
c:@E@RPCameraPosition@RPCameraPositionBack	implemented	full/replaykit/ReplayKit.swift; full/replaykit/tests/agent/ReplayKitRuntime.swift	Raw values from public NS_ENUM headers.
c:@E@RPCameraPosition@RPCameraPositionFront	implemented	full/replaykit/ReplayKit.swift; full/replaykit/tests/agent/ReplayKitRuntime.swift	Raw values from public NS_ENUM headers.
c:@E@RPRecordingErrorCode	implemented	full/replaykit/RPError.swift; full/replaykit/tests/agent/ReplayKitRuntime.swift	Public RPError.h numeric codes; Linux fail-closed uses these codes.
c:@E@RPRecordingErrorCode@RPRecordingErrorActivePhoneCall	implemented	full/replaykit/RPError.swift; full/replaykit/tests/agent/ReplayKitRuntime.swift	Public RPError.h numeric codes; Linux fail-closed uses these codes.
c:@E@RPRecordingErrorCode@RPRecordingErrorAttemptToStartInRecordingState	implemented	full/replaykit/RPError.swift; full/replaykit/tests/agent/ReplayKitRuntime.swift	Public RPError.h numeric codes; Linux fail-closed uses these codes.
c:@E@RPRecordingErrorCode@RPRecordingErrorAttemptToStopNonRecording	implemented	full/replaykit/RPError.swift; full/replaykit/tests/agent/ReplayKitRuntime.swift	Public RPError.h numeric codes; Linux fail-closed uses these codes.
c:@E@RPRecordingErrorCode@RPRecordingErrorBroadcastInvalidSession	implemented	full/replaykit/RPError.swift; full/replaykit/tests/agent/ReplayKitRuntime.swift	Public RPError.h numeric codes; Linux fail-closed uses these codes.
c:@E@RPRecordingErrorCode@RPRecordingErrorBroadcastSetupFailed	implemented	full/replaykit/RPError.swift; full/replaykit/tests/agent/ReplayKitRuntime.swift	Public RPError.h numeric codes; Linux fail-closed uses these codes.
c:@E@RPRecordingErrorCode@RPRecordingErrorCarPlay	implemented	full/replaykit/RPError.swift; full/replaykit/tests/agent/ReplayKitRuntime.swift	Public RPError.h numeric codes; Linux fail-closed uses these codes.
c:@E@RPRecordingErrorCode@RPRecordingErrorCodeSuccessful	implemented	full/replaykit/RPError.swift; full/replaykit/tests/agent/ReplayKitRuntime.swift	Public RPError.h numeric codes; Linux fail-closed uses these codes.
c:@E@RPRecordingErrorCode@RPRecordingErrorContentResize	implemented	full/replaykit/RPError.swift; full/replaykit/tests/agent/ReplayKitRuntime.swift	Public RPError.h numeric codes; Linux fail-closed uses these codes.
c:@E@RPRecordingErrorCode@RPRecordingErrorDisabled	implemented	full/replaykit/RPError.swift; full/replaykit/tests/agent/ReplayKitRuntime.swift	Public RPError.h numeric codes; Linux fail-closed uses these codes.
c:@E@RPRecordingErrorCode@RPRecordingErrorEntitlements	implemented	full/replaykit/RPError.swift; full/replaykit/tests/agent/ReplayKitRuntime.swift	Public RPError.h numeric codes; Linux fail-closed uses these codes.
c:@E@RPRecordingErrorCode@RPRecordingErrorExportClipToURLInProgress	implemented	full/replaykit/RPError.swift; full/replaykit/tests/agent/ReplayKitRuntime.swift	Public RPError.h numeric codes; Linux fail-closed uses these codes.
c:@E@RPRecordingErrorCode@RPRecordingErrorFailed	implemented	full/replaykit/RPError.swift; full/replaykit/tests/agent/ReplayKitRuntime.swift	Public RPError.h numeric codes; Linux fail-closed uses these codes.
c:@E@RPRecordingErrorCode@RPRecordingErrorFailedApplicationConnectionInterrupted	implemented	full/replaykit/RPError.swift; full/replaykit/tests/agent/ReplayKitRuntime.swift	Public RPError.h numeric codes; Linux fail-closed uses these codes.
c:@E@RPRecordingErrorCode@RPRecordingErrorFailedApplicationConnectionInvalid	implemented	full/replaykit/RPError.swift; full/replaykit/tests/agent/ReplayKitRuntime.swift	Public RPError.h numeric codes; Linux fail-closed uses these codes.
c:@E@RPRecordingErrorCode@RPRecordingErrorFailedAssetWriterExportCanceled	implemented	full/replaykit/RPError.swift; full/replaykit/tests/agent/ReplayKitRuntime.swift	Public RPError.h numeric codes; Linux fail-closed uses these codes.
c:@E@RPRecordingErrorCode@RPRecordingErrorFailedAssetWriterExportFailed	implemented	full/replaykit/RPError.swift; full/replaykit/tests/agent/ReplayKitRuntime.swift	Public RPError.h numeric codes; Linux fail-closed uses these codes.
c:@E@RPRecordingErrorCode@RPRecordingErrorFailedAssetWriterFailedToSave	implemented	full/replaykit/RPError.swift; full/replaykit/tests/agent/ReplayKitRuntime.swift	Public RPError.h numeric codes; Linux fail-closed uses these codes.
c:@E@RPRecordingErrorCode@RPRecordingErrorFailedAssetWriterInWrongState	implemented	full/replaykit/RPError.swift; full/replaykit/tests/agent/ReplayKitRuntime.swift	Public RPError.h numeric codes; Linux fail-closed uses these codes.
c:@E@RPRecordingErrorCode@RPRecordingErrorFailedIncorrectTimeStamps	implemented	full/replaykit/RPError.swift; full/replaykit/tests/agent/ReplayKitRuntime.swift	Public RPError.h numeric codes; Linux fail-closed uses these codes.
c:@E@RPRecordingErrorCode@RPRecordingErrorFailedMediaServicesFailure	implemented	full/replaykit/RPError.swift; full/replaykit/tests/agent/ReplayKitRuntime.swift	Public RPError.h numeric codes; Linux fail-closed uses these codes.
c:@E@RPRecordingErrorCode@RPRecordingErrorFailedNoAssetWriter	implemented	full/replaykit/RPError.swift; full/replaykit/tests/agent/ReplayKitRuntime.swift	Public RPError.h numeric codes; Linux fail-closed uses these codes.
c:@E@RPRecordingErrorCode@RPRecordingErrorFailedNoMatchingApplicationContext	implemented	full/replaykit/RPError.swift; full/replaykit/tests/agent/ReplayKitRuntime.swift	Public RPError.h numeric codes; Linux fail-closed uses these codes.
c:@E@RPRecordingErrorCode@RPRecordingErrorFailedToObtainURL	implemented	full/replaykit/RPError.swift; full/replaykit/tests/agent/ReplayKitRuntime.swift	Public RPError.h numeric codes; Linux fail-closed uses these codes.
c:@E@RPRecordingErrorCode@RPRecordingErrorFailedToProcessFirstSample	implemented	full/replaykit/RPError.swift; full/replaykit/tests/agent/ReplayKitRuntime.swift	Public RPError.h numeric codes; Linux fail-closed uses these codes.
c:@E@RPRecordingErrorCode@RPRecordingErrorFailedToRemoveFile	implemented	full/replaykit/RPError.swift; full/replaykit/tests/agent/ReplayKitRuntime.swift	Public RPError.h numeric codes; Linux fail-closed uses these codes.
c:@E@RPRecordingErrorCode@RPRecordingErrorFailedToSave	implemented	full/replaykit/RPError.swift; full/replaykit/tests/agent/ReplayKitRuntime.swift	Public RPError.h numeric codes; Linux fail-closed uses these codes.
c:@E@RPRecordingErrorCode@RPRecordingErrorFailedToStart	implemented	full/replaykit/RPError.swift; full/replaykit/tests/agent/ReplayKitRuntime.swift	Public RPError.h numeric codes; Linux fail-closed uses these codes.
c:@E@RPRecordingErrorCode@RPRecordingErrorFailedToStartCaptureStack	implemented	full/replaykit/RPError.swift; full/replaykit/tests/agent/ReplayKitRuntime.swift	Public RPError.h numeric codes; Linux fail-closed uses these codes.
c:@E@RPRecordingErrorCode@RPRecordingErrorFilePermissions	implemented	full/replaykit/RPError.swift; full/replaykit/tests/agent/ReplayKitRuntime.swift	Public RPError.h numeric codes; Linux fail-closed uses these codes.
c:@E@RPRecordingErrorCode@RPRecordingErrorInsufficientStorage	implemented	full/replaykit/RPError.swift; full/replaykit/tests/agent/ReplayKitRuntime.swift	Public RPError.h numeric codes; Linux fail-closed uses these codes.
c:@E@RPRecordingErrorCode@RPRecordingErrorInterrupted	implemented	full/replaykit/RPError.swift; full/replaykit/tests/agent/ReplayKitRuntime.swift	Public RPError.h numeric codes; Linux fail-closed uses these codes.
c:@E@RPRecordingErrorCode@RPRecordingErrorInvalidParameter	implemented	full/replaykit/RPError.swift; full/replaykit/tests/agent/ReplayKitRuntime.swift	Public RPError.h numeric codes; Linux fail-closed uses these codes.
c:@E@RPRecordingErrorCode@RPRecordingErrorPhotoFailure	implemented	full/replaykit/RPError.swift; full/replaykit/tests/agent/ReplayKitRuntime.swift	Public RPError.h numeric codes; Linux fail-closed uses these codes.
c:@E@RPRecordingErrorCode@RPRecordingErrorRecordingInvalidSession	implemented	full/replaykit/RPError.swift; full/replaykit/tests/agent/ReplayKitRuntime.swift	Public RPError.h numeric codes; Linux fail-closed uses these codes.
c:@E@RPRecordingErrorCode@RPRecordingErrorSystemDormancy	implemented	full/replaykit/RPError.swift; full/replaykit/tests/agent/ReplayKitRuntime.swift	Public RPError.h numeric codes; Linux fail-closed uses these codes.
c:@E@RPRecordingErrorCode@RPRecordingErrorUnknown	implemented	full/replaykit/RPError.swift; full/replaykit/tests/agent/ReplayKitRuntime.swift	Public RPError.h numeric codes; Linux fail-closed uses these codes.
c:@E@RPRecordingErrorCode@RPRecordingErrorUserDeclined	implemented	full/replaykit/RPError.swift; full/replaykit/tests/agent/ReplayKitRuntime.swift	Public RPError.h numeric codes; Linux fail-closed uses these codes.
c:@E@RPRecordingErrorCode@RPRecordingErrorVideoMixingFailure	implemented	full/replaykit/RPError.swift; full/replaykit/tests/agent/ReplayKitRuntime.swift	Public RPError.h numeric codes; Linux fail-closed uses these codes.
c:@E@RPSampleBufferType	implemented	full/replaykit/ReplayKit.swift; full/replaykit/tests/agent/ReplayKitRuntime.swift	Raw values from public NS_ENUM headers.
c:@E@RPSampleBufferType@RPSampleBufferTypeAudioApp	implemented	full/replaykit/ReplayKit.swift; full/replaykit/tests/agent/ReplayKitRuntime.swift	Raw values from public NS_ENUM headers.
c:@E@RPSampleBufferType@RPSampleBufferTypeAudioMic	implemented	full/replaykit/ReplayKit.swift; full/replaykit/tests/agent/ReplayKitRuntime.swift	Raw values from public NS_ENUM headers.
c:@E@RPSampleBufferType@RPSampleBufferTypeVideo	implemented	full/replaykit/ReplayKit.swift; full/replaykit/tests/agent/ReplayKitRuntime.swift	Raw values from public NS_ENUM headers.
c:@RPApplicationInfoBundleIdentifierKey	implemented	full/replaykit/ReplayKit.swift; full/replaykit/tests/agent/ReplayKitRuntime.swift	String equals the public symbol name pending Darwin runtime confirmation.
c:@RPRecordingErrorDomain	implemented	full/replaykit/ReplayKit.swift; full/replaykit/tests/agent/ReplayKitRuntime.swift	String equals the public symbol name pending Darwin runtime confirmation.
c:@RPVideoSampleOrientationKey	implemented	full/replaykit/ReplayKit.swift; full/replaykit/tests/agent/ReplayKitRuntime.swift	String equals the public symbol name pending Darwin runtime confirmation.
c:@SCStreamErrorDomain	implemented	full/replaykit/ReplayKit.swift; full/replaykit/tests/agent/ReplayKitRuntime.swift	String equals the public symbol name pending Darwin runtime confirmation.
c:objc(cs)NSExtensionContext(im)completeRequestWithBroadcastURL:broadcastConfiguration:setupInfo:	implemented	full/replaykit/ReplayKitLinuxSupport.swift; full/replaykit/tests/agent/ReplayKitRuntime.swift	Linux Foundation has no extension host; completeRequest records in-process and loadBroadcastingApplicationInfo returns empty identity.
c:objc(cs)NSExtensionContext(im)completeRequestWithBroadcastURL:setupInfo:	implemented	full/replaykit/ReplayKitLinuxSupport.swift; full/replaykit/tests/agent/ReplayKitRuntime.swift	Linux Foundation has no extension host; completeRequest records in-process and loadBroadcastingApplicationInfo returns empty identity.
c:objc(cs)NSExtensionContext(im)loadBroadcastingApplicationInfoWithCompletion:	implemented	full/replaykit/ReplayKitLinuxSupport.swift; full/replaykit/tests/agent/ReplayKitRuntime.swift	Linux Foundation has no extension host; completeRequest records in-process and loadBroadcastingApplicationInfo returns empty identity.
c:objc(cs)RPBroadcastActivityViewController	implemented	full/replaykit/RPPreview.swift; full/replaykit/tests/agent/ReplayKitRuntime.swift	load fails closed; no broadcast extension catalog on Linux.
c:objc(cs)RPBroadcastActivityViewController(cm)loadBroadcastActivityViewControllerWithHandler:	implemented	full/replaykit/RPPreview.swift; full/replaykit/tests/agent/ReplayKitRuntime.swift	load fails closed; no broadcast extension catalog on Linux.
c:objc(cs)RPBroadcastActivityViewController(cm)loadBroadcastActivityViewControllerWithPreferredExtension:handler:	implemented	full/replaykit/RPPreview.swift; full/replaykit/tests/agent/ReplayKitRuntime.swift	load fails closed; no broadcast extension catalog on Linux.
c:objc(cs)RPBroadcastActivityViewController(py)delegate	implemented	full/replaykit/RPPreview.swift; full/replaykit/tests/agent/ReplayKitRuntime.swift	load fails closed; no broadcast extension catalog on Linux.
c:objc(cs)RPBroadcastConfiguration	implemented	full/replaykit/RPBroadcast.swift; full/replaykit/tests/agent/ReplayKitRuntime.swift	Local NSSecureCoding configuration object; does not drive an Apple encoder.
c:objc(cs)RPBroadcastConfiguration(py)clipDuration	implemented	full/replaykit/RPBroadcast.swift; full/replaykit/tests/agent/ReplayKitRuntime.swift	Local NSSecureCoding configuration object; does not drive an Apple encoder.
c:objc(cs)RPBroadcastConfiguration(py)videoCompressionProperties	implemented	full/replaykit/RPBroadcast.swift; full/replaykit/tests/agent/ReplayKitRuntime.swift	Local NSSecureCoding configuration object; does not drive an Apple encoder.
c:objc(cs)RPBroadcastController	implemented	full/replaykit/RPBroadcast.swift; full/replaykit/tests/agent/ReplayKitRuntime.swift	Idle controller; start/finish fail closed.
c:objc(cs)RPBroadcastController(im)finishBroadcastWithHandler:	implemented	full/replaykit/RPBroadcast.swift; full/replaykit/tests/agent/ReplayKitRuntime.swift	Idle controller; start/finish fail closed.
c:objc(cs)RPBroadcastController(im)pauseBroadcast	implemented	full/replaykit/RPBroadcast.swift; full/replaykit/tests/agent/ReplayKitRuntime.swift	Idle controller; start/finish fail closed.
c:objc(cs)RPBroadcastController(im)resumeBroadcast	implemented	full/replaykit/RPBroadcast.swift; full/replaykit/tests/agent/ReplayKitRuntime.swift	Idle controller; start/finish fail closed.
c:objc(cs)RPBroadcastController(im)startBroadcastWithHandler:	implemented	full/replaykit/RPBroadcast.swift; full/replaykit/tests/agent/ReplayKitRuntime.swift	Idle controller; start/finish fail closed.
c:objc(cs)RPBroadcastController(py)broadcastExtensionBundleID	implemented	full/replaykit/RPBroadcast.swift; full/replaykit/tests/agent/ReplayKitRuntime.swift	Idle controller; start/finish fail closed.
c:objc(cs)RPBroadcastController(py)broadcastURL	implemented	full/replaykit/RPBroadcast.swift; full/replaykit/tests/agent/ReplayKitRuntime.swift	Idle controller; start/finish fail closed.
c:objc(cs)RPBroadcastController(py)broadcasting	implemented	full/replaykit/RPBroadcast.swift; full/replaykit/tests/agent/ReplayKitRuntime.swift	Idle controller; start/finish fail closed.
c:objc(cs)RPBroadcastController(py)delegate	implemented	full/replaykit/RPBroadcast.swift; full/replaykit/tests/agent/ReplayKitRuntime.swift	Idle controller; start/finish fail closed.
c:objc(cs)RPBroadcastController(py)paused	implemented	full/replaykit/RPBroadcast.swift; full/replaykit/tests/agent/ReplayKitRuntime.swift	Idle controller; start/finish fail closed.
c:objc(cs)RPBroadcastController(py)serviceInfo	implemented	full/replaykit/RPBroadcast.swift; full/replaykit/tests/agent/ReplayKitRuntime.swift	Idle controller; start/finish fail closed.
c:objc(cs)RPBroadcastHandler	implemented	full/replaykit/RPBroadcast.swift; full/replaykit/tests/agent/ReplayKitRuntime.swift	Subclassable in-process extension handlers; no daemon IPC.
c:objc(cs)RPBroadcastHandler(im)updateBroadcastURL:	implemented	full/replaykit/RPBroadcast.swift; full/replaykit/tests/agent/ReplayKitRuntime.swift	Subclassable in-process extension handlers; no daemon IPC.
c:objc(cs)RPBroadcastHandler(im)updateServiceInfo:	implemented	full/replaykit/RPBroadcast.swift; full/replaykit/tests/agent/ReplayKitRuntime.swift	Subclassable in-process extension handlers; no daemon IPC.
c:objc(cs)RPBroadcastMP4ClipHandler	implemented	full/replaykit/RPBroadcast.swift; full/replaykit/tests/agent/ReplayKitRuntime.swift	Subclassable in-process extension handlers; no daemon IPC.
c:objc(cs)RPBroadcastMP4ClipHandler(im)finishedProcessingMP4ClipWithUpdatedBroadcastConfiguration:error:	implemented	full/replaykit/RPBroadcast.swift; full/replaykit/tests/agent/ReplayKitRuntime.swift	Subclassable in-process extension handlers; no daemon IPC.
c:objc(cs)RPBroadcastMP4ClipHandler(im)processMP4ClipWithURL:setupInfo:finished:	implemented	full/replaykit/RPBroadcast.swift; full/replaykit/tests/agent/ReplayKitRuntime.swift	Subclassable in-process extension handlers; no daemon IPC.
c:objc(cs)RPBroadcastSampleHandler	implemented	full/replaykit/RPBroadcast.swift; full/replaykit/tests/agent/ReplayKitRuntime.swift	Subclassable in-process extension handlers; no daemon IPC.
c:objc(cs)RPBroadcastSampleHandler(im)broadcastAnnotatedWithApplicationInfo:	implemented	full/replaykit/RPBroadcast.swift; full/replaykit/tests/agent/ReplayKitRuntime.swift	Subclassable in-process extension handlers; no daemon IPC.
c:objc(cs)RPBroadcastSampleHandler(im)broadcastFinished	implemented	full/replaykit/RPBroadcast.swift; full/replaykit/tests/agent/ReplayKitRuntime.swift	Subclassable in-process extension handlers; no daemon IPC.
c:objc(cs)RPBroadcastSampleHandler(im)broadcastPaused	implemented	full/replaykit/RPBroadcast.swift; full/replaykit/tests/agent/ReplayKitRuntime.swift	Subclassable in-process extension handlers; no daemon IPC.
c:objc(cs)RPBroadcastSampleHandler(im)broadcastResumed	implemented	full/replaykit/RPBroadcast.swift; full/replaykit/tests/agent/ReplayKitRuntime.swift	Subclassable in-process extension handlers; no daemon IPC.
c:objc(cs)RPBroadcastSampleHandler(im)broadcastStartedWithSetupInfo:	implemented	full/replaykit/RPBroadcast.swift; full/replaykit/tests/agent/ReplayKitRuntime.swift	Subclassable in-process extension handlers; no daemon IPC.
c:objc(cs)RPBroadcastSampleHandler(im)finishBroadcastWithError:	implemented	full/replaykit/RPBroadcast.swift; full/replaykit/tests/agent/ReplayKitRuntime.swift	Subclassable in-process extension handlers; no daemon IPC.
c:objc(cs)RPBroadcastSampleHandler(im)processSampleBuffer:withType:	implemented	full/replaykit/RPBroadcast.swift; full/replaykit/tests/agent/ReplayKitRuntime.swift	Subclassable in-process extension handlers; no daemon IPC.
c:objc(cs)RPPreviewViewController	implemented	full/replaykit/RPPreview.swift; full/replaykit/tests/agent/ReplayKitRuntime.swift	Preview UI is source-compatible only; no recording is produced.
c:objc(cs)RPPreviewViewController(py)previewControllerDelegate	implemented	full/replaykit/RPPreview.swift; full/replaykit/tests/agent/ReplayKitRuntime.swift	Preview UI is source-compatible only; no recording is produced.
c:objc(cs)RPScreenRecorder	implemented	full/replaykit/RPScreenRecorder.swift; full/replaykit/tests/agent/ReplayKitRuntime.swift	Capture/recording APIs fail closed; availability is false; camera/mic flags are stored locally.
c:objc(cs)RPScreenRecorder(cm)sharedRecorder	implemented	full/replaykit/RPScreenRecorder.swift; full/replaykit/tests/agent/ReplayKitRuntime.swift	Capture/recording APIs fail closed; availability is false; camera/mic flags are stored locally.
c:objc(cs)RPScreenRecorder(im)discardRecordingWithHandler:	implemented	full/replaykit/RPScreenRecorder.swift; full/replaykit/tests/agent/ReplayKitRuntime.swift	Capture/recording APIs fail closed; availability is false; camera/mic flags are stored locally.
