precise	graphKind	graphPath	status	basis	rawCandidateCount	compatibleCandidateCount	selectedNodePath	candidateNodePaths
c:@E@SFAuthenticationError	swift.enum	["SFAuthenticationError","Code"]	exact-usr	exact-usr	3	1	/ABIRoot/children/15/children/3	["/ABIRoot/children/15","/ABIRoot/children/15/children/3","/ABIRoot/children/15/children/3/children/3"]
c:@E@SFAuthenticationError@SFAuthenticationErrorCanceledLogin	swift.enum.case	["SFAuthenticationError","Code","canceledLogin"]	exact-usr	exact-usr	2	1	/ABIRoot/children/15/children/3/children/4	["/ABIRoot/children/15/children/3/children/4","/ABIRoot/children/15/children/4"]
c:@E@SFContentBlockerErrorCode	swift.enum	["SFContentBlockerErrorCode"]	unmatched	none	0	0		[]
c:@E@SFContentBlockerErrorCode@SFContentBlockerLoadingInterrupted	swift.enum.case	["SFContentBlockerErrorCode","loadingInterrupted"]	unmatched	none	0	0		[]
c:@E@SFContentBlockerErrorCode@SFContentBlockerNoAttachmentFound	swift.enum.case	["SFContentBlockerErrorCode","noAttachmentFound"]	unmatched	none	0	0		[]
c:@E@SFContentBlockerErrorCode@SFContentBlockerNoExtensionFound	swift.enum.case	["SFContentBlockerErrorCode","noExtensionFound"]	unmatched	none	0	0		[]
c:@E@SFErrorCode	swift.enum	["SFError","Code"]	exact-usr	exact-usr	3	1	/ABIRoot/children/16/children/3	["/ABIRoot/children/16","/ABIRoot/children/16/children/3","/ABIRoot/children/16/children/3/children/3"]
c:@E@SFErrorCode@SFErrorInternalError	swift.enum.case	["SFError","Code","internalError"]	exact-usr	exact-usr	2	1	/ABIRoot/children/16/children/3/children/7	["/ABIRoot/children/16/children/3/children/7","/ABIRoot/children/16/children/7"]
c:@E@SFErrorCode@SFErrorLoadingInterrupted	swift.enum.case	["SFError","Code","loadingInterrupted"]	exact-usr	exact-usr	2	1	/ABIRoot/children/16/children/3/children/6	["/ABIRoot/children/16/children/3/children/6","/ABIRoot/children/16/children/6"]
c:@E@SFErrorCode@SFErrorMissingEntitlement	swift.enum.case	["SFError","Code","missingEntitlement"]	exact-usr	exact-usr	2	1	/ABIRoot/children/16/children/3/children/8	["/ABIRoot/children/16/children/3/children/8","/ABIRoot/children/16/children/8"]
c:@E@SFErrorCode@SFErrorNoAttachmentFound	swift.enum.case	["SFError","Code","noAttachmentFound"]	exact-usr	exact-usr	2	1	/ABIRoot/children/16/children/3/children/5	["/ABIRoot/children/16/children/3/children/5","/ABIRoot/children/16/children/5"]
c:@E@SFErrorCode@SFErrorNoExtensionFound	swift.enum.case	["SFError","Code","noExtensionFound"]	exact-usr	exact-usr	2	1	/ABIRoot/children/16/children/3/children/4	["/ABIRoot/children/16/children/3/children/4","/ABIRoot/children/16/children/4"]
c:@E@SFSafariViewControllerDismissButtonStyle	swift.enum	["SFSafariViewController","DismissButtonStyle"]	unmatched	none	0	0		[]
c:@E@SFSafariViewControllerDismissButtonStyle@SFSafariViewControllerDismissButtonStyleCancel	swift.enum.case	["SFSafariViewController","DismissButtonStyle","cancel"]	unmatched	none	0	0		[]
c:@E@SFSafariViewControllerDismissButtonStyle@SFSafariViewControllerDismissButtonStyleClose	swift.enum.case	["SFSafariViewController","DismissButtonStyle","close"]	unmatched	none	0	0		[]
c:@E@SFSafariViewControllerDismissButtonStyle@SFSafariViewControllerDismissButtonStyleDone	swift.enum.case	["SFSafariViewController","DismissButtonStyle","done"]	unmatched	none	0	0		[]
c:@E@SSReadingListErrorCode	swift.enum	["SSReadingListError","Code"]	exact-usr	exact-usr	3	1	/ABIRoot/children/17/children/3	["/ABIRoot/children/17","/ABIRoot/children/17/children/3","/ABIRoot/children/17/children/3/children/3"]
c:@E@SSReadingListErrorCode@SSReadingListErrorURLSchemeNotAllowed	swift.enum.case	["SSReadingListError","Code","urlSchemeNotAllowed"]	exact-usr	exact-usr	2	1	/ABIRoot/children/17/children/3/children/4	["/ABIRoot/children/17/children/3/children/4","/ABIRoot/children/17/children/4"]
c:@SFAuthenticationErrorDomain	swift.var	["SFAuthenticationErrorDomain"]	unmatched	none	0	0		[]
c:@SFContentBlockerErrorDomain	swift.var	["SFContentBlockerErrorDomain"]	unmatched	none	0	0		[]
c:@SFErrorDomain	swift.var	["SFErrorDomain"]	unmatched	none	0	0		[]
c:@SFExtensionMessageKey	swift.var	["SFExtensionMessageKey"]	unmatched	none	0	0		[]
c:@SFExtensionProfileKey	swift.var	["SFExtensionProfileKey"]	unmatched	none	0	0		[]
c:@SSReadingListErrorDomain	swift.var	["SSReadingListErrorDomain"]	unmatched	none	0	0		[]
c:@T@SFAuthenticationCompletionHandler	swift.typealias	["SFAuthenticationSession","CompletionHandler"]	unmatched	none	0	0		[]
c:objc(cs)SFAddToHomeScreenInfo	swift.class	["SFAddToHomeScreenInfo"]	import-name	exported-import-name	1	1	/ABIRoot/children/1	["/ABIRoot/children/1"]
c:objc(cs)SFAddToHomeScreenInfo(im)initWithManifest:	swift.init	["SFAddToHomeScreenInfo","init(manifest:)"]	unmatched	none	0	0		[]
c:objc(cs)SFAddToHomeScreenInfo(py)manifest	swift.property	["SFAddToHomeScreenInfo","manifest"]	unmatched	none	0	0		[]
c:objc(cs)SFAddToHomeScreenInfo(py)websiteCookies	swift.property	["SFAddToHomeScreenInfo","websiteCookies"]	unmatched	none	0	0		[]
c:objc(cs)SFAuthenticationSession	swift.class	["SFAuthenticationSession"]	import-name	exported-import-name	1	1	/ABIRoot/children/2	["/ABIRoot/children/2"]
c:objc(cs)SFAuthenticationSession(im)cancel	swift.method	["SFAuthenticationSession","cancel()"]	unmatched	none	0	0		[]
c:objc(cs)SFAuthenticationSession(im)initWithURL:callbackURLScheme:completionHandler:	swift.init	["SFAuthenticationSession","init(url:callbackURLScheme:completionHandler:)"]	unmatched	none	0	0		[]
c:objc(cs)SFAuthenticationSession(im)initWithURL:callbackURLScheme:completionHandler:::SYNTHESIZED::c:objc(cs)SFAuthenticationSession	swift.init	["SFAuthenticationSession","init(URL:callbackURLScheme:completionHandler:)"]	unmatched	none	0	0		[]
c:objc(cs)SFAuthenticationSession(im)start	swift.method	["SFAuthenticationSession","start()"]	unmatched	none	0	0		[]
c:objc(cs)SFContentBlockerManager	swift.class	["SFContentBlockerManager"]	import-name	exported-import-name	1	1	/ABIRoot/children/3	["/ABIRoot/children/3"]
c:objc(cs)SFContentBlockerManager(cm)getStateOfContentBlockerWithIdentifier:completionHandler:	swift.type.method	["SFContentBlockerManager","getStateOfContentBlocker(withIdentifier:completionHandler:)"]	unmatched	none	0	0		[]
c:objc(cs)SFContentBlockerManager(cm)reloadContentBlockerWithIdentifier:completionHandler:	swift.type.method	["SFContentBlockerManager","reloadContentBlocker(withIdentifier:)"]	unmatched	none	0	0		[]
c:objc(cs)SFContentBlockerState	swift.class	["SFContentBlockerState"]	import-name	exported-import-name	1	1	/ABIRoot/children/4	["/ABIRoot/children/4"]
c:objc(cs)SFContentBlockerState(py)enabled	swift.property	["SFContentBlockerState","isEnabled"]	unmatched	none	0	0		[]
c:objc(cs)SFSafariSettings	swift.class	["SFSafariSettings"]	import-name	exported-import-name	1	1	/ABIRoot/children/8	["/ABIRoot/children/8"]
c:objc(cs)SFSafariSettings(cm)openExportBrowsingDataSettingsWithCompletionHandler:	swift.type.method	["SFSafariSettings","openExportBrowsingDataSettings(completionHandler:)"]	unmatched	none	0	0		[]
c:objc(cs)SFSafariViewController	swift.class	["SFSafariViewController"]	import-name	exported-import-name	1	1	/ABIRoot/children/9	["/ABIRoot/children/9"]
