precise	kind	title	path	declaration
c:@E@SFAuthenticationError	swift.enum	SFAuthenticationError.Code	SFAuthenticationError.Code	enum Code
c:@E@SFAuthenticationError@SFAuthenticationErrorCanceledLogin	swift.enum.case	SFAuthenticationError.Code.canceledLogin	SFAuthenticationError.Code.canceledLogin	case canceledLogin
c:@E@SFContentBlockerErrorCode	swift.enum	SFContentBlockerErrorCode	SFContentBlockerErrorCode	enum SFContentBlockerErrorCode
c:@E@SFContentBlockerErrorCode@SFContentBlockerLoadingInterrupted	swift.enum.case	SFContentBlockerErrorCode.loadingInterrupted	SFContentBlockerErrorCode.loadingInterrupted	case loadingInterrupted
c:@E@SFContentBlockerErrorCode@SFContentBlockerNoAttachmentFound	swift.enum.case	SFContentBlockerErrorCode.noAttachmentFound	SFContentBlockerErrorCode.noAttachmentFound	case noAttachmentFound
c:@E@SFContentBlockerErrorCode@SFContentBlockerNoExtensionFound	swift.enum.case	SFContentBlockerErrorCode.noExtensionFound	SFContentBlockerErrorCode.noExtensionFound	case noExtensionFound
c:@E@SFErrorCode	swift.enum	SFError.Code	SFError.Code	enum Code
c:@E@SFErrorCode@SFErrorInternalError	swift.enum.case	SFError.Code.internalError	SFError.Code.internalError	case internalError
c:@E@SFErrorCode@SFErrorLoadingInterrupted	swift.enum.case	SFError.Code.loadingInterrupted	SFError.Code.loadingInterrupted	case loadingInterrupted
c:@E@SFErrorCode@SFErrorMissingEntitlement	swift.enum.case	SFError.Code.missingEntitlement	SFError.Code.missingEntitlement	case missingEntitlement
c:@E@SFErrorCode@SFErrorNoAttachmentFound	swift.enum.case	SFError.Code.noAttachmentFound	SFError.Code.noAttachmentFound	case noAttachmentFound
c:@E@SFErrorCode@SFErrorNoExtensionFound	swift.enum.case	SFError.Code.noExtensionFound	SFError.Code.noExtensionFound	case noExtensionFound
c:@E@SFSafariViewControllerDismissButtonStyle	swift.enum	SFSafariViewController.DismissButtonStyle	SFSafariViewController.DismissButtonStyle	enum DismissButtonStyle
c:@E@SFSafariViewControllerDismissButtonStyle@SFSafariViewControllerDismissButtonStyleCancel	swift.enum.case	SFSafariViewController.DismissButtonStyle.cancel	SFSafariViewController.DismissButtonStyle.cancel	case cancel
