category	sdkRelativePath	size	sha256
header	System/Library/Frameworks/SafariServices.framework/Headers/SFAddToHomeScreenActivityItem.h	1852	5af17f27642d482939aa1aa8ddac05fec971689366c33b49a16dc71c920a1c9b
header	System/Library/Frameworks/SafariServices.framework/Headers/SFAddToHomeScreenInfo.h	936	338256857a2adbd63e642281b85d64669ddd2088d90c36a1c4df3b9a64b8766e
header	System/Library/Frameworks/SafariServices.framework/Headers/SFAuthenticationSession.h	4581	30f897222d384de195832e6ffece4ae2ba57328230f26a5fd14422056a6edbeb
header	System/Library/Frameworks/SafariServices.framework/Headers/SFContentBlockerManager.h	1878	cd50dc95bbd21ec102061a83b9884b92e25a87ae0a0f29602182fa8706e91dc4
header	System/Library/Frameworks/SafariServices.framework/Headers/SFContentBlockerState.h	355	37e944c69edba01be3b61fef51ffb45c4186f15c4c8831264d4883bd5e936920
header	System/Library/Frameworks/SafariServices.framework/Headers/SFError.h	515	57a8410f335837e8585e5df42c75e62dcd2d67d48ffe06038b346b6504a96ac1
header	System/Library/Frameworks/SafariServices.framework/Headers/SFFoundation.h	268	ebdd6aaf0d4ef7ed65c19012ce317060679cb445846dc1d8ac60631c7d7813ef
header	System/Library/Frameworks/SafariServices.framework/Headers/SFSafariApplication.h	352	c0064a3028b5dbce7fbe0011c430e1b78bb27641ffb7c0a5cde1b41a1397a304
header	System/Library/Frameworks/SafariServices.framework/Headers/SFSafariSettings.h	555	03fe74742199bde21ce261f62fd6aa062dcc1ac8ed729017b8a2f5c28ccc3f2b
header	System/Library/Frameworks/SafariServices.framework/Headers/SFSafariViewController.h	8684	60465ce408c24d12a319f9e5c7bcd6b691a407a5536bfe26d8cdf5b738a2a5c0
header	System/Library/Frameworks/SafariServices.framework/Headers/SFSafariViewControllerActivityButton.h	2871	a26a92b165103b745bfe40e62b1e73ce02d2d1f4b3d7a015eaa1efdc152faaf1
header	System/Library/Frameworks/SafariServices.framework/Headers/SFSafariViewControllerConfiguration.h	1782	f76b5a399ebb8dea4bfd15515612677d06408968d2b91117fd1a8ada4f07e1fc
header	System/Library/Frameworks/SafariServices.framework/Headers/SFSafariViewControllerDataStore.h	787	a23f8c625e38e7c6a81393c1854417b76fcf786cd6c2adbef92e190065a5ea51
header	System/Library/Frameworks/SafariServices.framework/Headers/SFSafariViewControllerPrewarmingToken.h	564	249e06f82f73119d545698d20dbd26a766f10ccc7c959fd7858671a5b3c589d7
header	System/Library/Frameworks/SafariServices.framework/Headers/SSReadingList.h	1999	2160bf3b00d6f6bf5b2233f8fa1b576d8b6802e40e6d766d5db75a94187dbb13
header	System/Library/Frameworks/SafariServices.framework/Headers/SafariServices.apinotes	490	d70ab5e24227ef8c762ae36e2f3de40603c49e313a4058484d172b9867668325
header	System/Library/Frameworks/SafariServices.framework/Headers/SafariServices.h	870	3c7d45bea5be24068e6104918b0f46a323e506ed3fa537dfb2096b88ab52d399
swiftinterface	System/Library/Frameworks/SafariServices.framework/Modules/SafariServices.swiftmodule/arm64e-apple-ios.swiftinterface	727	edeeec9788f2ce9801a4d1987fc98ebc9133a99ceb94529bad4cac5e21ebd7db
modulemap	System/Library/Frameworks/SafariServices.framework/Modules/module.modulemap	123	61a109b7e62ce9ed77003cf38b1a9c385691da905d078b7362ab5c504d316231
tbd	System/Library/Frameworks/SafariServices.framework/SafariServices.tbd	11355	48e91c118cafb9d500762d95211ee7106b0cbbd24951c0511e17de64fc831cb8
