precise	status	evidence	notes
c:@E@SAAuthorizationStatus	implemented	test:full/safetykit/tests/agent/SAAuthorizationStatusTests.swift#testSAAuthorizationStatusRawValues	
c:@E@SAAuthorizationStatus@SAAuthorizationStatusAuthorized	implemented	test:full/safetykit/tests/agent/SAAuthorizationStatusTests.swift#testSAAuthorizationStatusRawValues	
c:@E@SAAuthorizationStatus@SAAuthorizationStatusDenied	implemented	test:full/safetykit/tests/agent/SAAuthorizationStatusTests.swift#testSAAuthorizationStatusRawValues	
c:@E@SAAuthorizationStatus@SAAuthorizationStatusNotDetermined	implemented	test:full/safetykit/tests/agent/SAAuthorizationStatusTests.swift#testSAAuthorizationStatusRawValues	
c:@E@SACrashDetectionEventResponse	implemented	test:full/safetykit/tests/agent/SACrashDetectionTests.swift#testSACrashDetectionEventResponseRawValues	
c:@E@SACrashDetectionEventResponse@SACrashDetectionEventResponseAttempted	implemented	test:full/safetykit/tests/agent/SACrashDetectionTests.swift#testSACrashDetectionEventResponseRawValues	
c:@E@SACrashDetectionEventResponse@SACrashDetectionEventResponseDisabled	implemented	test:full/safetykit/tests/agent/SACrashDetectionTests.swift#testSACrashDetectionEventResponseRawValues	
c:@E@SAEmergencyResponseManagerVoiceCallStatus	implemented	test:full/safetykit/tests/agent/SAEmergencyResponseTests.swift#testSAEmergencyResponseVoiceCallStatusRawValues	
c:@E@SAEmergencyResponseManagerVoiceCallStatus@SAEmergencyResponseManagerVoiceCallStatusActive	implemented	test:full/safetykit/tests/agent/SAEmergencyResponseTests.swift#testSAEmergencyResponseVoiceCallStatusRawValues	
c:@E@SAEmergencyResponseManagerVoiceCallStatus@SAEmergencyResponseManagerVoiceCallStatusDialing	implemented	test:full/safetykit/tests/agent/SAEmergencyResponseTests.swift#testSAEmergencyResponseVoiceCallStatusRawValues	
c:@E@SAEmergencyResponseManagerVoiceCallStatus@SAEmergencyResponseManagerVoiceCallStatusDisconnected	implemented	test:full/safetykit/tests/agent/SAEmergencyResponseTests.swift#testSAEmergencyResponseVoiceCallStatusRawValues	
c:@E@SAEmergencyResponseManagerVoiceCallStatus@SAEmergencyResponseManagerVoiceCallStatusFailed	implemented	test:full/safetykit/tests/agent/SAEmergencyResponseTests.swift#testSAEmergencyResponseVoiceCallStatusRawValues	
c:@E@SAErrorCode	implemented	test:full/safetykit/tests/agent/SAErrorTests.swift#testSAErrorCodeRawValues	
c:@E@SAErrorCode@SAErrorInvalidArgument	implemented	test:full/safetykit/tests/agent/SAErrorTests.swift#testSAErrorCodeRawValues	
c:@E@SAErrorCode@SAErrorNotAllowed	implemented	test:full/safetykit/tests/agent/SAErrorTests.swift#testSAErrorCodeRawValues	
c:@E@SAErrorCode@SAErrorNotAuthorized	implemented	test:full/safetykit/tests/agent/SAErrorTests.swift#testSAErrorCodeRawValues	
c:@E@SAErrorCode@SAErrorOperationFailed	implemented	test:full/safetykit/tests/agent/SAErrorTests.swift#testSAErrorCodeRawValues	
c:@SAErrorDomain	implemented	test:full/safetykit/tests/agent/SAErrorTests.swift#testSAErrorDomain	
c:objc(cs)SACrashDetectionEvent	implemented	test:full/safetykit/tests/agent/SACrashDetectionTests.swift#testSACrashDetectionEventHostMakeStoresProperties	
c:objc(cs)SACrashDetectionEvent(py)date	implemented	test:full/safetykit/tests/agent/SACrashDetectionTests.swift#testSACrashDetectionEventDate	
c:objc(cs)SACrashDetectionEvent(py)location	implemented	test:full/safetykit/tests/agent/SACrashDetectionTests.swift#testSACrashDetectionEventLocation	
c:objc(cs)SACrashDetectionEvent(py)response	implemented	test:full/safetykit/tests/agent/SACrashDetectionTests.swift#testSACrashDetectionEventResponseProperty	
c:objc(cs)SACrashDetectionManager	implemented	test:full/safetykit/tests/agent/SACrashDetectionTests.swift#testSACrashDetectionManagerConstructible	
c:objc(cs)SACrashDetectionManager(cpy)available	implemented	test:full/safetykit/tests/agent/SACrashDetectionTests.swift#testSACrashDetectionManagerIsAvailableFalse	
c:objc(cs)SACrashDetectionManager(im)requestAuthorizationWithCompletionHandler:	implemented	test:full/safetykit/tests/agent/SACrashDetectionTests.swift#testSACrashDetectionManagerRequestAuthorizationFailClosed	
c:objc(cs)SACrashDetectionManager(py)authorizationStatus	implemented	test:full/safetykit/tests/agent/SACrashDetectionTests.swift#testSACrashDetectionManagerAuthorizationStatusNotDetermined	
c:objc(cs)SACrashDetectionManager(py)delegate	implemented	test:full/safetykit/tests/agent/SACrashDetectionTests.swift#testSACrashDetectionManagerDelegateRoundTrip	
c:objc(cs)SAEmergencyResponseManager	implemented	test:full/safetykit/tests/agent/SAEmergencyResponseTests.swift#testSAEmergencyResponseManagerConstructible	
c:objc(cs)SAEmergencyResponseManager(im)dialVoiceCallToPhoneNumber:completionHandler:	implemented	test:full/safetykit/tests/agent/SAEmergencyResponseTests.swift#testSAEmergencyResponseManagerDialVoiceCallFailClosed	
c:objc(cs)SAEmergencyResponseManager(py)delegate	implemented	test:full/safetykit/tests/agent/SAEmergencyResponseTests.swift#testSAEmergencyResponseManagerDelegateRoundTrip	
c:objc(pl)NSCoding(im)initWithCoder:::SYNTHESIZED::c:objc(cs)SACrashDetectionEvent	implemented	test:full/safetykit/tests/agent/SACrashDetectionTests.swift#testSACrashDetectionEventInitCoder	
c:objc(pl)SACrashDetectionDelegate	implemented	test:full/safetykit/tests/agent/SACrashDetectionTests.swift#testSACrashDetectionDelegateConformance	
c:objc(pl)SACrashDetectionDelegate(im)crashDetectionManager:didDetectEvent:	implemented	test:full/safetykit/tests/agent/SACrashDetectionTests.swift#testSACrashDetectionDelegateDidDetect	
c:objc(pl)SAEmergencyResponseDelegate	implemented	test:full/safetykit/tests/agent/SAEmergencyResponseTests.swift#testSAEmergencyResponseDelegateConformance	
c:objc(pl)SAEmergencyResponseDelegate(im)emergencyResponseManager:didUpdateVoiceCallStatus:	implemented	test:full/safetykit/tests/agent/SAEmergencyResponseTests.swift#testSAEmergencyResponseDelegateDidUpdateVoiceCallStatus	
s:10Foundation13CustomNSErrorPAAE11errorDomainSSvpZ::SYNTHESIZED::c:@E@SAErrorCode	implemented	test:full/safetykit/tests/agent/SAErrorTests.swift#testSAErrorDomain	
s:10Foundation13CustomNSErrorPAAE13errorUserInfoSDySSypGvp::SYNTHESIZED::c:@E@SAErrorCode	implemented	test:full/safetykit/tests/agent/SAErrorTests.swift#testSAErrorInitUserInfoAndCustomNSError	
s:10Foundation13CustomNSErrorPAAE9errorCodeSivp::SYNTHESIZED::c:@E@SAErrorCode	implemented	test:full/safetykit/tests/agent/SAErrorTests.swift#testSAErrorInitUserInfoAndCustomNSError	
s:10Foundation18_ErrorCodeProtocolPAAE2teoiySbx_s0B0_ptFZ::SYNTHESIZED::c:@E@SAErrorCode	implemented	test:full/safetykit/tests/agent/SAErrorTests.swift#testSAErrorCodePatternMatch	
s:10Foundation21_BridgedStoredNSErrorPAAE13errorUserInfoSDySSypGvp::SYNTHESIZED::c:@E@SAErrorCode	implemented	test:full/safetykit/tests/agent/SAErrorTests.swift#testSAErrorInitUserInfoAndCustomNSError	
s:10Foundation21_BridgedStoredNSErrorPAAE2eeoiySbx_xtFZ::SYNTHESIZED::c:@E@SAErrorCode	implemented	test:full/safetykit/tests/agent/SAErrorTests.swift#testSAErrorEquality	
s:10Foundation21_BridgedStoredNSErrorPAAE4code4CodeQzvp::SYNTHESIZED::c:@E@SAErrorCode	implemented	test:full/safetykit/tests/agent/SAErrorTests.swift#testSAErrorInitUserInfoAndCustomNSError	
