precise	graphKind	graphPath	status	basis	rawCandidateCount	compatibleCandidateCount	selectedNodePath	candidateNodePaths
c:@E@SAAuthorizationStatus	swift.enum	["SAAuthorizationStatus"]	import-name	exported-import-name	1	1	/ABIRoot/children/1	["/ABIRoot/children/1"]
c:@E@SAAuthorizationStatus@SAAuthorizationStatusAuthorized	swift.enum.case	["SAAuthorizationStatus","authorized"]	unmatched	none	0	0		[]
c:@E@SAAuthorizationStatus@SAAuthorizationStatusDenied	swift.enum.case	["SAAuthorizationStatus","denied"]	unmatched	none	0	0		[]
c:@E@SAAuthorizationStatus@SAAuthorizationStatusNotDetermined	swift.enum.case	["SAAuthorizationStatus","notDetermined"]	unmatched	none	0	0		[]
c:@E@SACrashDetectionEventResponse	swift.enum	["SACrashDetectionEvent","Response"]	unmatched	none	0	0		[]
c:@E@SACrashDetectionEventResponse@SACrashDetectionEventResponseAttempted	swift.enum.case	["SACrashDetectionEvent","Response","attempted"]	unmatched	none	0	0		[]
c:@E@SACrashDetectionEventResponse@SACrashDetectionEventResponseDisabled	swift.enum.case	["SACrashDetectionEvent","Response","disabled"]	unmatched	none	0	0		[]
c:@E@SAEmergencyResponseManagerVoiceCallStatus	swift.enum	["SAEmergencyResponseManager","VoiceCallStatus"]	unmatched	none	0	0		[]
c:@E@SAEmergencyResponseManagerVoiceCallStatus@SAEmergencyResponseManagerVoiceCallStatusActive	swift.enum.case	["SAEmergencyResponseManager","VoiceCallStatus","active"]	unmatched	none	0	0		[]
c:@E@SAEmergencyResponseManagerVoiceCallStatus@SAEmergencyResponseManagerVoiceCallStatusDialing	swift.enum.case	["SAEmergencyResponseManager","VoiceCallStatus","dialing"]	unmatched	none	0	0		[]
c:@E@SAEmergencyResponseManagerVoiceCallStatus@SAEmergencyResponseManagerVoiceCallStatusDisconnected	swift.enum.case	["SAEmergencyResponseManager","VoiceCallStatus","disconnected"]	unmatched	none	0	0		[]
c:@E@SAEmergencyResponseManagerVoiceCallStatus@SAEmergencyResponseManagerVoiceCallStatusFailed	swift.enum.case	["SAEmergencyResponseManager","VoiceCallStatus","failed"]	unmatched	none	0	0		[]
c:@E@SAErrorCode	swift.enum	["SAError","Code"]	exact-usr	exact-usr	3	1	/ABIRoot/children/6/children/3	["/ABIRoot/children/6","/ABIRoot/children/6/children/3","/ABIRoot/children/6/children/3/children/3"]
c:@E@SAErrorCode@SAErrorInvalidArgument	swift.enum.case	["SAError","Code","invalidArgument"]	exact-usr	exact-usr	2	1	/ABIRoot/children/6/children/3/children/6	["/ABIRoot/children/6/children/3/children/6","/ABIRoot/children/6/children/6"]
c:@E@SAErrorCode@SAErrorNotAllowed	swift.enum.case	["SAError","Code","notAllowed"]	exact-usr	exact-usr	2	1	/ABIRoot/children/6/children/3/children/5	["/ABIRoot/children/6/children/3/children/5","/ABIRoot/children/6/children/5"]
c:@E@SAErrorCode@SAErrorNotAuthorized	swift.enum.case	["SAError","Code","notAuthorized"]	exact-usr	exact-usr	2	1	/ABIRoot/children/6/children/3/children/4	["/ABIRoot/children/6/children/3/children/4","/ABIRoot/children/6/children/4"]
c:@E@SAErrorCode@SAErrorOperationFailed	swift.enum.case	["SAError","Code","operationFailed"]	exact-usr	exact-usr	2	1	/ABIRoot/children/6/children/3/children/7	["/ABIRoot/children/6/children/3/children/7","/ABIRoot/children/6/children/7"]
c:@SAErrorDomain	swift.var	["SAErrorDomain"]	unmatched	none	0	0		[]
c:objc(cs)SACrashDetectionEvent	swift.class	["SACrashDetectionEvent"]	import-name	exported-import-name	1	1	/ABIRoot/children/2	["/ABIRoot/children/2"]
c:objc(cs)SACrashDetectionEvent(py)date	swift.property	["SACrashDetectionEvent","date"]	unmatched	none	0	0		[]
c:objc(cs)SACrashDetectionEvent(py)location	swift.property	["SACrashDetectionEvent","location"]	unmatched	none	0	0		[]
c:objc(cs)SACrashDetectionEvent(py)response	swift.property	["SACrashDetectionEvent","response"]	unmatched	none	0	0		[]
c:objc(cs)SACrashDetectionManager	swift.class	["SACrashDetectionManager"]	import-name	exported-import-name	1	1	/ABIRoot/children/3	["/ABIRoot/children/3"]
c:objc(cs)SACrashDetectionManager(cpy)available	swift.type.property	["SACrashDetectionManager","isAvailable"]	unmatched	none	0	0		[]
c:objc(cs)SACrashDetectionManager(im)requestAuthorizationWithCompletionHandler:	swift.method	["SACrashDetectionManager","requestAuthorization(completionHandler:)"]	unmatched	none	0	0		[]
c:objc(cs)SACrashDetectionManager(py)authorizationStatus	swift.property	["SACrashDetectionManager","authorizationStatus"]	unmatched	none	0	0		[]
c:objc(cs)SACrashDetectionManager(py)delegate	swift.property	["SACrashDetectionManager","delegate"]	unmatched	none	0	0		[]
c:objc(cs)SAEmergencyResponseManager	swift.class	["SAEmergencyResponseManager"]	import-name	exported-import-name	1	1	/ABIRoot/children/4	["/ABIRoot/children/4"]
c:objc(cs)SAEmergencyResponseManager(im)dialVoiceCallToPhoneNumber:completionHandler:	swift.method	["SAEmergencyResponseManager","dialVoiceCall(toPhoneNumber:)"]	unmatched	none	0	0		[]
c:objc(cs)SAEmergencyResponseManager(py)delegate	swift.property	["SAEmergencyResponseManager","delegate"]	unmatched	none	0	0		[]
c:objc(pl)NSCoding(im)initWithCoder:::SYNTHESIZED::c:objc(cs)SACrashDetectionEvent	swift.init	["SACrashDetectionEvent","init(coder:)"]	unmatched	none	0	0		[]
c:objc(pl)SACrashDetectionDelegate	swift.protocol	["SACrashDetectionDelegate"]	unmatched	none	0	0		[]
c:objc(pl)SACrashDetectionDelegate(im)crashDetectionManager:didDetectEvent:	swift.method	["SACrashDetectionDelegate","crashDetectionManager(_:didDetect:)"]	unmatched	none	0	0		[]
c:objc(pl)SAEmergencyResponseDelegate	swift.protocol	["SAEmergencyResponseDelegate"]	unmatched	none	0	0		[]
c:objc(pl)SAEmergencyResponseDelegate(im)emergencyResponseManager:didUpdateVoiceCallStatus:	swift.method	["SAEmergencyResponseDelegate","emergencyResponseManager(_:didUpdateVoiceCallStatus:)"]	unmatched	none	0	0		[]
s:10Foundation13CustomNSErrorPAAE11errorDomainSSvpZ::SYNTHESIZED::c:@E@SAErrorCode	swift.type.property	["SAError","errorDomain"]	unmatched	none	0	0		[]
s:10Foundation13CustomNSErrorPAAE13errorUserInfoSDySSypGvp::SYNTHESIZED::c:@E@SAErrorCode	swift.property	["SAError","errorUserInfo"]	unmatched	none	0	0		[]
s:10Foundation13CustomNSErrorPAAE9errorCodeSivp::SYNTHESIZED::c:@E@SAErrorCode	swift.property	["SAError","errorCode"]	unmatched	none	0	0		[]
