precise	status	evidence	notes
c:@E@SCNActionTimingMode	implemented	full/scenekit/tests/agent/SceneKitRuntime.swift	Focused Linux runtime evidence; not claimed Apple-bit-identical
c:@E@SCNActionTimingMode@SCNActionTimingModeEaseIn	implemented	full/scenekit/tests/agent/SceneKitRuntime.swift	Focused Linux runtime evidence; not claimed Apple-bit-identical
c:@E@SCNActionTimingMode@SCNActionTimingModeEaseInEaseOut	implemented	full/scenekit/tests/agent/SceneKitRuntime.swift	Focused Linux runtime evidence; not claimed Apple-bit-identical
c:@E@SCNActionTimingMode@SCNActionTimingModeEaseOut	implemented	full/scenekit/tests/agent/SceneKitRuntime.swift	Focused Linux runtime evidence; not claimed Apple-bit-identical
c:@E@SCNActionTimingMode@SCNActionTimingModeLinear	implemented	full/scenekit/tests/agent/SceneKitRuntime.swift	Focused Linux runtime evidence; not claimed Apple-bit-identical
c:@E@SCNAntialiasingMode	declared	full/scenekit/SceneKit.swift	Compiles on Linux; Apple-identical behavior unobserved or fail-closed
c:@E@SCNAntialiasingMode@SCNAntialiasingModeMultisampling2X	declared	full/scenekit/SceneKit.swift	Compiles on Linux; Apple-identical behavior unobserved or fail-closed
c:@E@SCNAntialiasingMode@SCNAntialiasingModeMultisampling4X	declared	full/scenekit/SceneKit.swift	Compiles on Linux; Apple-identical behavior unobserved or fail-closed
c:@E@SCNAntialiasingMode@SCNAntialiasingModeNone	declared	full/scenekit/SceneKit.swift	Compiles on Linux; Apple-identical behavior unobserved or fail-closed
c:@E@SCNBillboardAxis	implemented	full/scenekit/tests/agent/SceneKitRuntime.swift	Focused Linux runtime evidence; not claimed Apple-bit-identical
c:@E@SCNBillboardAxis@SCNBillboardAxisAll	declared	full/scenekit/SceneKit.swift	Compiles on Linux; Apple-identical behavior unobserved or fail-closed
c:@E@SCNBillboardAxis@SCNBillboardAxisX	declared	full/scenekit/SceneKit.swift	Compiles on Linux; Apple-identical behavior unobserved or fail-closed
c:@E@SCNBillboardAxis@SCNBillboardAxisY	declared	full/scenekit/SceneKit.swift	Compiles on Linux; Apple-identical behavior unobserved or fail-closed
c:@E@SCNBillboardAxis@SCNBillboardAxisZ	declared	full/scenekit/SceneKit.swift	Compiles on Linux; Apple-identical behavior unobserved or fail-closed
c:@E@SCNBlendMode	declared	full/scenekit/SceneKit.swift	Compiles on Linux; Apple-identical behavior unobserved or fail-closed
c:@E@SCNBlendMode@SCNBlendModeAdd	declared	full/scenekit/SceneKit.swift	Compiles on Linux; Apple-identical behavior unobserved or fail-closed
c:@E@SCNBlendMode@SCNBlendModeAlpha	declared	full/scenekit/SceneKit.swift	Compiles on Linux; Apple-identical behavior unobserved or fail-closed
