precise	status	evidence	notes
c:@T@STWebHistoryProfileIdentifier	implemented	test:full/screentime/tests/agent/ProfileIdentifierTests.swift#testProfileIdentifierType	-
c:objc(cs)STScreenTimeConfiguration	implemented	test:full/screentime/tests/agent/ConfigurationTests.swift#testScreenTimeConfigurationType	-
c:objc(cs)STScreenTimeConfiguration(py)enforcesChildRestrictions	implemented	test:full/screentime/tests/agent/ConfigurationTests.swift#testEnforcesChildRestrictionsFailClosed	-
c:objc(cs)STScreenTimeConfigurationObserver	implemented	test:full/screentime/tests/agent/ObserverTests.swift#testConfigurationObserverType	-
c:objc(cs)STScreenTimeConfigurationObserver(im)initWithUpdateQueue:	implemented	test:full/screentime/tests/agent/ObserverTests.swift#testConfigurationObserverInitUpdateQueue	-
c:objc(cs)STScreenTimeConfigurationObserver(im)startObserving	implemented	test:full/screentime/tests/agent/ObserverTests.swift#testConfigurationObserverStartObserving	-
c:objc(cs)STScreenTimeConfigurationObserver(im)stopObserving	implemented	test:full/screentime/tests/agent/ObserverTests.swift#testConfigurationObserverStopObserving	-
c:objc(cs)STScreenTimeConfigurationObserver(py)configuration	implemented	test:full/screentime/tests/agent/ObserverTests.swift#testConfigurationObserverConfigurationNil	-
c:objc(cs)STWebHistory	implemented	test:full/screentime/tests/agent/WebHistoryTests.swift#testWebHistoryType	-
c:objc(cs)STWebHistory(im)deleteAllHistory	implemented	test:full/screentime/tests/agent/WebHistoryTests.swift#testWebHistoryDeleteAllHistory	-
c:objc(cs)STWebHistory(im)deleteHistoryDuringInterval:	implemented	test:full/screentime/tests/agent/WebHistoryTests.swift#testWebHistoryDeleteHistoryDuringInterval	-
c:objc(cs)STWebHistory(im)deleteHistoryForURL:	implemented	test:full/screentime/tests/agent/WebHistoryTests.swift#testWebHistoryDeleteHistoryForURL	-
c:objc(cs)STWebHistory(im)fetchAllHistoryWithCompletionHandler:	implemented	test:full/screentime/tests/agent/WebHistoryTests.swift#testWebHistoryFetchAllHistoryCompletionFailClosed	-
c:objc(cs)STWebHistory(im)fetchHistoryDuringInterval:completionHandler:	implemented	test:full/screentime/tests/agent/WebHistoryTests.swift#testWebHistoryFetchHistoryDuringFailClosed	-
c:objc(cs)STWebHistory(im)initWithBundleIdentifier:error:	implemented	test:full/screentime/tests/agent/WebHistoryTests.swift#testWebHistoryInitBundleIdentifier	-
c:objc(cs)STWebHistory(im)initWithBundleIdentifier:profileIdentifier:error:	implemented	test:full/screentime/tests/agent/WebHistoryTests.swift#testWebHistoryInitBundleAndProfile	-
c:objc(cs)STWebHistory(im)initWithProfileIdentifier:	implemented	test:full/screentime/tests/agent/WebHistoryTests.swift#testWebHistoryInitProfileIdentifier	-
c:objc(cs)STWebpageController	implemented	test:full/screentime/tests/agent/WebpageControllerTests.swift#testWebpageControllerType	-
c:objc(cs)STWebpageController(im)setBundleIdentifier:error:	implemented	test:full/screentime/tests/agent/WebpageControllerTests.swift#testWebpageControllerSetBundleIdentifier	-
c:objc(cs)STWebpageController(py)URL	implemented	test:full/screentime/tests/agent/WebpageControllerTests.swift#testWebpageControllerURL	-
c:objc(cs)STWebpageController(py)URLIsBlocked	implemented	test:full/screentime/tests/agent/WebpageControllerTests.swift#testWebpageControllerURLIsBlocked	-
c:objc(cs)STWebpageController(py)URLIsPictureInPicture	implemented	test:full/screentime/tests/agent/WebpageControllerTests.swift#testWebpageControllerURLIsPictureInPicture	-
c:objc(cs)STWebpageController(py)URLIsPlayingVideo	implemented	test:full/screentime/tests/agent/WebpageControllerTests.swift#testWebpageControllerURLIsPlayingVideo	-
c:objc(cs)STWebpageController(py)profileIdentifier	implemented	test:full/screentime/tests/agent/WebpageControllerTests.swift#testWebpageControllerProfileIdentifier	-
c:objc(cs)STWebpageController(py)suppressUsageRecording	implemented	test:full/screentime/tests/agent/WebpageControllerTests.swift#testWebpageControllerSuppressUsageRecording	-
s:SQsE2neoiySbx_xtFZ::SYNTHESIZED::c:@T@STWebHistoryProfileIdentifier	implemented	test:full/screentime/tests/agent/ProfileIdentifierTests.swift#testProfileIdentifierInequality	-
s:So29STWebHistoryProfileIdentifiera8rawValueABSS_tcfc	implemented	test:full/screentime/tests/agent/ProfileIdentifierTests.swift#testProfileIdentifierInitRawValue	-
s:So29STWebHistoryProfileIdentifierayABSScfc	implemented	test:full/screentime/tests/agent/ProfileIdentifierTests.swift#testProfileIdentifierInitUnlabeled	-
s:s20_SwiftNewtypeWrapperPsSHRzSH8RawValueSYRpzrlE04hashE0Sivp::SYNTHESIZED::c:@T@STWebHistoryProfileIdentifier	implemented	test:full/screentime/tests/agent/ProfileIdentifierTests.swift#testProfileIdentifierHashValue	-
s:s20_SwiftNewtypeWrapperPsSHRzSH8RawValueSYRpzrlE4hash4intoys6HasherVz_tF::SYNTHESIZED::c:@T@STWebHistoryProfileIdentifier	implemented	test:full/screentime/tests/agent/ProfileIdentifierTests.swift#testProfileIdentifierHashInto	-
