precise	graphKind	graphPath	status	basis	rawCandidateCount	compatibleCandidateCount	selectedNodePath	candidateNodePaths
c:@E@SRAcousticSettingsAccessibilityBackgroundSoundsName	swift.enum	["SRAcousticSettings","Accessibility","BackgroundSounds","Name"]	exact-usr	exact-usr	1	1	/ABIRoot/children/7/children/6/children/5/children/7	["/ABIRoot/children/7/children/6/children/5/children/7"]
c:@E@SRAcousticSettingsAccessibilityBackgroundSoundsName@SRAcousticSettingsAccessibilityBackgroundSoundsNameAirplane	swift.enum.case	["SRAcousticSettings","Accessibility","BackgroundSounds","Name","airplane"]	exact-usr	exact-usr	1	1	/ABIRoot/children/7/children/6/children/5/children/7/children/13	["/ABIRoot/children/7/children/6/children/5/children/7/children/13"]
c:@E@SRAcousticSettingsAccessibilityBackgroundSoundsName@SRAcousticSettingsAccessibilityBackgroundSoundsNameBabble	swift.enum.case	["SRAcousticSettings","Accessibility","BackgroundSounds","Name","babble"]	exact-usr	exact-usr	1	1	/ABIRoot/children/7/children/6/children/5/children/7/children/11	["/ABIRoot/children/7/children/6/children/5/children/7/children/11"]
c:@E@SRAcousticSettingsAccessibilityBackgroundSoundsName@SRAcousticSettingsAccessibilityBackgroundSoundsNameBalancedNoise	swift.enum.case	["SRAcousticSettings","Accessibility","BackgroundSounds","Name","balancedNoise"]	exact-usr	exact-usr	1	1	/ABIRoot/children/7/children/6/children/5/children/7/children/3	["/ABIRoot/children/7/children/6/children/5/children/7/children/3"]
c:@E@SRAcousticSettingsAccessibilityBackgroundSoundsName@SRAcousticSettingsAccessibilityBackgroundSoundsNameBoat	swift.enum.case	["SRAcousticSettings","Accessibility","BackgroundSounds","Name","boat"]	exact-usr	exact-usr	1	1	/ABIRoot/children/7/children/6/children/5/children/7/children/14	["/ABIRoot/children/7/children/6/children/5/children/7/children/14"]
c:@E@SRAcousticSettingsAccessibilityBackgroundSoundsName@SRAcousticSettingsAccessibilityBackgroundSoundsNameBrightNoise	swift.enum.case	["SRAcousticSettings","Accessibility","BackgroundSounds","Name","brightNoise"]	exact-usr	exact-usr	1	1	/ABIRoot/children/7/children/6/children/5/children/7/children/4	["/ABIRoot/children/7/children/6/children/5/children/7/children/4"]
c:@E@SRAcousticSettingsAccessibilityBackgroundSoundsName@SRAcousticSettingsAccessibilityBackgroundSoundsNameBus	swift.enum.case	["SRAcousticSettings","Accessibility","BackgroundSounds","Name","bus"]	exact-usr	exact-usr	1	1	/ABIRoot/children/7/children/6/children/5/children/7/children/15	["/ABIRoot/children/7/children/6/children/5/children/7/children/15"]
c:@E@SRAcousticSettingsAccessibilityBackgroundSoundsName@SRAcousticSettingsAccessibilityBackgroundSoundsNameDarkNoise	swift.enum.case	["SRAcousticSettings","Accessibility","BackgroundSounds","Name","darkNoise"]	exact-usr	exact-usr	1	1	/ABIRoot/children/7/children/6/children/5/children/7/children/5	["/ABIRoot/children/7/children/6/children/5/children/7/children/5"]
c:@E@SRAcousticSettingsAccessibilityBackgroundSoundsName@SRAcousticSettingsAccessibilityBackgroundSoundsNameFire	swift.enum.case	["SRAcousticSettings","Accessibility","BackgroundSounds","Name","fire"]	exact-usr	exact-usr	1	1	/ABIRoot/children/7/children/6/children/5/children/7/children/10	["/ABIRoot/children/7/children/6/children/5/children/7/children/10"]
c:@E@SRAcousticSettingsAccessibilityBackgroundSoundsName@SRAcousticSettingsAccessibilityBackgroundSoundsNameNight	swift.enum.case	["SRAcousticSettings","Accessibility","BackgroundSounds","Name","night"]	exact-usr	exact-usr	1	1	/ABIRoot/children/7/children/6/children/5/children/7/children/9	["/ABIRoot/children/7/children/6/children/5/children/7/children/9"]
c:@E@SRAcousticSettingsAccessibilityBackgroundSoundsName@SRAcousticSettingsAccessibilityBackgroundSoundsNameOcean	swift.enum.case	["SRAcousticSettings","Accessibility","BackgroundSounds","Name","ocean"]	exact-usr	exact-usr	1	1	/ABIRoot/children/7/children/6/children/5/children/7/children/6	["/ABIRoot/children/7/children/6/children/5/children/7/children/6"]
c:@E@SRAcousticSettingsAccessibilityBackgroundSoundsName@SRAcousticSettingsAccessibilityBackgroundSoundsNameQuietNight	swift.enum.case	["SRAcousticSettings","Accessibility","BackgroundSounds","Name","quietNight"]	exact-usr	exact-usr	1	1	/ABIRoot/children/7/children/6/children/5/children/7/children/18	["/ABIRoot/children/7/children/6/children/5/children/7/children/18"]
