precise	status	evidence	notes
c:@E@SWAttributionViewBackgroundStyle	implemented	test:full/sharedwithyou/tests/agent/SharedWithYouEnumTests.swift#testEnumRawValues	
c:@E@SWAttributionViewBackgroundStyle@SWAttributionViewBackgroundStyleColor	implemented	test:full/sharedwithyou/tests/agent/SharedWithYouEnumTests.swift#testEnumRawValues	
c:@E@SWAttributionViewBackgroundStyle@SWAttributionViewBackgroundStyleDefault	implemented	test:full/sharedwithyou/tests/agent/SharedWithYouEnumTests.swift#testEnumRawValues	
c:@E@SWAttributionViewBackgroundStyle@SWAttributionViewBackgroundStyleMaterial	implemented	test:full/sharedwithyou/tests/agent/SharedWithYouEnumTests.swift#testEnumRawValues	
c:@E@SWAttributionViewDisplayContext	implemented	test:full/sharedwithyou/tests/agent/SharedWithYouEnumTests.swift#testEnumRawValues	
c:@E@SWAttributionViewDisplayContext@SWAttributionViewDisplayContextDetail	implemented	test:full/sharedwithyou/tests/agent/SharedWithYouEnumTests.swift#testEnumRawValues	
c:@E@SWAttributionViewDisplayContext@SWAttributionViewDisplayContextSummary	implemented	test:full/sharedwithyou/tests/agent/SharedWithYouEnumTests.swift#testEnumRawValues	
c:@E@SWAttributionViewHorizontalAlignment	implemented	test:full/sharedwithyou/tests/agent/SharedWithYouEnumTests.swift#testEnumRawValues	
c:@E@SWAttributionViewHorizontalAlignment@SWAttributionViewHorizontalAlignmentCenter	implemented	test:full/sharedwithyou/tests/agent/SharedWithYouEnumTests.swift#testEnumRawValues	
c:@E@SWAttributionViewHorizontalAlignment@SWAttributionViewHorizontalAlignmentDefault	implemented	test:full/sharedwithyou/tests/agent/SharedWithYouEnumTests.swift#testEnumRawValues	
c:@E@SWAttributionViewHorizontalAlignment@SWAttributionViewHorizontalAlignmentLeading	implemented	test:full/sharedwithyou/tests/agent/SharedWithYouEnumTests.swift#testEnumRawValues	
c:@E@SWAttributionViewHorizontalAlignment@SWAttributionViewHorizontalAlignmentTrailing	implemented	test:full/sharedwithyou/tests/agent/SharedWithYouEnumTests.swift#testEnumRawValues	
c:@E@SWHighlightCenterErrorCode	implemented	test:full/sharedwithyou/tests/agent/SharedWithYouEnumTests.swift#testEnumRawValues	
c:@E@SWHighlightCenterErrorCode@SWHighlightCenterErrorCodeAccessDenied	implemented	test:full/sharedwithyou/tests/agent/SharedWithYouEnumTests.swift#testEnumRawValues	
c:@E@SWHighlightCenterErrorCode@SWHighlightCenterErrorCodeInternalError	implemented	test:full/sharedwithyou/tests/agent/SharedWithYouEnumTests.swift#testEnumRawValues	
c:@E@SWHighlightCenterErrorCode@SWHighlightCenterErrorCodeInvalidURL	implemented	test:full/sharedwithyou/tests/agent/SharedWithYouEnumTests.swift#testEnumRawValues	
c:@E@SWHighlightCenterErrorCode@SWHighlightCenterErrorCodeNoError	implemented	test:full/sharedwithyou/tests/agent/SharedWithYouEnumTests.swift#testEnumRawValues	
c:@E@SWHighlightChangeEventTrigger	implemented	test:full/sharedwithyou/tests/agent/SharedWithYouEnumTests.swift#testEnumRawValues	
c:@E@SWHighlightChangeEventTrigger@SWHighlightChangeEventTriggerComment	implemented	test:full/sharedwithyou/tests/agent/SharedWithYouEnumTests.swift#testEnumRawValues	
c:@E@SWHighlightChangeEventTrigger@SWHighlightChangeEventTriggerEdit	implemented	test:full/sharedwithyou/tests/agent/SharedWithYouEnumTests.swift#testEnumRawValues	
c:@E@SWHighlightMembershipEventTrigger	implemented	test:full/sharedwithyou/tests/agent/SharedWithYouEnumTests.swift#testEnumRawValues	
c:@E@SWHighlightMembershipEventTrigger@SWHighlightMembershipEventTriggerAddedCollaborator	implemented	test:full/sharedwithyou/tests/agent/SharedWithYouEnumTests.swift#testEnumRawValues	
c:@E@SWHighlightMembershipEventTrigger@SWHighlightMembershipEventTriggerRemovedCollaborator	implemented	test:full/sharedwithyou/tests/agent/SharedWithYouEnumTests.swift#testEnumRawValues	
c:@E@SWHighlightPersistenceEventTrigger	implemented	test:full/sharedwithyou/tests/agent/SharedWithYouEnumTests.swift#testEnumRawValues	
c:@E@SWHighlightPersistenceEventTrigger@SWHighlightPersistenceEventTriggerCreated	implemented	test:full/sharedwithyou/tests/agent/SharedWithYouEnumTests.swift#testEnumRawValues	
