precise	graphKind	graphPath	status	basis	rawCandidateCount	compatibleCandidateCount	selectedNodePath	candidateNodePaths
c:@E@SWAttributionViewBackgroundStyle	swift.enum	["SWAttributionView","BackgroundStyle"]	unmatched	none	0	0		[]
c:@E@SWAttributionViewBackgroundStyle@SWAttributionViewBackgroundStyleColor	swift.enum.case	["SWAttributionView","BackgroundStyle","color"]	unmatched	none	0	0		[]
c:@E@SWAttributionViewBackgroundStyle@SWAttributionViewBackgroundStyleDefault	swift.enum.case	["SWAttributionView","BackgroundStyle","default"]	unmatched	none	0	0		[]
c:@E@SWAttributionViewBackgroundStyle@SWAttributionViewBackgroundStyleMaterial	swift.enum.case	["SWAttributionView","BackgroundStyle","material"]	unmatched	none	0	0		[]
c:@E@SWAttributionViewDisplayContext	swift.enum	["SWAttributionView","DisplayContext"]	unmatched	none	0	0		[]
c:@E@SWAttributionViewDisplayContext@SWAttributionViewDisplayContextDetail	swift.enum.case	["SWAttributionView","DisplayContext","detail"]	unmatched	none	0	0		[]
c:@E@SWAttributionViewDisplayContext@SWAttributionViewDisplayContextSummary	swift.enum.case	["SWAttributionView","DisplayContext","summary"]	unmatched	none	0	0		[]
c:@E@SWAttributionViewHorizontalAlignment	swift.enum	["SWAttributionView","HorizontalAlignment"]	unmatched	none	0	0		[]
c:@E@SWAttributionViewHorizontalAlignment@SWAttributionViewHorizontalAlignmentCenter	swift.enum.case	["SWAttributionView","HorizontalAlignment","center"]	unmatched	none	0	0		[]
c:@E@SWAttributionViewHorizontalAlignment@SWAttributionViewHorizontalAlignmentDefault	swift.enum.case	["SWAttributionView","HorizontalAlignment","default"]	unmatched	none	0	0		[]
c:@E@SWAttributionViewHorizontalAlignment@SWAttributionViewHorizontalAlignmentLeading	swift.enum.case	["SWAttributionView","HorizontalAlignment","leading"]	unmatched	none	0	0		[]
c:@E@SWAttributionViewHorizontalAlignment@SWAttributionViewHorizontalAlignmentTrailing	swift.enum.case	["SWAttributionView","HorizontalAlignment","trailing"]	unmatched	none	0	0		[]
c:@E@SWHighlightCenterErrorCode	swift.enum	["SWHighlightCenterErrorCode"]	unmatched	none	0	0		[]
c:@E@SWHighlightCenterErrorCode@SWHighlightCenterErrorCodeAccessDenied	swift.enum.case	["SWHighlightCenterErrorCode","accessDenied"]	unmatched	none	0	0		[]
c:@E@SWHighlightCenterErrorCode@SWHighlightCenterErrorCodeInternalError	swift.enum.case	["SWHighlightCenterErrorCode","internalError"]	unmatched	none	0	0		[]
c:@E@SWHighlightCenterErrorCode@SWHighlightCenterErrorCodeInvalidURL	swift.enum.case	["SWHighlightCenterErrorCode","invalidURL"]	unmatched	none	0	0		[]
c:@E@SWHighlightCenterErrorCode@SWHighlightCenterErrorCodeNoError	swift.enum.case	["SWHighlightCenterErrorCode","noError"]	unmatched	none	0	0		[]
c:@E@SWHighlightChangeEventTrigger	swift.enum	["SWHighlightChangeEventTrigger"]	unmatched	none	0	0		[]
c:@E@SWHighlightChangeEventTrigger@SWHighlightChangeEventTriggerComment	swift.enum.case	["SWHighlightChangeEventTrigger","comment"]	unmatched	none	0	0		[]
c:@E@SWHighlightChangeEventTrigger@SWHighlightChangeEventTriggerEdit	swift.enum.case	["SWHighlightChangeEventTrigger","edit"]	unmatched	none	0	0		[]
c:@E@SWHighlightMembershipEventTrigger	swift.enum	["SWHighlightMembershipEventTrigger"]	unmatched	none	0	0		[]
c:@E@SWHighlightMembershipEventTrigger@SWHighlightMembershipEventTriggerAddedCollaborator	swift.enum.case	["SWHighlightMembershipEventTrigger","addedCollaborator"]	unmatched	none	0	0		[]
c:@E@SWHighlightMembershipEventTrigger@SWHighlightMembershipEventTriggerRemovedCollaborator	swift.enum.case	["SWHighlightMembershipEventTrigger","removedCollaborator"]	unmatched	none	0	0		[]
c:@E@SWHighlightPersistenceEventTrigger	swift.enum	["SWHighlightPersistenceEventTrigger"]	unmatched	none	0	0		[]
c:@E@SWHighlightPersistenceEventTrigger@SWHighlightPersistenceEventTriggerCreated	swift.enum.case	["SWHighlightPersistenceEventTrigger","created"]	unmatched	none	0	0		[]
c:@E@SWHighlightPersistenceEventTrigger@SWHighlightPersistenceEventTriggerDeleted	swift.enum.case	["SWHighlightPersistenceEventTrigger","deleted"]	unmatched	none	0	0		[]
c:@E@SWHighlightPersistenceEventTrigger@SWHighlightPersistenceEventTriggerMoved	swift.enum.case	["SWHighlightPersistenceEventTrigger","moved"]	unmatched	none	0	0		[]
c:@E@SWHighlightPersistenceEventTrigger@SWHighlightPersistenceEventTriggerRenamed	swift.enum.case	["SWHighlightPersistenceEventTrigger","renamed"]	unmatched	none	0	0		[]
c:@SWCollaborationMetadataTypeIdentifier	swift.var	["SWCollaborationMetadataTypeIdentifier"]	unmatched	none	0	0		[]
c:objc(cs)SWAttributionView	swift.class	["SWAttributionView"]	import-name	exported-import-name	1	1	/ABIRoot/children/10	["/ABIRoot/children/10"]
c:objc(cs)SWAttributionView(py)backgroundStyle	swift.property	["SWAttributionView","backgroundStyle"]	unmatched	none	0	0		[]
