category	sdkRelativePath	size	sha256
header	System/Library/Frameworks/SharedWithYou.framework/Headers/NSItemProvider+SWCollaborationMetadata.h	561	9c56cd2cf0b3985f6ff452c1f4c25cb9b2be0dee8dbe8bf4cd8a6f2631af6c0e
header	System/Library/Frameworks/SharedWithYou.framework/Headers/NSPasteboardItem+SWCollaborationMetadata.h	626	e3385fbb939440e03427520f70760f1dc15b2ab2c21fb685224220b6152b741d
header	System/Library/Frameworks/SharedWithYou.framework/Headers/SWAttributionView.h	7362	fa07167e063c23e978b7299c8670daaf8dd428bb3d26c655ff8e8b69b7193930
header	System/Library/Frameworks/SharedWithYou.framework/Headers/SWCollaborationHighlight.h	1412	eb3faa1e5c71c7f5c8973bce5b5e6a814bb2fd840bb50fc7e6a9f9991641a0bc
header	System/Library/Frameworks/SharedWithYou.framework/Headers/SWCollaborationView.h	3181	bccddd79192c1165ad74a0acd1e15720e774da0bdb850efd830c933bf959a939
header	System/Library/Frameworks/SharedWithYou.framework/Headers/SWErrors.h	454	667d11843654377ec3a014f11a9acf95444c71319747b10d6e7e277e04a81acd
header	System/Library/Frameworks/SharedWithYou.framework/Headers/SWHighlight.h	1204	bdcd2bfa17c011c99fa206bd1996aa7597359a3abd9135d2ad670c1dadd32b7d
header	System/Library/Frameworks/SharedWithYou.framework/Headers/SWHighlightCenter.h	5535	d6e838da9f08250126bdcc771f8dedd11f03e7578d9bac78c0d6cc75fadeabbe
header	System/Library/Frameworks/SharedWithYou.framework/Headers/SWHighlightChangeEvent.h	1310	918b8aeec76e5d004873a366c69cc6345e625cd231daaa54e298f3c1962e8b7e
header	System/Library/Frameworks/SharedWithYou.framework/Headers/SWHighlightEvent.h	532	5e26ba006941d6cec4af97f4f5ab1799ae6d3426d723e059ec55f1fa3c443579
header	System/Library/Frameworks/SharedWithYou.framework/Headers/SWHighlightMembershipEvent.h	1341	ac8249d9133774cf79f97963f68ae80ae035a336de89e7571c32141f30403963
header	System/Library/Frameworks/SharedWithYou.framework/Headers/SWHighlightMentionEvent.h	1533	89230e60ae3d82ded78a817461e20bce794f123fe8f64506e2a0b0905a9d04b8
header	System/Library/Frameworks/SharedWithYou.framework/Headers/SWHighlightPersistenceEvent.h	1426	8b88535252683af898192c91aa3873364e2e63fe1b83dd5b93f67af8d4534d9b
header	System/Library/Frameworks/SharedWithYou.framework/Headers/SWRemoveParticipantAlert.h	708	b8f529cd116912c87b8d733a6f0f48153e3a721194d5635b457951f89b04be3d
header	System/Library/Frameworks/SharedWithYou.framework/Headers/SWRemoveParticipantAlertController.h	719	1887ff7d2a478841572727e5874a5d6218f7fa6e7409bea33084b59e066a0384
header	System/Library/Frameworks/SharedWithYou.framework/Headers/SharedWithYou.h	930	43ec7f4152b5435d6d841af0dc3e651003f924b68f695e91a62c2f8c2dadcb91
swiftinterface	System/Library/Frameworks/SharedWithYou.framework/Modules/SharedWithYou.swiftmodule/arm64e-apple-ios.swiftinterface	3309	5b75e6c4f49adc7c09ab9940f85900b220acbf5ff9bb57f3aa293a4a1094ba82
modulemap	System/Library/Frameworks/SharedWithYou.framework/Modules/module.modulemap	107	8ab812ba0d28d732da3ab7b0f61d1685470cfca940eb0ef2b97ed4aa5ad9e0cc
tbd	System/Library/Frameworks/SharedWithYou.framework/SharedWithYou.tbd	20037	a857e5f51bb1585bde7f2f67dc732ded7af57261dd5a502ead1e45aeea7c3bbc
