category	sdkRelativePath	size	sha256
header	System/Library/Frameworks/SharedWithYouCore.framework/Headers/SWAction.h	507	89fa006ee6d2b61030c4dddf5f90c6cf1db767007f333f06dfc5a700d4821c20
header	System/Library/Frameworks/SharedWithYouCore.framework/Headers/SWCollaborationActionHandler.h	740	6f768c0045752ba11638ef3fe559c877b08c1e38a42ebe8a519923b2fe3b12a7
header	System/Library/Frameworks/SharedWithYouCore.framework/Headers/SWCollaborationCoordinator.h	632	c1405819f9fb460c4d9969f913e70a1d5cfb7de8fdb0fe3b7743babb51002b5f
header	System/Library/Frameworks/SharedWithYouCore.framework/Headers/SWCollaborationMetadata.h	3058	8c45663e0ce07da4c2103f5abd2bb76869baf2e0d583e5aee227adf00f395c5a
header	System/Library/Frameworks/SharedWithYouCore.framework/Headers/SWCollaborationOption.h	2344	357962d79170cc967317d76f17657e23f648b6e13a3077e53e2cfbe158149168
header	System/Library/Frameworks/SharedWithYouCore.framework/Headers/SWCollaborationOptionsGroup.h	2228	102550334af457d6541a91805cfdccc4b04b36e419f947f510e3f8f6a1c483f3
header	System/Library/Frameworks/SharedWithYouCore.framework/Headers/SWCollaborationOptionsPickerGroup.h	887	a9b988c389e010804ef4fb7dbabb78400834218da88774c804bd332e319dde7e
header	System/Library/Frameworks/SharedWithYouCore.framework/Headers/SWCollaborationShareOptions.h	3008	f797428dc49c9eca60c068350d3fed4400790e2e39a5c7b032cf3187f1b69e8f
header	System/Library/Frameworks/SharedWithYouCore.framework/Headers/SWDefines.h	460	06b52788329a9b3586615182565fe97dc00493f75c1b24f776de6890a00f31d3
header	System/Library/Frameworks/SharedWithYouCore.framework/Headers/SWPerson.h	1010	33686a879abc6cf2ffce898641f1d7e1c119c890a3d6575f502366f909762321
header	System/Library/Frameworks/SharedWithYouCore.framework/Headers/SWPersonIdentity.h	1311	b59c6951eb84cc556e8be4b6664d384de0915e88d4f290df48deb9f75ca0ca98
header	System/Library/Frameworks/SharedWithYouCore.framework/Headers/SWPersonIdentityProof.h	1722	2f0cd237a652cad0bb9c02cb5217eefc8d40036289e7f47c3d13f12bcce5ea67
header	System/Library/Frameworks/SharedWithYouCore.framework/Headers/SWStartCollaborationAction.h	668	e9317401091bd1f1e01b50b44c06b9baa76cf253249ebea66983a2145a30997c
header	System/Library/Frameworks/SharedWithYouCore.framework/Headers/SWUpdateCollaborationParticipantsAction.h	874	d65cc7ce15d429b48a1dc23e528da836e45961a28c4ac6cb846b1c93f6190f98
header	System/Library/Frameworks/SharedWithYouCore.framework/Headers/SharedWithYouCore.h	1253	b33203826b2bb8bd5c66758485d03cc1fd8a8805db6090bb3fca5f5fec35678f
swiftinterface	System/Library/Frameworks/SharedWithYouCore.framework/Modules/SharedWithYouCore.swiftmodule/arm64e-apple-ios.swiftinterface	1044	caa1f9907f0c35080f4d0ae6798791cd1d7143493cdb2b8b8b9cf86eb5655f20
modulemap	System/Library/Frameworks/SharedWithYouCore.framework/Modules/module.modulemap	141	77979553882763f2d877ecd452651bd56a119953ea8079520bf4fdb297b11e92
tbd	System/Library/Frameworks/SharedWithYouCore.framework/SharedWithYouCore.tbd	2694	796897fb5f6df8bebd25730c64e4d640a184ad0bf7cc1ad1b84819e78f2d2dff
