precise	kind	title	path	declaration
c:@E@SHErrorCode	swift.enum	SHError.Code	SHError.Code	enum Code
c:@E@SHErrorCode@SHErrorCodeAudioDiscontinuity	swift.enum.case	SHError.Code.audioDiscontinuity	SHError.Code.audioDiscontinuity	case audioDiscontinuity
c:@E@SHErrorCode@SHErrorCodeCustomCatalogInvalid	swift.enum.case	SHError.Code.customCatalogInvalid	SHError.Code.customCatalogInvalid	case customCatalogInvalid
c:@E@SHErrorCode@SHErrorCodeCustomCatalogInvalidURL	swift.enum.case	SHError.Code.customCatalogInvalidURL	SHError.Code.customCatalogInvalidURL	case customCatalogInvalidURL
c:@E@SHErrorCode@SHErrorCodeInternalError	swift.enum.case	SHError.Code.internalError	SHError.Code.internalError	case internalError
c:@E@SHErrorCode@SHErrorCodeInvalidAudioFormat	swift.enum.case	SHError.Code.invalidAudioFormat	SHError.Code.invalidAudioFormat	case invalidAudioFormat
c:@E@SHErrorCode@SHErrorCodeMatchAttemptFailed	swift.enum.case	SHError.Code.matchAttemptFailed	SHError.Code.matchAttemptFailed	case matchAttemptFailed
c:@E@SHErrorCode@SHErrorCodeMediaItemFetchFailed	swift.enum.case	SHError.Code.mediaItemFetchFailed	SHError.Code.mediaItemFetchFailed	case mediaItemFetchFailed
c:@E@SHErrorCode@SHErrorCodeMediaLibrarySyncFailed	swift.enum.case	SHError.Code.mediaLibrarySyncFailed	SHError.Code.mediaLibrarySyncFailed	case mediaLibrarySyncFailed
c:@E@SHErrorCode@SHErrorCodeSignatureDurationInvalid	swift.enum.case	SHError.Code.signatureDurationInvalid	SHError.Code.signatureDurationInvalid	case signatureDurationInvalid
c:@E@SHErrorCode@SHErrorCodeSignatureInvalid	swift.enum.case	SHError.Code.signatureInvalid	SHError.Code.signatureInvalid	case signatureInvalid
c:@SHErrorDomain	swift.var	SHErrorDomain	SHErrorDomain	let SHErrorDomain: String
c:@SHMediaItemAppleMusicID	swift.type.property	appleMusicID	SHMediaItemProperty.appleMusicID	static let appleMusicID: SHMediaItemProperty
c:@SHMediaItemAppleMusicURL	swift.type.property	appleMusicURL	SHMediaItemProperty.appleMusicURL	static let appleMusicURL: SHMediaItemProperty
c:@SHMediaItemArtist	swift.type.property	artist	SHMediaItemProperty.artist	static let artist: SHMediaItemProperty
c:@SHMediaItemArtworkURL	swift.type.property	artworkURL	SHMediaItemProperty.artworkURL	static let artworkURL: SHMediaItemProperty
c:@SHMediaItemConfidence	swift.type.property	confidence	SHMediaItemProperty.confidence	static let confidence: SHMediaItemProperty
c:@SHMediaItemCreationDate	swift.type.property	creationDate	SHMediaItemProperty.creationDate	static let creationDate: SHMediaItemProperty
c:@SHMediaItemExplicitContent	swift.type.property	explicitContent	SHMediaItemProperty.explicitContent	static let explicitContent: SHMediaItemProperty
c:@SHMediaItemFrequencySkew	swift.type.property	frequencySkew	SHMediaItemProperty.frequencySkew	static let frequencySkew: SHMediaItemProperty
c:@SHMediaItemGenres	swift.type.property	genres	SHMediaItemProperty.genres	static let genres: SHMediaItemProperty
