precise	kind	title	path	declaration
c:@E@SNErrorCode	swift.enum	SNError.Code	SNError.Code	enum Code
c:@E@SNErrorCode@SNErrorCodeInvalidFile	swift.enum.case	SNError.Code.invalidFile	SNError.Code.invalidFile	case invalidFile
c:@E@SNErrorCode@SNErrorCodeInvalidFormat	swift.enum.case	SNError.Code.invalidFormat	SNError.Code.invalidFormat	case invalidFormat
c:@E@SNErrorCode@SNErrorCodeInvalidModel	swift.enum.case	SNError.Code.invalidModel	SNError.Code.invalidModel	case invalidModel
c:@E@SNErrorCode@SNErrorCodeOperationFailed	swift.enum.case	SNError.Code.operationFailed	SNError.Code.operationFailed	case operationFailed
c:@E@SNErrorCode@SNErrorCodeUnknownError	swift.enum.case	SNError.Code.unknownError	SNError.Code.unknownError	case unknownError
c:@SNClassifierIdentifierVersion1	swift.type.property	version1	SNClassifierIdentifier.version1	static let version1: SNClassifierIdentifier
c:@SNErrorDomain	swift.var	SNErrorDomain	SNErrorDomain	let SNErrorDomain: String
c:@T@SNClassifierIdentifier	swift.struct	SNClassifierIdentifier	SNClassifierIdentifier	struct SNClassifierIdentifier
c:objc(cs)SNAudioFileAnalyzer	swift.class	SNAudioFileAnalyzer	SNAudioFileAnalyzer	class SNAudioFileAnalyzer
c:objc(cs)SNAudioFileAnalyzer(im)addRequest:withObserver:error:	swift.method	add(_:withObserver:)	SNAudioFileAnalyzer.add(_:withObserver:)	func add(_ request: any SNRequest, withObserver observer: any SNResultsObserving) throws
c:objc(cs)SNAudioFileAnalyzer(im)analyze	swift.method	analyze()	SNAudioFileAnalyzer.analyze()	func analyze()
c:objc(cs)SNAudioFileAnalyzer(im)analyzeWithCompletionHandler:	swift.method	analyze(completionHandler:)	SNAudioFileAnalyzer.analyze(completionHandler:)	func analyze(completionHandler: @escaping (Bool) -> Void)
c:objc(cs)SNAudioFileAnalyzer(im)cancelAnalysis	swift.method	cancelAnalysis()	SNAudioFileAnalyzer.cancelAnalysis()	func cancelAnalysis()
c:objc(cs)SNAudioFileAnalyzer(im)initWithURL:error:	swift.init	init(url:)	SNAudioFileAnalyzer.init(url:)	init(url: URL) throws
c:objc(cs)SNAudioFileAnalyzer(im)initWithURL:error:::SYNTHESIZED::c:objc(cs)SNAudioFileAnalyzer	swift.init	init(URL:)	SNAudioFileAnalyzer.init(URL:)	init(URL url: URL) throws
c:objc(cs)SNAudioFileAnalyzer(im)removeAllRequests	swift.method	removeAllRequests()	SNAudioFileAnalyzer.removeAllRequests()	func removeAllRequests()
c:objc(cs)SNAudioFileAnalyzer(im)removeRequest:	swift.method	remove(_:)	SNAudioFileAnalyzer.remove(_:)	func remove(_ request: any SNRequest)
c:objc(cs)SNAudioStreamAnalyzer	swift.class	SNAudioStreamAnalyzer	SNAudioStreamAnalyzer	class SNAudioStreamAnalyzer
c:objc(cs)SNAudioStreamAnalyzer(im)addRequest:withObserver:error:	swift.method	add(_:withObserver:)	SNAudioStreamAnalyzer.add(_:withObserver:)	func add(_ request: any SNRequest, withObserver observer: any SNResultsObserving) throws
c:objc(cs)SNAudioStreamAnalyzer(im)analyzeAudioBuffer:atAudioFramePosition:	swift.method	analyze(_:atAudioFramePosition:)	SNAudioStreamAnalyzer.analyze(_:atAudioFramePosition:)	func analyze(_ audioBuffer: AVAudioBuffer, atAudioFramePosition audioFramePosition: AVAudioFramePosition)
c:objc(cs)SNAudioStreamAnalyzer(im)completeAnalysis	swift.method	completeAnalysis()	SNAudioStreamAnalyzer.completeAnalysis()	func completeAnalysis()
