precise	kind	title	path	declaration
c:@E@SFSpeechErrorCode	swift.enum	SFSpeechError.Code	SFSpeechError.Code	enum Code
c:@E@SFSpeechErrorCode@SFSpeechErrorCodeAudioReadFailed	swift.enum.case	SFSpeechError.Code.audioReadFailed	SFSpeechError.Code.audioReadFailed	case audioReadFailed
c:@E@SFSpeechErrorCode@SFSpeechErrorCodeInternalServiceError	swift.enum.case	SFSpeechError.Code.internalServiceError	SFSpeechError.Code.internalServiceError	case internalServiceError
c:@E@SFSpeechErrorCode@SFSpeechErrorCodeMalformedSupplementalModel	swift.enum.case	SFSpeechError.Code.malformedSupplementalModel	SFSpeechError.Code.malformedSupplementalModel	case malformedSupplementalModel
c:@E@SFSpeechErrorCode@SFSpeechErrorCodeMissingParameter	swift.enum.case	SFSpeechError.Code.missingParameter	SFSpeechError.Code.missingParameter	case missingParameter
c:@E@SFSpeechErrorCode@SFSpeechErrorCodeTimeout	swift.enum.case	SFSpeechError.Code.timeout	SFSpeechError.Code.timeout	case timeout
c:@E@SFSpeechErrorCode@SFSpeechErrorCodeUndefinedTemplateClassName	swift.enum.case	SFSpeechError.Code.undefinedTemplateClassName	SFSpeechError.Code.undefinedTemplateClassName	case undefinedTemplateClassName
c:@E@SFSpeechRecognitionTaskHint	swift.enum	SFSpeechRecognitionTaskHint	SFSpeechRecognitionTaskHint	enum SFSpeechRecognitionTaskHint
c:@E@SFSpeechRecognitionTaskHint@SFSpeechRecognitionTaskHintConfirmation	swift.enum.case	SFSpeechRecognitionTaskHint.confirmation	SFSpeechRecognitionTaskHint.confirmation	case confirmation
c:@E@SFSpeechRecognitionTaskHint@SFSpeechRecognitionTaskHintDictation	swift.enum.case	SFSpeechRecognitionTaskHint.dictation	SFSpeechRecognitionTaskHint.dictation	case dictation
c:@E@SFSpeechRecognitionTaskHint@SFSpeechRecognitionTaskHintSearch	swift.enum.case	SFSpeechRecognitionTaskHint.search	SFSpeechRecognitionTaskHint.search	case search
c:@E@SFSpeechRecognitionTaskHint@SFSpeechRecognitionTaskHintUnspecified	swift.enum.case	SFSpeechRecognitionTaskHint.unspecified	SFSpeechRecognitionTaskHint.unspecified	case unspecified
c:@E@SFSpeechRecognitionTaskState	swift.enum	SFSpeechRecognitionTaskState	SFSpeechRecognitionTaskState	enum SFSpeechRecognitionTaskState
c:@E@SFSpeechRecognitionTaskState@SFSpeechRecognitionTaskStateCanceling	swift.enum.case	SFSpeechRecognitionTaskState.canceling	SFSpeechRecognitionTaskState.canceling	case canceling
c:@E@SFSpeechRecognitionTaskState@SFSpeechRecognitionTaskStateCompleted	swift.enum.case	SFSpeechRecognitionTaskState.completed	SFSpeechRecognitionTaskState.completed	case completed
c:@E@SFSpeechRecognitionTaskState@SFSpeechRecognitionTaskStateFinishing	swift.enum.case	SFSpeechRecognitionTaskState.finishing	SFSpeechRecognitionTaskState.finishing	case finishing
c:@E@SFSpeechRecognitionTaskState@SFSpeechRecognitionTaskStateRunning	swift.enum.case	SFSpeechRecognitionTaskState.running	SFSpeechRecognitionTaskState.running	case running
c:@E@SFSpeechRecognitionTaskState@SFSpeechRecognitionTaskStateStarting	swift.enum.case	SFSpeechRecognitionTaskState.starting	SFSpeechRecognitionTaskState.starting	case starting
c:@E@SFSpeechRecognizerAuthorizationStatus	swift.enum	SFSpeechRecognizerAuthorizationStatus	SFSpeechRecognizerAuthorizationStatus	enum SFSpeechRecognizerAuthorizationStatus
c:@E@SFSpeechRecognizerAuthorizationStatus@SFSpeechRecognizerAuthorizationStatusAuthorized	swift.enum.case	SFSpeechRecognizerAuthorizationStatus.authorized	SFSpeechRecognizerAuthorizationStatus.authorized	case authorized
c:@E@SFSpeechRecognizerAuthorizationStatus@SFSpeechRecognizerAuthorizationStatusDenied	swift.enum.case	SFSpeechRecognizerAuthorizationStatus.denied	SFSpeechRecognizerAuthorizationStatus.denied	case denied
c:@E@SFSpeechRecognizerAuthorizationStatus@SFSpeechRecognizerAuthorizationStatusNotDetermined	swift.enum.case	SFSpeechRecognizerAuthorizationStatus.notDetermined	SFSpeechRecognizerAuthorizationStatus.notDetermined	case notDetermined
c:@E@SFSpeechRecognizerAuthorizationStatus@SFSpeechRecognizerAuthorizationStatusRestricted	swift.enum.case	SFSpeechRecognizerAuthorizationStatus.restricted	SFSpeechRecognizerAuthorizationStatus.restricted	case restricted
c:@M@Speech@objc(cs)AssetInstallationRequest	swift.class	AssetInstallationRequest	AssetInstallationRequest	@objc final class AssetInstallationRequest
c:@M@Speech@objc(cs)AssetInstallationRequest(py)progress	swift.property	progress	AssetInstallationRequest.progress	final var progress: Progress { get }
c:@SFSpeechErrorDomain	swift.var	SFSpeechErrorDomain	SFSpeechErrorDomain	let SFSpeechErrorDomain: String
c:objc(cs)SFAcousticFeature	swift.class	SFAcousticFeature	SFAcousticFeature	class SFAcousticFeature
c:objc(cs)SFAcousticFeature(py)frameDuration	swift.property	frameDuration	SFAcousticFeature.frameDuration	var frameDuration: TimeInterval { get }
c:objc(cs)SFSpeechAudioBufferRecognitionRequest	swift.class	SFSpeechAudioBufferRecognitionRequest	SFSpeechAudioBufferRecognitionRequest	class SFSpeechAudioBufferRecognitionRequest
c:objc(cs)SFSpeechAudioBufferRecognitionRequest(im)appendAudioPCMBuffer:	swift.method	append(_:)	SFSpeechAudioBufferRecognitionRequest.append(_:)	func append(_ audioPCMBuffer: AVAudioPCMBuffer)
c:objc(cs)SFSpeechAudioBufferRecognitionRequest(im)appendAudioSampleBuffer:	swift.method	appendAudioSampleBuffer(_:)	SFSpeechAudioBufferRecognitionRequest.appendAudioSampleBuffer(_:)	func appendAudioSampleBuffer(_ sampleBuffer: CMSampleBuffer)
c:objc(cs)SFSpeechAudioBufferRecognitionRequest(im)endAudio	swift.method	endAudio()	SFSpeechAudioBufferRecognitionRequest.endAudio()	func endAudio()
c:objc(cs)SFSpeechAudioBufferRecognitionRequest(py)nativeAudioFormat	swift.property	nativeAudioFormat	SFSpeechAudioBufferRecognitionRequest.nativeAudioFormat	var nativeAudioFormat: AVAudioFormat { get }
c:objc(cs)SFSpeechLanguageModel	swift.class	SFSpeechLanguageModel	SFSpeechLanguageModel	class SFSpeechLanguageModel
c:objc(cs)SFSpeechLanguageModel(cm)prepareCustomLanguageModelForUrl:clientIdentifier:configuration:completion:	swift.type.method	prepareCustomLanguageModel(for:clientIdentifier:configuration:)	SFSpeechLanguageModel.prepareCustomLanguageModel(for:clientIdentifier:configuration:)	class func prepareCustomLanguageModel(for asset: URL, clientIdentifier: String, configuration: SFSpeechLanguageModel.Configuration) async throws
c:objc(cs)SFSpeechLanguageModel(cm)prepareCustomLanguageModelForUrl:clientIdentifier:configuration:ignoresCache:completion:	swift.type.method	prepareCustomLanguageModel(for:clientIdentifier:configuration:ignoresCache:)	SFSpeechLanguageModel.prepareCustomLanguageModel(for:clientIdentifier:configuration:ignoresCache:)	class func prepareCustomLanguageModel(for asset: URL, clientIdentifier: String, configuration: SFSpeechLanguageModel.Configuration, ignoresCache: Bool) async throws
c:objc(cs)SFSpeechLanguageModel(cm)prepareCustomLanguageModelForUrl:configuration:completion:	swift.type.method	prepareCustomLanguageModel(for:configuration:)	SFSpeechLanguageModel.prepareCustomLanguageModel(for:configuration:)	class func prepareCustomLanguageModel(for asset: URL, configuration: SFSpeechLanguageModel.Configuration) async throws
c:objc(cs)SFSpeechLanguageModel(cm)prepareCustomLanguageModelForUrl:configuration:ignoresCache:completion:	swift.type.method	prepareCustomLanguageModel(for:configuration:ignoresCache:)	SFSpeechLanguageModel.prepareCustomLanguageModel(for:configuration:ignoresCache:)	class func prepareCustomLanguageModel(for asset: URL, configuration: SFSpeechLanguageModel.Configuration, ignoresCache: Bool) async throws
c:objc(cs)SFSpeechLanguageModelConfiguration	swift.class	SFSpeechLanguageModel.Configuration	SFSpeechLanguageModel.Configuration	class Configuration
c:objc(cs)SFSpeechLanguageModelConfiguration(im)initWithLanguageModel:	swift.init	init(languageModel:)	SFSpeechLanguageModel.Configuration.init(languageModel:)	init(languageModel: URL)
c:objc(cs)SFSpeechLanguageModelConfiguration(im)initWithLanguageModel:vocabulary:	swift.init	init(languageModel:vocabulary:)	SFSpeechLanguageModel.Configuration.init(languageModel:vocabulary:)	init(languageModel: URL, vocabulary: URL?)
c:objc(cs)SFSpeechLanguageModelConfiguration(im)initWithLanguageModel:vocabulary:weight:	swift.init	init(languageModel:vocabulary:weight:)	SFSpeechLanguageModel.Configuration.init(languageModel:vocabulary:weight:)	init(languageModel: URL, vocabulary: URL?, weight: NSNumber?)
c:objc(cs)SFSpeechLanguageModelConfiguration(py)languageModel	swift.property	languageModel	SFSpeechLanguageModel.Configuration.languageModel	var languageModel: URL { get }
c:objc(cs)SFSpeechLanguageModelConfiguration(py)vocabulary	swift.property	vocabulary	SFSpeechLanguageModel.Configuration.vocabulary	var vocabulary: URL? { get }
c:objc(cs)SFSpeechLanguageModelConfiguration(py)weight	swift.property	weight	SFSpeechLanguageModel.Configuration.weight	@NSCopying var weight: NSNumber? { get }
c:objc(cs)SFSpeechRecognitionMetadata	swift.class	SFSpeechRecognitionMetadata	SFSpeechRecognitionMetadata	class SFSpeechRecognitionMetadata
c:objc(cs)SFSpeechRecognitionMetadata(py)averagePauseDuration	swift.property	averagePauseDuration	SFSpeechRecognitionMetadata.averagePauseDuration	var averagePauseDuration: TimeInterval { get }
c:objc(cs)SFSpeechRecognitionMetadata(py)speakingRate	swift.property	speakingRate	SFSpeechRecognitionMetadata.speakingRate	var speakingRate: Double { get }
c:objc(cs)SFSpeechRecognitionMetadata(py)speechDuration	swift.property	speechDuration	SFSpeechRecognitionMetadata.speechDuration	var speechDuration: TimeInterval { get }
c:objc(cs)SFSpeechRecognitionMetadata(py)speechStartTimestamp	swift.property	speechStartTimestamp	SFSpeechRecognitionMetadata.speechStartTimestamp	var speechStartTimestamp: TimeInterval { get }
c:objc(cs)SFSpeechRecognitionMetadata(py)voiceAnalytics	swift.property	voiceAnalytics	SFSpeechRecognitionMetadata.voiceAnalytics	var voiceAnalytics: SFVoiceAnalytics? { get }
c:objc(cs)SFSpeechRecognitionRequest	swift.class	SFSpeechRecognitionRequest	SFSpeechRecognitionRequest	class SFSpeechRecognitionRequest
c:objc(cs)SFSpeechRecognitionRequest(py)addsPunctuation	swift.property	addsPunctuation	SFSpeechRecognitionRequest.addsPunctuation	var addsPunctuation: Bool { get set }
c:objc(cs)SFSpeechRecognitionRequest(py)contextualStrings	swift.property	contextualStrings	SFSpeechRecognitionRequest.contextualStrings	var contextualStrings: [String] { get set }
c:objc(cs)SFSpeechRecognitionRequest(py)customizedLanguageModel	swift.property	customizedLanguageModel	SFSpeechRecognitionRequest.customizedLanguageModel	@NSCopying var customizedLanguageModel: SFSpeechLanguageModel.Configuration? { get set }
c:objc(cs)SFSpeechRecognitionRequest(py)interactionIdentifier	swift.property	interactionIdentifier	SFSpeechRecognitionRequest.interactionIdentifier	var interactionIdentifier: String? { get set }
c:objc(cs)SFSpeechRecognitionRequest(py)requiresOnDeviceRecognition	swift.property	requiresOnDeviceRecognition	SFSpeechRecognitionRequest.requiresOnDeviceRecognition	var requiresOnDeviceRecognition: Bool { get set }
c:objc(cs)SFSpeechRecognitionRequest(py)shouldReportPartialResults	swift.property	shouldReportPartialResults	SFSpeechRecognitionRequest.shouldReportPartialResults	var shouldReportPartialResults: Bool { get set }
c:objc(cs)SFSpeechRecognitionRequest(py)taskHint	swift.property	taskHint	SFSpeechRecognitionRequest.taskHint	var taskHint: SFSpeechRecognitionTaskHint { get set }
c:objc(cs)SFSpeechRecognitionResult	swift.class	SFSpeechRecognitionResult	SFSpeechRecognitionResult	class SFSpeechRecognitionResult
c:objc(cs)SFSpeechRecognitionResult(py)bestTranscription	swift.property	bestTranscription	SFSpeechRecognitionResult.bestTranscription	@NSCopying var bestTranscription: SFTranscription { get }
c:objc(cs)SFSpeechRecognitionResult(py)final	swift.property	isFinal	SFSpeechRecognitionResult.isFinal	var isFinal: Bool { get }
c:objc(cs)SFSpeechRecognitionResult(py)speechRecognitionMetadata	swift.property	speechRecognitionMetadata	SFSpeechRecognitionResult.speechRecognitionMetadata	var speechRecognitionMetadata: SFSpeechRecognitionMetadata? { get }
