precise	graphKind	graphPath	status	basis	rawCandidateCount	compatibleCandidateCount	selectedNodePath	candidateNodePaths
c:@E@SKActionTimingMode	swift.enum	["SKActionTimingMode"]	unmatched	none	0	0		[]
c:@E@SKActionTimingMode@SKActionTimingEaseIn	swift.enum.case	["SKActionTimingMode","easeIn"]	unmatched	none	0	0		[]
c:@E@SKActionTimingMode@SKActionTimingEaseInEaseOut	swift.enum.case	["SKActionTimingMode","easeInEaseOut"]	unmatched	none	0	0		[]
c:@E@SKActionTimingMode@SKActionTimingEaseOut	swift.enum.case	["SKActionTimingMode","easeOut"]	unmatched	none	0	0		[]
c:@E@SKActionTimingMode@SKActionTimingLinear	swift.enum.case	["SKActionTimingMode","linear"]	unmatched	none	0	0		[]
c:@E@SKAttributeType	swift.enum	["SKAttributeType"]	unmatched	none	0	0		[]
c:@E@SKAttributeType@SKAttributeTypeFloat	swift.enum.case	["SKAttributeType","float"]	unmatched	none	0	0		[]
c:@E@SKAttributeType@SKAttributeTypeHalfFloat	swift.enum.case	["SKAttributeType","halfFloat"]	unmatched	none	0	0		[]
c:@E@SKAttributeType@SKAttributeTypeNone	swift.enum.case	["SKAttributeType","none"]	unmatched	none	0	0		[]
c:@E@SKAttributeType@SKAttributeTypeVectorFloat2	swift.enum.case	["SKAttributeType","vectorFloat2"]	unmatched	none	0	0		[]
c:@E@SKAttributeType@SKAttributeTypeVectorFloat3	swift.enum.case	["SKAttributeType","vectorFloat3"]	unmatched	none	0	0		[]
c:@E@SKAttributeType@SKAttributeTypeVectorFloat4	swift.enum.case	["SKAttributeType","vectorFloat4"]	unmatched	none	0	0		[]
c:@E@SKAttributeType@SKAttributeTypeVectorHalfFloat2	swift.enum.case	["SKAttributeType","vectorHalfFloat2"]	unmatched	none	0	0		[]
c:@E@SKAttributeType@SKAttributeTypeVectorHalfFloat3	swift.enum.case	["SKAttributeType","vectorHalfFloat3"]	unmatched	none	0	0		[]
c:@E@SKAttributeType@SKAttributeTypeVectorHalfFloat4	swift.enum.case	["SKAttributeType","vectorHalfFloat4"]	unmatched	none	0	0		[]
c:@E@SKBlendMode	swift.enum	["SKBlendMode"]	unmatched	none	0	0		[]
c:@E@SKBlendMode@SKBlendModeAdd	swift.enum.case	["SKBlendMode","add"]	unmatched	none	0	0		[]
c:@E@SKBlendMode@SKBlendModeAlpha	swift.enum.case	["SKBlendMode","alpha"]	unmatched	none	0	0		[]
c:@E@SKBlendMode@SKBlendModeMultiply	swift.enum.case	["SKBlendMode","multiply"]	unmatched	none	0	0		[]
c:@E@SKBlendMode@SKBlendModeMultiplyAlpha	swift.enum.case	["SKBlendMode","multiplyAlpha"]	unmatched	none	0	0		[]
c:@E@SKBlendMode@SKBlendModeMultiplyX2	swift.enum.case	["SKBlendMode","multiplyX2"]	unmatched	none	0	0		[]
c:@E@SKBlendMode@SKBlendModeReplace	swift.enum.case	["SKBlendMode","replace"]	unmatched	none	0	0		[]
c:@E@SKBlendMode@SKBlendModeScreen	swift.enum.case	["SKBlendMode","screen"]	unmatched	none	0	0		[]
c:@E@SKBlendMode@SKBlendModeSubtract	swift.enum.case	["SKBlendMode","subtract"]	unmatched	none	0	0		[]
c:@E@SKInterpolationMode	swift.enum	["SKInterpolationMode"]	unmatched	none	0	0		[]
c:@E@SKInterpolationMode@SKInterpolationModeLinear	swift.enum.case	["SKInterpolationMode","linear"]	unmatched	none	0	0		[]
c:@E@SKInterpolationMode@SKInterpolationModeSpline	swift.enum.case	["SKInterpolationMode","spline"]	unmatched	none	0	0		[]
c:@E@SKInterpolationMode@SKInterpolationModeStep	swift.enum.case	["SKInterpolationMode","step"]	unmatched	none	0	0		[]
c:@E@SKLabelHorizontalAlignmentMode	swift.enum	["SKLabelHorizontalAlignmentMode"]	unmatched	none	0	0		[]
c:@E@SKLabelHorizontalAlignmentMode@SKLabelHorizontalAlignmentModeCenter	swift.enum.case	["SKLabelHorizontalAlignmentMode","center"]	unmatched	none	0	0		[]
c:@E@SKLabelHorizontalAlignmentMode@SKLabelHorizontalAlignmentModeLeft	swift.enum.case	["SKLabelHorizontalAlignmentMode","left"]	unmatched	none	0	0		[]
c:@E@SKLabelHorizontalAlignmentMode@SKLabelHorizontalAlignmentModeRight	swift.enum.case	["SKLabelHorizontalAlignmentMode","right"]	unmatched	none	0	0		[]
c:@E@SKLabelVerticalAlignmentMode	swift.enum	["SKLabelVerticalAlignmentMode"]	unmatched	none	0	0		[]
c:@E@SKLabelVerticalAlignmentMode@SKLabelVerticalAlignmentModeBaseline	swift.enum.case	["SKLabelVerticalAlignmentMode","baseline"]	unmatched	none	0	0		[]
c:@E@SKLabelVerticalAlignmentMode@SKLabelVerticalAlignmentModeBottom	swift.enum.case	["SKLabelVerticalAlignmentMode","bottom"]	unmatched	none	0	0		[]
c:@E@SKLabelVerticalAlignmentMode@SKLabelVerticalAlignmentModeCenter	swift.enum.case	["SKLabelVerticalAlignmentMode","center"]	unmatched	none	0	0		[]
c:@E@SKLabelVerticalAlignmentMode@SKLabelVerticalAlignmentModeTop	swift.enum.case	["SKLabelVerticalAlignmentMode","top"]	unmatched	none	0	0		[]
c:@E@SKNodeFocusBehavior	swift.enum	["SKNodeFocusBehavior"]	unmatched	none	0	0		[]
c:@E@SKNodeFocusBehavior@SKNodeFocusBehaviorFocusable	swift.enum.case	["SKNodeFocusBehavior","focusable"]	unmatched	none	0	0		[]
c:@E@SKNodeFocusBehavior@SKNodeFocusBehaviorNone	swift.enum.case	["SKNodeFocusBehavior","none"]	unmatched	none	0	0		[]
c:@E@SKNodeFocusBehavior@SKNodeFocusBehaviorOccluding	swift.enum.case	["SKNodeFocusBehavior","occluding"]	unmatched	none	0	0		[]
c:@E@SKParticleRenderOrder	swift.enum	["SKParticleRenderOrder"]	unmatched	none	0	0		[]
c:@E@SKParticleRenderOrder@SKParticleRenderOrderDontCare	swift.enum.case	["SKParticleRenderOrder","dontCare"]	unmatched	none	0	0		[]
c:@E@SKParticleRenderOrder@SKParticleRenderOrderOldestFirst	swift.enum.case	["SKParticleRenderOrder","oldestFirst"]	unmatched	none	0	0		[]
c:@E@SKParticleRenderOrder@SKParticleRenderOrderOldestLast	swift.enum.case	["SKParticleRenderOrder","oldestLast"]	unmatched	none	0	0		[]
c:@E@SKRepeatMode	swift.enum	["SKRepeatMode"]	unmatched	none	0	0		[]
c:@E@SKRepeatMode@SKRepeatModeClamp	swift.enum.case	["SKRepeatMode","clamp"]	unmatched	none	0	0		[]
c:@E@SKRepeatMode@SKRepeatModeLoop	swift.enum.case	["SKRepeatMode","loop"]	unmatched	none	0	0		[]
c:@E@SKSceneScaleMode	swift.enum	["SKSceneScaleMode"]	unmatched	none	0	0		[]
c:@E@SKSceneScaleMode@SKSceneScaleModeAspectFill	swift.enum.case	["SKSceneScaleMode","aspectFill"]	unmatched	none	0	0		[]
c:@E@SKSceneScaleMode@SKSceneScaleModeAspectFit	swift.enum.case	["SKSceneScaleMode","aspectFit"]	unmatched	none	0	0		[]
c:@E@SKSceneScaleMode@SKSceneScaleModeFill	swift.enum.case	["SKSceneScaleMode","fill"]	unmatched	none	0	0		[]
c:@E@SKSceneScaleMode@SKSceneScaleModeResizeFill	swift.enum.case	["SKSceneScaleMode","resizeFill"]	unmatched	none	0	0		[]
c:@E@SKTextureFilteringMode	swift.enum	["SKTextureFilteringMode"]	unmatched	none	0	0		[]
c:@E@SKTextureFilteringMode@SKTextureFilteringLinear	swift.enum.case	["SKTextureFilteringMode","linear"]	unmatched	none	0	0		[]
c:@E@SKTextureFilteringMode@SKTextureFilteringNearest	swift.enum.case	["SKTextureFilteringMode","nearest"]	unmatched	none	0	0		[]
c:@E@SKTileAdjacencyMask	swift.struct	["SKTileAdjacencyMask"]	unmatched	none	0	0		[]
c:@E@SKTileAdjacencyMask@SKTileAdjacencyAll	swift.type.property	["SKTileAdjacencyMask","adjacencyAll"]	unmatched	none	0	0		[]
c:@E@SKTileAdjacencyMask@SKTileAdjacencyDown	swift.type.property	["SKTileAdjacencyMask","adjacencyDown"]	unmatched	none	0	0		[]
c:@E@SKTileAdjacencyMask@SKTileAdjacencyDownEdge	swift.type.property	["SKTileAdjacencyMask","adjacencyDownEdge"]	unmatched	none	0	0		[]
c:@E@SKTileAdjacencyMask@SKTileAdjacencyLeft	swift.type.property	["SKTileAdjacencyMask","adjacencyLeft"]	unmatched	none	0	0		[]
c:@E@SKTileAdjacencyMask@SKTileAdjacencyLeftEdge	swift.type.property	["SKTileAdjacencyMask","adjacencyLeftEdge"]	unmatched	none	0	0		[]
c:@E@SKTileAdjacencyMask@SKTileAdjacencyLowerLeft	swift.type.property	["SKTileAdjacencyMask","adjacencyLowerLeft"]	unmatched	none	0	0		[]
c:@E@SKTileAdjacencyMask@SKTileAdjacencyLowerLeftCorner	swift.type.property	["SKTileAdjacencyMask","adjacencyLowerLeftCorner"]	unmatched	none	0	0		[]
