precise	kind	title	path	declaration
c:@E@SKActionTimingMode	swift.enum	SKActionTimingMode	SKActionTimingMode	enum SKActionTimingMode
c:@E@SKActionTimingMode@SKActionTimingEaseIn	swift.enum.case	SKActionTimingMode.easeIn	SKActionTimingMode.easeIn	case easeIn
c:@E@SKActionTimingMode@SKActionTimingEaseInEaseOut	swift.enum.case	SKActionTimingMode.easeInEaseOut	SKActionTimingMode.easeInEaseOut	case easeInEaseOut
c:@E@SKActionTimingMode@SKActionTimingEaseOut	swift.enum.case	SKActionTimingMode.easeOut	SKActionTimingMode.easeOut	case easeOut
c:@E@SKActionTimingMode@SKActionTimingLinear	swift.enum.case	SKActionTimingMode.linear	SKActionTimingMode.linear	case linear
c:@E@SKAttributeType	swift.enum	SKAttributeType	SKAttributeType	enum SKAttributeType
c:@E@SKAttributeType@SKAttributeTypeFloat	swift.enum.case	SKAttributeType.float	SKAttributeType.float	case float
c:@E@SKAttributeType@SKAttributeTypeHalfFloat	swift.enum.case	SKAttributeType.halfFloat	SKAttributeType.halfFloat	case halfFloat
c:@E@SKAttributeType@SKAttributeTypeNone	swift.enum.case	SKAttributeType.none	SKAttributeType.none	case none
c:@E@SKAttributeType@SKAttributeTypeVectorFloat2	swift.enum.case	SKAttributeType.vectorFloat2	SKAttributeType.vectorFloat2	case vectorFloat2
c:@E@SKAttributeType@SKAttributeTypeVectorFloat3	swift.enum.case	SKAttributeType.vectorFloat3	SKAttributeType.vectorFloat3	case vectorFloat3
c:@E@SKAttributeType@SKAttributeTypeVectorFloat4	swift.enum.case	SKAttributeType.vectorFloat4	SKAttributeType.vectorFloat4	case vectorFloat4
c:@E@SKAttributeType@SKAttributeTypeVectorHalfFloat2	swift.enum.case	SKAttributeType.vectorHalfFloat2	SKAttributeType.vectorHalfFloat2	case vectorHalfFloat2
c:@E@SKAttributeType@SKAttributeTypeVectorHalfFloat3	swift.enum.case	SKAttributeType.vectorHalfFloat3	SKAttributeType.vectorHalfFloat3	case vectorHalfFloat3
c:@E@SKAttributeType@SKAttributeTypeVectorHalfFloat4	swift.enum.case	SKAttributeType.vectorHalfFloat4	SKAttributeType.vectorHalfFloat4	case vectorHalfFloat4
c:@E@SKBlendMode	swift.enum	SKBlendMode	SKBlendMode	enum SKBlendMode
c:@E@SKBlendMode@SKBlendModeAdd	swift.enum.case	SKBlendMode.add	SKBlendMode.add	case add
c:@E@SKBlendMode@SKBlendModeAlpha	swift.enum.case	SKBlendMode.alpha	SKBlendMode.alpha	case alpha
c:@E@SKBlendMode@SKBlendModeMultiply	swift.enum.case	SKBlendMode.multiply	SKBlendMode.multiply	case multiply
c:@E@SKBlendMode@SKBlendModeMultiplyAlpha	swift.enum.case	SKBlendMode.multiplyAlpha	SKBlendMode.multiplyAlpha	case multiplyAlpha
c:@E@SKBlendMode@SKBlendModeMultiplyX2	swift.enum.case	SKBlendMode.multiplyX2	SKBlendMode.multiplyX2	case multiplyX2
c:@E@SKBlendMode@SKBlendModeReplace	swift.enum.case	SKBlendMode.replace	SKBlendMode.replace	case replace
c:@E@SKBlendMode@SKBlendModeScreen	swift.enum.case	SKBlendMode.screen	SKBlendMode.screen	case screen
c:@E@SKBlendMode@SKBlendModeSubtract	swift.enum.case	SKBlendMode.subtract	SKBlendMode.subtract	case subtract
c:@E@SKInterpolationMode	swift.enum	SKInterpolationMode	SKInterpolationMode	enum SKInterpolationMode
c:@E@SKInterpolationMode@SKInterpolationModeLinear	swift.enum.case	SKInterpolationMode.linear	SKInterpolationMode.linear	case linear
c:@E@SKInterpolationMode@SKInterpolationModeSpline	swift.enum.case	SKInterpolationMode.spline	SKInterpolationMode.spline	case spline
c:@E@SKInterpolationMode@SKInterpolationModeStep	swift.enum.case	SKInterpolationMode.step	SKInterpolationMode.step	case step
c:@E@SKLabelHorizontalAlignmentMode	swift.enum	SKLabelHorizontalAlignmentMode	SKLabelHorizontalAlignmentMode	enum SKLabelHorizontalAlignmentMode
c:@E@SKLabelHorizontalAlignmentMode@SKLabelHorizontalAlignmentModeCenter	swift.enum.case	SKLabelHorizontalAlignmentMode.center	SKLabelHorizontalAlignmentMode.center	case center
c:@E@SKLabelHorizontalAlignmentMode@SKLabelHorizontalAlignmentModeLeft	swift.enum.case	SKLabelHorizontalAlignmentMode.left	SKLabelHorizontalAlignmentMode.left	case left
c:@E@SKLabelHorizontalAlignmentMode@SKLabelHorizontalAlignmentModeRight	swift.enum.case	SKLabelHorizontalAlignmentMode.right	SKLabelHorizontalAlignmentMode.right	case right
c:@E@SKLabelVerticalAlignmentMode	swift.enum	SKLabelVerticalAlignmentMode	SKLabelVerticalAlignmentMode	enum SKLabelVerticalAlignmentMode
c:@E@SKLabelVerticalAlignmentMode@SKLabelVerticalAlignmentModeBaseline	swift.enum.case	SKLabelVerticalAlignmentMode.baseline	SKLabelVerticalAlignmentMode.baseline	case baseline
c:@E@SKLabelVerticalAlignmentMode@SKLabelVerticalAlignmentModeBottom	swift.enum.case	SKLabelVerticalAlignmentMode.bottom	SKLabelVerticalAlignmentMode.bottom	case bottom
c:@E@SKLabelVerticalAlignmentMode@SKLabelVerticalAlignmentModeCenter	swift.enum.case	SKLabelVerticalAlignmentMode.center	SKLabelVerticalAlignmentMode.center	case center
c:@E@SKLabelVerticalAlignmentMode@SKLabelVerticalAlignmentModeTop	swift.enum.case	SKLabelVerticalAlignmentMode.top	SKLabelVerticalAlignmentMode.top	case top
c:@E@SKNodeFocusBehavior	swift.enum	SKNodeFocusBehavior	SKNodeFocusBehavior	enum SKNodeFocusBehavior
c:@E@SKNodeFocusBehavior@SKNodeFocusBehaviorFocusable	swift.enum.case	SKNodeFocusBehavior.focusable	SKNodeFocusBehavior.focusable	case focusable
c:@E@SKNodeFocusBehavior@SKNodeFocusBehaviorNone	swift.enum.case	SKNodeFocusBehavior.none	SKNodeFocusBehavior.none	case none
c:@E@SKNodeFocusBehavior@SKNodeFocusBehaviorOccluding	swift.enum.case	SKNodeFocusBehavior.occluding	SKNodeFocusBehavior.occluding	case occluding
c:@E@SKParticleRenderOrder	swift.enum	SKParticleRenderOrder	SKParticleRenderOrder	enum SKParticleRenderOrder
c:@E@SKParticleRenderOrder@SKParticleRenderOrderDontCare	swift.enum.case	SKParticleRenderOrder.dontCare	SKParticleRenderOrder.dontCare	case dontCare
