precise	payloadSHA256	graphPath	ownershipTier	occurrenceCount	canonicalSelection	kind	title	symbolPath	declaration
c:objc(cs)SKAction(cm)actionNamed:fromURL:	cf578e90d95f84d8ddb7fbfd650539670ad07aa2822805bd347f7fd88e66f869	reference/symbol-graphs/SpriteKit.symbols.json	0	1	1	swift.init	init(named:fromURL:)	SKAction.init(named:fromURL:)	init?(named name: String, fromURL url: URL)
c:objc(cs)SKAction(cm)actionNamed:fromURL:	b33cd1c1804800f0ce2302988be7c78c34c6183b55444800d8ae466deab07a1e	reference/symbol-graphs/SpriteKit.symbols.json	0	1	0	swift.init	init(named:from:)	SKAction.init(named:from:)	init?(named name: String, from url: URL)
c:objc(cs)SKAction(cm)actionNamed:fromURL:duration:	3fc4b74c6769462c01ac3bce71e9d4e7dfe642b58a303ed855f63a93bc432a15	reference/symbol-graphs/SpriteKit.symbols.json	0	1	1	swift.init	init(named:fromURL:duration:)	SKAction.init(named:fromURL:duration:)	init?(named name: String, fromURL url: URL, duration: TimeInterval)
c:objc(cs)SKAction(cm)actionNamed:fromURL:duration:	f810c2bd1de9639bedf47e8c464d805d64604ed98eccbcc078a9981cfca10f80	reference/symbol-graphs/SpriteKit.symbols.json	0	1	0	swift.init	init(named:from:duration:)	SKAction.init(named:from:duration:)	init?(named name: String, from url: URL, duration: TimeInterval)
c:objc(cs)SKMutableTexture(im)modifyPixelDataWithBlock:	7395cc469fd880e0fab551eee174340ff5d7790ac4eff4aff6745f1c0bdf2606	reference/symbol-graphs/SpriteKit.symbols.json	0	1	1	swift.method	modifyPixelData(_:)	SKMutableTexture.modifyPixelData(_:)	func modifyPixelData(_ block: @escaping (UnsafeMutableRawPointer?, Int) -> Void)
c:objc(cs)SKMutableTexture(im)modifyPixelDataWithBlock:	73ca463562c3c36a79746f57e6e618e1d6b918c55b90d112fdaa95e9d324a84c	reference/symbol-graphs/SpriteKit.symbols.json	0	1	0	swift.method	modifyPixelData()	SKMutableTexture.modifyPixelData()	func modifyPixelData() async -> (UnsafeMutableRawPointer?, Int)
c:objc(cs)SKNode(im)runAction:completion:	cb3ec08591de74084aede3e6daa853f0588ddcbbde11a2983f2b5404208e3470	reference/symbol-graphs/SpriteKit.symbols.json	0	1	1	swift.method	run(_:)	SKNode.run(_:)	@MainActor func run(_ action: SKAction) async
c:objc(cs)SKNode(im)runAction:completion:	06da453ae01655cd6eff30842d0d1c5a88c4a77dd794b1206555e16d61a7b65f	reference/symbol-graphs/SpriteKit.symbols.json	0	1	0	swift.method	run(_:completion:)	SKNode.run(_:completion:)	@MainActor func run(_ action: SKAction, completion block: @escaping () -> Void)
c:objc(cs)SKTexture(cm)preloadTextures:withCompletionHandler:	3afab0af0a79ef876ed7937d7aaa0189146bc6b066e5ecd00c74449086532cc8	reference/symbol-graphs/SpriteKit.symbols.json	0	1	1	swift.type.method	preload(_:)	SKTexture.preload(_:)	class func preload(_ textures: [SKTexture]) async
c:objc(cs)SKTexture(cm)preloadTextures:withCompletionHandler:	b3746e08064c284a0a77eacb07071cdaa4663930ea38913d54dc62411fd1a2a4	reference/symbol-graphs/SpriteKit.symbols.json	0	1	0	swift.type.method	preload(_:withCompletionHandler:)	SKTexture.preload(_:withCompletionHandler:)	class func preload(_ textures: [SKTexture], withCompletionHandler completionHandler: @escaping () -> Void)
