precise	graphKind	graphPath	status	basis	rawCandidateCount	compatibleCandidateCount	selectedNodePath	candidateNodePaths
c:@E@SKANError	swift.enum	["SKANError","Code"]	exact-usr	exact-usr	3	1	/ABIRoot/children/26/children/3	["/ABIRoot/children/26","/ABIRoot/children/26/children/3","/ABIRoot/children/26/children/3/children/3"]
c:@E@SKANError@SKANErrorAdNetworkIdMissing	swift.enum.case	["SKANError","Code","adNetworkIdMissing"]	exact-usr	exact-usr	2	1	/ABIRoot/children/26/children/3/children/6	["/ABIRoot/children/26/children/3/children/6","/ABIRoot/children/26/children/6"]
c:@E@SKANError@SKANErrorImpressionMissingRequiredValue	swift.enum.case	["SKANError","Code","impressionMissingRequiredValue"]	exact-usr	exact-usr	2	1	/ABIRoot/children/26/children/3/children/4	["/ABIRoot/children/26/children/3/children/4","/ABIRoot/children/26/children/4"]
c:@E@SKANError@SKANErrorImpressionNotFound	swift.enum.case	["SKANError","Code","impressionNotFound"]	exact-usr	exact-usr	2	1	/ABIRoot/children/26/children/3/children/8	["/ABIRoot/children/26/children/3/children/8","/ABIRoot/children/26/children/8"]
c:@E@SKANError@SKANErrorImpressionTooShort	swift.enum.case	["SKANError","Code","impressionTooShort"]	exact-usr	exact-usr	2	1	/ABIRoot/children/26/children/3/children/15	["/ABIRoot/children/26/children/15","/ABIRoot/children/26/children/3/children/15"]
c:@E@SKANError@SKANErrorInvalidAdvertisedAppId	swift.enum.case	["SKANError","Code","invalidAdvertisedAppId"]	exact-usr	exact-usr	2	1	/ABIRoot/children/26/children/3/children/12	["/ABIRoot/children/26/children/12","/ABIRoot/children/26/children/3/children/12"]
c:@E@SKANError@SKANErrorInvalidCampaignId	swift.enum.case	["SKANError","Code","invalidCampaignId"]	exact-usr	exact-usr	2	1	/ABIRoot/children/26/children/3/children/9	["/ABIRoot/children/26/children/3/children/9","/ABIRoot/children/26/children/9"]
c:@E@SKANError@SKANErrorInvalidConversionValue	swift.enum.case	["SKANError","Code","invalidConversionValue"]	exact-usr	exact-usr	2	1	/ABIRoot/children/26/children/3/children/10	["/ABIRoot/children/26/children/10","/ABIRoot/children/26/children/3/children/10"]
c:@E@SKANError@SKANErrorInvalidSourceAppId	swift.enum.case	["SKANError","Code","invalidSourceAppId"]	exact-usr	exact-usr	2	1	/ABIRoot/children/26/children/3/children/11	["/ABIRoot/children/26/children/11","/ABIRoot/children/26/children/3/children/11"]
c:@E@SKANError@SKANErrorInvalidVersion	swift.enum.case	["SKANError","Code","invalidVersion"]	exact-usr	exact-usr	2	1	/ABIRoot/children/26/children/3/children/13	["/ABIRoot/children/26/children/13","/ABIRoot/children/26/children/3/children/13"]
c:@E@SKANError@SKANErrorMismatchedSourceAppId	swift.enum.case	["SKANError","Code","mismatchedSourceAppId"]	exact-usr	exact-usr	2	1	/ABIRoot/children/26/children/3/children/7	["/ABIRoot/children/26/children/3/children/7","/ABIRoot/children/26/children/7"]
c:@E@SKANError@SKANErrorUnknown	swift.enum.case	["SKANError","Code","unknown"]	exact-usr	exact-usr	2	1	/ABIRoot/children/26/children/3/children/14	["/ABIRoot/children/26/children/14","/ABIRoot/children/26/children/3/children/14"]
c:@E@SKANError@SKANErrorUnsupported	swift.enum.case	["SKANError","Code","unsupported"]	exact-usr	exact-usr	2	1	/ABIRoot/children/26/children/3/children/5	["/ABIRoot/children/26/children/3/children/5","/ABIRoot/children/26/children/5"]
c:@E@SKCloudServiceAuthorizationStatus	swift.enum	["SKCloudServiceAuthorizationStatus"]	unmatched	none	0	0		[]
