precise	kind	title	path	declaration
s:7Symbols12SymbolEffectP	swift.protocol	SymbolEffect	SymbolEffect	protocol SymbolEffect : Hashable, Sendable
s:7Symbols12SymbolEffectP13configurationAA0bC13ConfigurationVvp	swift.property	configuration	SymbolEffect.configuration	var configuration: SymbolEffectConfiguration { get }
s:7Symbols12SymbolEffectPA2A013VariableColorbC0VRszrlE08variableE0AEvpZ	swift.type.property	variableColor	SymbolEffect.variableColor	static var variableColor: VariableColorSymbolEffect { get }
s:7Symbols12SymbolEffectPA2A013VariableColorbC0VRszrlE08variableE0AEvpZ::SYNTHESIZED::s:7Symbols25VariableColorSymbolEffectV	swift.type.property	variableColor	VariableColorSymbolEffect.variableColor	static var variableColor: VariableColorSymbolEffect { get }
s:7Symbols12SymbolEffectPA2A05PulsebC0VRszrlE5pulseAEvpZ	swift.type.property	pulse	SymbolEffect.pulse	static var pulse: PulseSymbolEffect { get }
s:7Symbols12SymbolEffectPA2A05PulsebC0VRszrlE5pulseAEvpZ::SYNTHESIZED::s:7Symbols17PulseSymbolEffectV	swift.type.property	pulse	PulseSymbolEffect.pulse	static var pulse: PulseSymbolEffect { get }
s:7Symbols12SymbolEffectPA2A05ScalebC0VRszrlE5scaleAEvpZ	swift.type.property	scale	SymbolEffect.scale	static var scale: ScaleSymbolEffect { get }
s:7Symbols12SymbolEffectPA2A05ScalebC0VRszrlE5scaleAEvpZ::SYNTHESIZED::s:7Symbols17ScaleSymbolEffectV	swift.type.property	scale	ScaleSymbolEffect.scale	static var scale: ScaleSymbolEffect { get }
s:7Symbols12SymbolEffectPA2A06AppearbC0VRszrlE6appearAEvpZ	swift.type.property	appear	SymbolEffect.appear	static var appear: AppearSymbolEffect { get }
s:7Symbols12SymbolEffectPA2A06AppearbC0VRszrlE6appearAEvpZ::SYNTHESIZED::s:7Symbols18AppearSymbolEffectV	swift.type.property	appear	AppearSymbolEffect.appear	static var appear: AppearSymbolEffect { get }
s:7Symbols12SymbolEffectPA2A06BouncebC0VRszrlE6bounceAEvpZ	swift.type.property	bounce	SymbolEffect.bounce	static var bounce: BounceSymbolEffect { get }
s:7Symbols12SymbolEffectPA2A06BouncebC0VRszrlE6bounceAEvpZ::SYNTHESIZED::s:7Symbols18BounceSymbolEffectV	swift.type.property	bounce	BounceSymbolEffect.bounce	static var bounce: BounceSymbolEffect { get }
s:7Symbols12SymbolEffectPA2A06DrawOnbC0VRszrlE04drawE0AEvpZ	swift.type.property	drawOn	SymbolEffect.drawOn	static var drawOn: DrawOnSymbolEffect { get }
s:7Symbols12SymbolEffectPA2A06DrawOnbC0VRszrlE04drawE0AEvpZ::SYNTHESIZED::s:7Symbols18DrawOnSymbolEffectV	swift.type.property	drawOn	DrawOnSymbolEffect.drawOn	static var drawOn: DrawOnSymbolEffect { get }
s:7Symbols12SymbolEffectPA2A06RotatebC0VRszrlE6rotateAEvpZ	swift.type.property	rotate	SymbolEffect.rotate	static var rotate: RotateSymbolEffect { get }
s:7Symbols12SymbolEffectPA2A06RotatebC0VRszrlE6rotateAEvpZ::SYNTHESIZED::s:7Symbols18RotateSymbolEffectV	swift.type.property	rotate	RotateSymbolEffect.rotate	static var rotate: RotateSymbolEffect { get }
s:7Symbols12SymbolEffectPA2A06WigglebC0VRszrlE6wiggleAEvpZ	swift.type.property	wiggle	SymbolEffect.wiggle	static var wiggle: WiggleSymbolEffect { get }
s:7Symbols12SymbolEffectPA2A06WigglebC0VRszrlE6wiggleAEvpZ::SYNTHESIZED::s:7Symbols18WiggleSymbolEffectV	swift.type.property	wiggle	WiggleSymbolEffect.wiggle	static var wiggle: WiggleSymbolEffect { get }
s:7Symbols12SymbolEffectPA2A07BreathebC0VRszrlE7breatheAEvpZ	swift.type.property	breathe	SymbolEffect.breathe	static var breathe: BreatheSymbolEffect { get }
s:7Symbols12SymbolEffectPA2A07BreathebC0VRszrlE7breatheAEvpZ::SYNTHESIZED::s:7Symbols19BreatheSymbolEffectV	swift.type.property	breathe	BreatheSymbolEffect.breathe	static var breathe: BreatheSymbolEffect { get }
s:7Symbols12SymbolEffectPA2A07DrawOffbC0VRszrlE04drawE0AEvpZ	swift.type.property	drawOff	SymbolEffect.drawOff	static var drawOff: DrawOffSymbolEffect { get }
