precise	status	evidence	notes
c:@E@OSSystemExtensionErrorCode	implemented	test:full/systemextensions/tests/agent/ErrorCodeTests.swift#testOSSystemExtensionErrorCodeRawValues	-
c:@E@OSSystemExtensionErrorCode@OSSystemExtensionErrorAuthorizationRequired	implemented	test:full/systemextensions/tests/agent/ErrorCodeTests.swift#testOSSystemExtensionErrorCodeRawValues	-
c:@E@OSSystemExtensionErrorCode@OSSystemExtensionErrorCodeSignatureInvalid	implemented	test:full/systemextensions/tests/agent/ErrorCodeTests.swift#testOSSystemExtensionErrorCodeRawValues	-
c:@E@OSSystemExtensionErrorCode@OSSystemExtensionErrorDuplicateExtensionIdentifer	implemented	test:full/systemextensions/tests/agent/ErrorCodeTests.swift#testOSSystemExtensionErrorCodeRawValues	-
c:@E@OSSystemExtensionErrorCode@OSSystemExtensionErrorExtensionMissingIdentifier	implemented	test:full/systemextensions/tests/agent/ErrorCodeTests.swift#testOSSystemExtensionErrorCodeRawValues	-
c:@E@OSSystemExtensionErrorCode@OSSystemExtensionErrorExtensionNotFound	implemented	test:full/systemextensions/tests/agent/ErrorCodeTests.swift#testOSSystemExtensionErrorCodeRawValues	-
c:@E@OSSystemExtensionErrorCode@OSSystemExtensionErrorForbiddenBySystemPolicy	implemented	test:full/systemextensions/tests/agent/ErrorCodeTests.swift#testOSSystemExtensionErrorCodeRawValues	-
c:@E@OSSystemExtensionErrorCode@OSSystemExtensionErrorMissingEntitlement	implemented	test:full/systemextensions/tests/agent/ErrorCodeTests.swift#testOSSystemExtensionErrorCodeRawValues	-
c:@E@OSSystemExtensionErrorCode@OSSystemExtensionErrorRequestCanceled	implemented	test:full/systemextensions/tests/agent/ErrorCodeTests.swift#testOSSystemExtensionErrorCodeRawValues	-
c:@E@OSSystemExtensionErrorCode@OSSystemExtensionErrorRequestSuperseded	implemented	test:full/systemextensions/tests/agent/ErrorCodeTests.swift#testOSSystemExtensionErrorCodeRawValues	-
c:@E@OSSystemExtensionErrorCode@OSSystemExtensionErrorUnknown	implemented	test:full/systemextensions/tests/agent/ErrorCodeTests.swift#testOSSystemExtensionErrorCodeRawValues	-
c:@E@OSSystemExtensionErrorCode@OSSystemExtensionErrorUnknownExtensionCategory	implemented	test:full/systemextensions/tests/agent/ErrorCodeTests.swift#testOSSystemExtensionErrorCodeRawValues	-
c:@E@OSSystemExtensionErrorCode@OSSystemExtensionErrorUnsupportedParentBundleLocation	implemented	test:full/systemextensions/tests/agent/ErrorCodeTests.swift#testOSSystemExtensionErrorCodeRawValues	-
c:@E@OSSystemExtensionErrorCode@OSSystemExtensionErrorValidationFailed	implemented	test:full/systemextensions/tests/agent/ErrorCodeTests.swift#testOSSystemExtensionErrorCodeRawValues	-
c:@NSSystemExtensionUsageDescriptionKey	implemented	test:full/systemextensions/tests/agent/ConstantTests.swift#testNSSystemExtensionUsageDescriptionKey	-
c:@OSBundleUsageDescriptionKey	implemented	test:full/systemextensions/tests/agent/ConstantTests.swift#testOSBundleUsageDescriptionKey	-
c:@OSSystemExtensionErrorDomain	implemented	test:full/systemextensions/tests/agent/ConstantTests.swift#testOSSystemExtensionErrorDomain	-
c:objc(cs)OSSystemExtensionProperties	implemented	test:full/systemextensions/tests/agent/PropertiesTests.swift#testOSSystemExtensionPropertiesType	-
c:objc(cs)OSSystemExtensionProperties(py)bundleIdentifier	implemented	test:full/systemextensions/tests/agent/PropertiesTests.swift#testOSSystemExtensionPropertiesBundleIdentifier	-
c:objc(cs)OSSystemExtensionProperties(py)bundleShortVersion	implemented	test:full/systemextensions/tests/agent/PropertiesTests.swift#testOSSystemExtensionPropertiesBundleShortVersion	-
c:objc(cs)OSSystemExtensionProperties(py)bundleVersion	implemented	test:full/systemextensions/tests/agent/PropertiesTests.swift#testOSSystemExtensionPropertiesBundleVersion	-
c:objc(cs)OSSystemExtensionProperties(py)isEnabled	implemented	test:full/systemextensions/tests/agent/PropertiesTests.swift#testOSSystemExtensionPropertiesIsEnabled	-
c:objc(cs)OSSystemExtensionsWorkspace	implemented	test:full/systemextensions/tests/agent/WorkspaceTests.swift#testOSSystemExtensionsWorkspaceType	-
c:objc(cs)OSSystemExtensionsWorkspace(cpy)sharedWorkspace	implemented	test:full/systemextensions/tests/agent/WorkspaceTests.swift#testOSSystemExtensionsWorkspaceShared	-
c:objc(cs)OSSystemExtensionsWorkspace(im)systemExtensionsForApplicationWithBundleID:error:	implemented	test:full/systemextensions/tests/agent/WorkspaceTests.swift#testOSSystemExtensionsWorkspaceSystemExtensionsFailClosed	-
s:10Foundation13CustomNSErrorPAAE11errorDomainSSvpZ::SYNTHESIZED::c:@E@OSSystemExtensionErrorCode	implemented	test:full/systemextensions/tests/agent/ErrorTests.swift#testOSSystemExtensionErrorCustomNSErrorDomain	-
s:10Foundation13CustomNSErrorPAAE13errorUserInfoSDySSypGvp::SYNTHESIZED::c:@E@OSSystemExtensionErrorCode	implemented	test:full/systemextensions/tests/agent/ErrorTests.swift#testOSSystemExtensionErrorCustomNSErrorUserInfo	-
s:10Foundation13CustomNSErrorPAAE9errorCodeSivp::SYNTHESIZED::c:@E@OSSystemExtensionErrorCode	implemented	test:full/systemextensions/tests/agent/ErrorTests.swift#testOSSystemExtensionErrorCustomNSErrorCode	-
s:10Foundation18_ErrorCodeProtocolPAAE2teoiySbx_s0B0_ptFZ::SYNTHESIZED::c:@E@OSSystemExtensionErrorCode	implemented	test:full/systemextensions/tests/agent/ErrorCodeTests.swift#testOSSystemExtensionErrorCodePatternMatch	-
