precise	status	evidence	notes
s:10Foundation14LocalizedErrorPAAE10helpAnchorSSSgvp::SYNTHESIZED::s:11TabularData15CSVReadingErrorO	implemented	test:full/tabulardata/tests/agent/TabularDataEnumTests.swift#testCSVReadingErrorCases	-
s:10Foundation14LocalizedErrorPAAE10helpAnchorSSSgvp::SYNTHESIZED::s:11TabularData16JSONReadingErrorO	implemented	test:full/tabulardata/tests/agent/TabularDataEnumTests.swift#testJSONReadingErrorCases	-
s:10Foundation14LocalizedErrorPAAE10helpAnchorSSSgvp::SYNTHESIZED::s:11TabularData18SFrameReadingErrorO	implemented	test:full/tabulardata/tests/agent/TabularDataEnumTests.swift#testSFrameReadingErrorCases	-
s:10Foundation14LocalizedErrorPAAE10helpAnchorSSSgvp::SYNTHESIZED::s:11TabularData19ColumnDecodingErrorV	implemented	test:full/tabulardata/tests/agent/TabularDataEnumTests.swift#testColumnDecodingError	-
s:10Foundation14LocalizedErrorPAAE10helpAnchorSSSgvp::SYNTHESIZED::s:11TabularData19ColumnEncodingErrorV	implemented	test:full/tabulardata/tests/agent/TabularDataEnumTests.swift#testColumnEncodingError	-
s:10Foundation14LocalizedErrorPAAE13failureReasonSSSgvp::SYNTHESIZED::s:11TabularData15CSVReadingErrorO	implemented	test:full/tabulardata/tests/agent/TabularDataEnumTests.swift#testCSVReadingErrorCases	-
s:10Foundation14LocalizedErrorPAAE13failureReasonSSSgvp::SYNTHESIZED::s:11TabularData16JSONReadingErrorO	implemented	test:full/tabulardata/tests/agent/TabularDataEnumTests.swift#testJSONReadingErrorCases	-
s:10Foundation14LocalizedErrorPAAE13failureReasonSSSgvp::SYNTHESIZED::s:11TabularData18SFrameReadingErrorO	implemented	test:full/tabulardata/tests/agent/TabularDataEnumTests.swift#testSFrameReadingErrorCases	-
s:10Foundation14LocalizedErrorPAAE13failureReasonSSSgvp::SYNTHESIZED::s:11TabularData19ColumnDecodingErrorV	implemented	test:full/tabulardata/tests/agent/TabularDataEnumTests.swift#testColumnDecodingError	-
s:10Foundation14LocalizedErrorPAAE13failureReasonSSSgvp::SYNTHESIZED::s:11TabularData19ColumnEncodingErrorV	implemented	test:full/tabulardata/tests/agent/TabularDataEnumTests.swift#testColumnEncodingError	-
s:10Foundation14LocalizedErrorPAAE16errorDescriptionSSSgvp::SYNTHESIZED::s:11TabularData15CSVReadingErrorO	implemented	test:full/tabulardata/tests/agent/TabularDataEnumTests.swift#testCSVReadingErrorCases	-
s:10Foundation14LocalizedErrorPAAE16errorDescriptionSSSgvp::SYNTHESIZED::s:11TabularData16JSONReadingErrorO	implemented	test:full/tabulardata/tests/agent/TabularDataEnumTests.swift#testJSONReadingErrorCases	-
s:10Foundation14LocalizedErrorPAAE16errorDescriptionSSSgvp::SYNTHESIZED::s:11TabularData18SFrameReadingErrorO	implemented	test:full/tabulardata/tests/agent/TabularDataEnumTests.swift#testSFrameReadingErrorCases	-
s:10Foundation14LocalizedErrorPAAE16errorDescriptionSSSgvp::SYNTHESIZED::s:11TabularData19ColumnDecodingErrorV	implemented	test:full/tabulardata/tests/agent/TabularDataEnumTests.swift#testColumnDecodingError	-
s:10Foundation14LocalizedErrorPAAE16errorDescriptionSSSgvp::SYNTHESIZED::s:11TabularData19ColumnEncodingErrorV	implemented	test:full/tabulardata/tests/agent/TabularDataEnumTests.swift#testColumnEncodingError	-
s:10Foundation14LocalizedErrorPAAE18recoverySuggestionSSSgvp::SYNTHESIZED::s:11TabularData15CSVReadingErrorO	implemented	test:full/tabulardata/tests/agent/TabularDataEnumTests.swift#testCSVReadingErrorCases	-
s:10Foundation14LocalizedErrorPAAE18recoverySuggestionSSSgvp::SYNTHESIZED::s:11TabularData16JSONReadingErrorO	implemented	test:full/tabulardata/tests/agent/TabularDataEnumTests.swift#testJSONReadingErrorCases	-
s:10Foundation14LocalizedErrorPAAE18recoverySuggestionSSSgvp::SYNTHESIZED::s:11TabularData18SFrameReadingErrorO	implemented	test:full/tabulardata/tests/agent/TabularDataEnumTests.swift#testSFrameReadingErrorCases	-
s:10Foundation14LocalizedErrorPAAE18recoverySuggestionSSSgvp::SYNTHESIZED::s:11TabularData19ColumnDecodingErrorV	implemented	test:full/tabulardata/tests/agent/TabularDataEnumTests.swift#testColumnDecodingError	-
s:10Foundation14LocalizedErrorPAAE18recoverySuggestionSSSgvp::SYNTHESIZED::s:11TabularData19ColumnEncodingErrorV	implemented	test:full/tabulardata/tests/agent/TabularDataEnumTests.swift#testColumnEncodingError	-
s:11TabularData06ShapedB0V	implemented	test:full/tabulardata/tests/agent/TabularDataEnumTests.swift#testShapedData	-
s:11TabularData06ShapedB0V5shape7strides8contentsACyxGSaySiG_AHSayxGtcfc	implemented	test:full/tabulardata/tests/agent/TabularDataEnumTests.swift#testShapedData	-
s:11TabularData06ShapedB0V5shapeSaySiGvp	implemented	test:full/tabulardata/tests/agent/TabularDataEnumTests.swift#testShapedData	-
s:11TabularData06ShapedB0V7stridesSaySiGvp	implemented	test:full/tabulardata/tests/agent/TabularDataEnumTests.swift#testShapedData	-
s:11TabularData06ShapedB0V8contentsSayxGvp	implemented	test:full/tabulardata/tests/agent/TabularDataEnumTests.swift#testShapedData	-
s:11TabularData06ShapedB0VAASHRzlE4hash4intoys6HasherVz_tF	implemented	test:full/tabulardata/tests/agent/TabularDataEnumTests.swift#testShapedData	-
s:11TabularData06ShapedB0VAASHRzlE9hashValueSivp	implemented	test:full/tabulardata/tests/agent/TabularDataEnumTests.swift#testShapedData	-
s:11TabularData06ShapedB0VAASQRzlE2eeoiySbACyxG_AEtFZ	implemented	test:full/tabulardata/tests/agent/TabularDataEnumTests.swift#testShapedData	-
s:11TabularData06ShapedB0VyxSid_tcip	implemented	test:full/tabulardata/tests/agent/TabularDataEnumTests.swift#testShapedData	-
s:11TabularData0B13FrameProtocolP	implemented	test:full/tabulardata/tests/agent/TabularDataFrameTests.swift#testDataFrameEmptyAndColumns	-
s:11TabularData0B13FrameProtocolP10ColumnTypeQa	declared	source:full/tabulardata/TabularDataProtocols.swift#ColumnType	-
s:11TabularData0B13FrameProtocolP4baseAA0bC0Vvp	implemented	test:full/tabulardata/tests/agent/TabularDataFrameTests.swift#testDataFrameEmptyAndColumns	-
s:11TabularData0B13FrameProtocolP4rowsAA0bC0V4RowsVvp	implemented	test:full/tabulardata/tests/agent/TabularDataFrameTests.swift#testDataFrameEmptyAndColumns	-
s:11TabularData0B13FrameProtocolP5shapeSi4rows_Si7columnstvp	implemented	test:full/tabulardata/tests/agent/TabularDataFrameTests.swift#testDataFrameEmptyAndColumns	-
s:11TabularData0B13FrameProtocolP7columnsSay10ColumnTypeQzGvp	implemented	test:full/tabulardata/tests/agent/TabularDataFrameTests.swift#testDataFrameEmptyAndColumns	-
s:11TabularData0B13FrameProtocolPAAE11description7optionsSSAA17FormattingOptionsV_tF	implemented	test:full/tabulardata/tests/agent/TabularDataFrameTests.swift#testDataFrameEmptyAndColumns	-
s:11TabularData0B13FrameProtocolPAAE11description7optionsSSAA17FormattingOptionsV_tF::SYNTHESIZED::s:11TabularData0B5FrameV	implemented	test:full/tabulardata/tests/agent/TabularDataFrameTests.swift#testDataFrameEmptyAndColumns	-
s:11TabularData0B13FrameProtocolPAAE11description7optionsSSAA17FormattingOptionsV_tF::SYNTHESIZED::s:11TabularData0B5FrameV5SliceV	implemented	test:full/tabulardata/tests/agent/TabularDataFrameTests.swift#testDataFrameSliceAccess	-
s:11TabularData0B13FrameProtocolPAAE11randomSplit2by4seedAA0bC0V5SliceV_AJtSd_SiSgtF	implemented	test:full/tabulardata/tests/agent/TabularDataExtraTests.swift#testProtocolRandomSplitUsing	-
s:11TabularData0B13FrameProtocolPAAE11randomSplit2by4seedAA0bC0V5SliceV_AJtSd_SiSgtF::SYNTHESIZED::s:11TabularData0B5FrameV	implemented	test:full/tabulardata/tests/agent/TabularDataGroupTests.swift#testRandomAndStratifiedSplit	-
s:11TabularData0B13FrameProtocolPAAE11randomSplit2by4seedAA0bC0V5SliceV_AJtSd_SiSgtF::SYNTHESIZED::s:11TabularData0B5FrameV5SliceV	implemented	test:full/tabulardata/tests/agent/TabularDataGroupTests.swift#testSliceRandomSplit	-
s:11TabularData0B13FrameProtocolPAAE11randomSplit2by5usingAA0bC0V5SliceV_AJtSd_qd__ztSGRd__lF	implemented	test:full/tabulardata/tests/agent/TabularDataExtraTests.swift#testProtocolRandomSplitUsing	-
s:11TabularData0B13FrameProtocolPAAE11randomSplit2by5usingAA0bC0V5SliceV_AJtSd_qd__ztSGRd__lF::SYNTHESIZED::s:11TabularData0B5FrameV	implemented	test:full/tabulardata/tests/agent/TabularDataGroupTests.swift#testRandomAndStratifiedSplit	-
s:11TabularData0B13FrameProtocolPAAE11randomSplit2by5usingAA0bC0V5SliceV_AJtSd_qd__ztSGRd__lF::SYNTHESIZED::s:11TabularData0B5FrameV5SliceV	implemented	test:full/tabulardata/tests/agent/TabularDataGroupTests.swift#testSliceRandomSplit	-
s:11TabularData0B13FrameProtocolPAAE15stratifiedSplit2on2by10randomSeedAA0bC0V_AItAA8ColumnIDVyqd__G_SdSiSgtSHRd__lF	implemented	test:full/tabulardata/tests/agent/TabularDataGroupTests.swift#testRandomAndStratifiedSplit	-
s:11TabularData0B13FrameProtocolPAAE15stratifiedSplit2on2by10randomSeedAA0bC0V_AItAA8ColumnIDVyqd__G_SdSiSgtSHRd__lF::SYNTHESIZED::s:11TabularData0B5FrameV	implemented	test:full/tabulardata/tests/agent/TabularDataGroupTests.swift#testRandomAndStratifiedSplit	-
s:11TabularData0B13FrameProtocolPAAE15stratifiedSplit2on2by10randomSeedAA0bC0V_AItSS_SdSiSgtF	implemented	test:full/tabulardata/tests/agent/TabularDataGroupTests.swift#testRandomAndStratifiedSplit	-
s:11TabularData0B13FrameProtocolPAAE15stratifiedSplit2on2by10randomSeedAA0bC0V_AItSS_SdSiSgtF::SYNTHESIZED::s:11TabularData0B5FrameV	implemented	test:full/tabulardata/tests/agent/TabularDataGroupTests.swift#testRandomAndStratifiedSplit	-
s:11TabularData0B13FrameProtocolPAAE15stratifiedSplit2on2by10randomSeedAA0bC0V_AItSS_SdSiSgtF::SYNTHESIZED::s:11TabularData0B5FrameV5SliceV	implemented	test:full/tabulardata/tests/agent/TabularDataFrameTests.swift#testDataFrameSliceAccess	-
s:11TabularData0B13FrameProtocolPAAE15stratifiedSplit2on2by10randomSeedAA0bC0V_AItSSd_SdSiSgtF	implemented	test:full/tabulardata/tests/agent/TabularDataGroupTests.swift#testRandomAndStratifiedSplit	-
s:11TabularData0B13FrameProtocolPAAE15stratifiedSplit2on2by10randomSeedAA0bC0V_AItSSd_SdSiSgtF::SYNTHESIZED::s:11TabularData0B5FrameV	implemented	test:full/tabulardata/tests/agent/TabularDataGroupTests.swift#testRandomAndStratifiedSplit	-
s:11TabularData0B13FrameProtocolPAAE15stratifiedSplit2on_2by10randomSeedAA0bC0V_AItAA8ColumnIDVyqd__G_AKyqd_0_GSdSiSgtSHRd__SHRd_0_r0_lF	implemented	test:full/tabulardata/tests/agent/TabularDataGroupTests.swift#testRandomAndStratifiedSplit	-
s:11TabularData0B13FrameProtocolPAAE15stratifiedSplit2on_2by10randomSeedAA0bC0V_AItAA8ColumnIDVyqd__G_AKyqd_0_GSdSiSgtSHRd__SHRd_0_r0_lF::SYNTHESIZED::s:11TabularData0B5FrameV	implemented	test:full/tabulardata/tests/agent/TabularDataGroupTests.swift#testRandomAndStratifiedSplit	-
s:11TabularData0B13FrameProtocolPAAE15stratifiedSplit2on_2by10randomSeedAA0bC0V_AItAA8ColumnIDVyqd__G_AKyqd_0_GSdSiSgtSHRd__SHRd_0_r0_lF::SYNTHESIZED::s:11TabularData0B5FrameV5SliceV	implemented	test:full/tabulardata/tests/agent/TabularDataFrameTests.swift#testDataFrameSliceAccess	-
s:11TabularData0B13FrameProtocolPAAE15stratifiedSplit2on__2by10randomSeedAA0bC0V_AItAA8ColumnIDVyqd__G_AKyqd_0_GAKyqd_1_GSdSiSgtSHRd__SHRd_0_SHRd_1_r1_lF	implemented	test:full/tabulardata/tests/agent/TabularDataGroupTests.swift#testRandomAndStratifiedSplit	-
s:11TabularData0B13FrameProtocolPAAE15stratifiedSplit2on__2by10randomSeedAA0bC0V_AItAA8ColumnIDVyqd__G_AKyqd_0_GAKyqd_1_GSdSiSgtSHRd__SHRd_0_SHRd_1_r1_lF::SYNTHESIZED::s:11TabularData0B5FrameV	implemented	test:full/tabulardata/tests/agent/TabularDataGroupTests.swift#testRandomAndStratifiedSplit	-
s:11TabularData0B13FrameProtocolPAAE15stratifiedSplit2on__2by10randomSeedAA0bC0V_AItAA8ColumnIDVyqd__G_AKyqd_0_GAKyqd_1_GSdSiSgtSHRd__SHRd_0_SHRd_1_r1_lF::SYNTHESIZED::s:11TabularData0B5FrameV5SliceV	implemented	test:full/tabulardata/tests/agent/TabularDataFrameTests.swift#testDataFrameSliceAccess	-
s:11TabularData0B13FrameProtocolPAAE17csvRepresentation7options10Foundation0B0VAA17CSVWritingOptionsV_tKF	implemented	test:full/tabulardata/tests/agent/TabularDataExtraTests.swift#testProtocolRandomSplitUsing	-
s:11TabularData0B13FrameProtocolPAAE17csvRepresentation7options10Foundation0B0VAA17CSVWritingOptionsV_tKF::SYNTHESIZED::s:11TabularData0B5FrameV	implemented	test:full/tabulardata/tests/agent/TabularDataIOTests.swift#testCSVRoundTrip	-
s:11TabularData0B13FrameProtocolPAAE17csvRepresentation7options10Foundation0B0VAA17CSVWritingOptionsV_tKF::SYNTHESIZED::s:11TabularData0B5FrameV5SliceV	implemented	test:full/tabulardata/tests/agent/TabularDataFrameTests.swift#testDataFrameSliceAccess	-
s:11TabularData0B13FrameProtocolPAAE18jsonRepresentation7options10Foundation0B0VAA18JSONWritingOptionsV_tKF	implemented	test:full/tabulardata/tests/agent/TabularDataExtraTests.swift#testProtocolRandomSplitUsing	-
s:11TabularData0B13FrameProtocolPAAE18jsonRepresentation7options10Foundation0B0VAA18JSONWritingOptionsV_tKF::SYNTHESIZED::s:11TabularData0B5FrameV	implemented	test:full/tabulardata/tests/agent/TabularDataIOTests.swift#testJSONRoundTrip	-
s:11TabularData0B13FrameProtocolPAAE18jsonRepresentation7options10Foundation0B0VAA18JSONWritingOptionsV_tKF::SYNTHESIZED::s:11TabularData0B5FrameV5SliceV	implemented	test:full/tabulardata/tests/agent/TabularDataFrameTests.swift#testDataFrameSliceAccess	-
s:11TabularData0B13FrameProtocolPAAE6joined_2on4kindAA0bC0Vqd___AA8ColumnIDVyqd_0_G4left_AK5righttAA8JoinKindOtAaBRd__SHRd_0_r0_lF	implemented	test:full/tabulardata/tests/agent/TabularDataGroupTests.swift#testJoinInnerLeftRightFull	-
s:11TabularData0B13FrameProtocolPAAE6joined_2on4kindAA0bC0Vqd___AA8ColumnIDVyqd_0_G4left_AK5righttAA8JoinKindOtAaBRd__SHRd_0_r0_lF::SYNTHESIZED::s:11TabularData0B5FrameV	implemented	test:full/tabulardata/tests/agent/TabularDataGroupTests.swift#testJoinInnerLeftRightFull	-
s:11TabularData0B13FrameProtocolPAAE6joined_2on4kindAA0bC0Vqd___AA8ColumnIDVyqd_0_G4left_AK5righttAA8JoinKindOtAaBRd__SHRd_0_r0_lF::SYNTHESIZED::s:11TabularData0B5FrameV5SliceV	implemented	test:full/tabulardata/tests/agent/TabularDataFrameTests.swift#testDataFrameSliceAccess	-
s:11TabularData0B13FrameProtocolPAAE6joined_2on4kindAA0bC0Vqd___AA8ColumnIDVyqd_0_GAA8JoinKindOtAaBRd__SHRd_0_r0_lF	implemented	test:full/tabulardata/tests/agent/TabularDataGroupTests.swift#testJoinInnerLeftRightFull	-
s:11TabularData0B13FrameProtocolPAAE6joined_2on4kindAA0bC0Vqd___AA8ColumnIDVyqd_0_GAA8JoinKindOtAaBRd__SHRd_0_r0_lF::SYNTHESIZED::s:11TabularData0B5FrameV	implemented	test:full/tabulardata/tests/agent/TabularDataGroupTests.swift#testJoinInnerLeftRightFull	-
s:11TabularData0B13FrameProtocolPAAE6joined_2on4kindAA0bC0Vqd___AA8ColumnIDVyqd_0_GAA8JoinKindOtAaBRd__SHRd_0_r0_lF::SYNTHESIZED::s:11TabularData0B5FrameV5SliceV	implemented	test:full/tabulardata/tests/agent/TabularDataFrameTests.swift#testDataFrameSliceAccess	-
s:11TabularData0B13FrameProtocolPAAE6joined_2on4kindAA0bC0Vqd___SS4left_SS5righttAA8JoinKindOtAaBRd__lF	implemented	test:full/tabulardata/tests/agent/TabularDataGroupTests.swift#testJoinInnerLeftRightFull	-
s:11TabularData0B13FrameProtocolPAAE6joined_2on4kindAA0bC0Vqd___SS4left_SS5righttAA8JoinKindOtAaBRd__lF::SYNTHESIZED::s:11TabularData0B5FrameV	implemented	test:full/tabulardata/tests/agent/TabularDataGroupTests.swift#testJoinInnerLeftRightFull	-
s:11TabularData0B13FrameProtocolPAAE6joined_2on4kindAA0bC0Vqd___SS4left_SS5righttAA8JoinKindOtAaBRd__lF::SYNTHESIZED::s:11TabularData0B5FrameV5SliceV	implemented	test:full/tabulardata/tests/agent/TabularDataFrameTests.swift#testDataFrameSliceAccess	-
s:11TabularData0B13FrameProtocolPAAE6joined_2on4kindAA0bC0Vqd___SSAA8JoinKindOtAaBRd__lF	implemented	test:full/tabulardata/tests/agent/TabularDataGroupTests.swift#testJoinInnerLeftRightFull	-
s:11TabularData0B13FrameProtocolPAAE6joined_2on4kindAA0bC0Vqd___SSAA8JoinKindOtAaBRd__lF::SYNTHESIZED::s:11TabularData0B5FrameV	implemented	test:full/tabulardata/tests/agent/TabularDataGroupTests.swift#testJoinInnerLeftRightFull	-
s:11TabularData0B13FrameProtocolPAAE6joined_2on4kindAA0bC0Vqd___SSAA8JoinKindOtAaBRd__lF::SYNTHESIZED::s:11TabularData0B5FrameV5SliceV	implemented	test:full/tabulardata/tests/agent/TabularDataFrameTests.swift#testDataFrameSliceAccess	-
s:11TabularData0B13FrameProtocolPAAE6sorted2on2byAA0bC0VAA8ColumnIDVyqd__G_Sbqd___qd__tKXEtKlF	implemented	test:full/tabulardata/tests/agent/TabularDataFrameTests.swift#testDataFrameSelectFilterSort	-
s:11TabularData0B13FrameProtocolPAAE6sorted2on2byAA0bC0VAA8ColumnIDVyqd__G_Sbqd___qd__tKXEtKlF::SYNTHESIZED::s:11TabularData0B5FrameV	implemented	test:full/tabulardata/tests/agent/TabularDataFrameTests.swift#testDataFrameSelectFilterSort	-
s:11TabularData0B13FrameProtocolPAAE6sorted2on2byAA0bC0VAA8ColumnIDVyqd__G_Sbqd___qd__tKXEtKlF::SYNTHESIZED::s:11TabularData0B5FrameV5SliceV	implemented	test:full/tabulardata/tests/agent/TabularDataFrameTests.swift#testDataFrameSliceAccess	-
s:11TabularData0B13FrameProtocolPAAE6sorted2on5orderAA0bC0VAA8ColumnIDVyqd__G_AA5OrderOtSLRd__lF	implemented	test:full/tabulardata/tests/agent/TabularDataFrameTests.swift#testDataFrameSelectFilterSort	-
s:11TabularData0B13FrameProtocolPAAE6sorted2on5orderAA0bC0VAA8ColumnIDVyqd__G_AA5OrderOtSLRd__lF::SYNTHESIZED::s:11TabularData0B5FrameV	implemented	test:full/tabulardata/tests/agent/TabularDataFrameTests.swift#testDataFrameSelectFilterSort	-
s:11TabularData0B13FrameProtocolPAAE6sorted2on5orderAA0bC0VSS_AA5OrderOtF	implemented	test:full/tabulardata/tests/agent/TabularDataFrameTests.swift#testDataFrameSelectFilterSort	-
s:11TabularData0B13FrameProtocolPAAE6sorted2on5orderAA0bC0VSS_AA5OrderOtF::SYNTHESIZED::s:11TabularData0B5FrameV	implemented	test:full/tabulardata/tests/agent/TabularDataFrameTests.swift#testDataFrameSelectFilterSort	-
s:11TabularData0B13FrameProtocolPAAE6sorted2on5orderAA0bC0VSS_AA5OrderOtF::SYNTHESIZED::s:11TabularData0B5FrameV5SliceV	implemented	test:full/tabulardata/tests/agent/TabularDataFrameTests.swift#testDataFrameSliceAccess	-
s:11TabularData0B13FrameProtocolPAAE6sorted2on_2byAA0bC0VSS_qd__mSbqd___qd__tKXEtKlF	implemented	test:full/tabulardata/tests/agent/TabularDataFrameTests.swift#testDataFrameSelectFilterSort	-
s:11TabularData0B13FrameProtocolPAAE6sorted2on_2byAA0bC0VSS_qd__mSbqd___qd__tKXEtKlF::SYNTHESIZED::s:11TabularData0B5FrameV	implemented	test:full/tabulardata/tests/agent/TabularDataFrameTests.swift#testDataFrameSelectFilterSort	-
s:11TabularData0B13FrameProtocolPAAE6sorted2on_2byAA0bC0VSS_qd__mSbqd___qd__tKXEtKlF::SYNTHESIZED::s:11TabularData0B5FrameV5SliceV	implemented	test:full/tabulardata/tests/agent/TabularDataFrameTests.swift#testDataFrameSliceAccess	-
