precise	status	evidence	notes
c:@M@TipKit@objc(cs)TipUICollectionReusableView	unavailable		UIKit type; UIKit is not a declared dependency
c:@M@TipKit@objc(cs)TipUICollectionReusableView(im)initWithCoder:	unavailable		UIKit type; UIKit is not a declared dependency
c:@M@TipKit@objc(cs)TipUICollectionReusableView(im)initWithFrame:	unavailable		UIKit type; UIKit is not a declared dependency
c:@M@TipKit@objc(cs)TipUICollectionViewCell	unavailable		UIKit type; UIKit is not a declared dependency
c:@M@TipKit@objc(cs)TipUICollectionViewCell(im)initWithCoder:	unavailable		UIKit type; UIKit is not a declared dependency
c:@M@TipKit@objc(cs)TipUICollectionViewCell(im)initWithFrame:	unavailable		UIKit type; UIKit is not a declared dependency
c:@M@TipKit@objc(cs)TipUICollectionViewCell(py)backgroundColor	unavailable		UIKit type; UIKit is not a declared dependency
c:@M@TipKit@objc(cs)TipUIPopoverViewController	unavailable		UIKit type; UIKit is not a declared dependency
c:@M@TipKit@objc(cs)TipUIPopoverViewController(im)initWithCoder:	unavailable		UIKit type; UIKit is not a declared dependency
c:@M@TipKit@objc(cs)TipUIPopoverViewController(im)initWithNibName:bundle:	unavailable		UIKit type; UIKit is not a declared dependency
c:@M@TipKit@objc(cs)TipUIView	unavailable		UIKit type; UIKit is not a declared dependency
c:@M@TipKit@objc(cs)TipUIView(py)backgroundColor	unavailable		UIKit type; UIKit is not a declared dependency
s:10Foundation14LocalizedErrorPAAE10helpAnchorSSSgvp::SYNTHESIZED::s:6TipKit0aB5ErrorV	implemented	tests/agent/TipKitRuntime.swift	Exercised by the Foundation-only agent runtime
s:10Foundation14LocalizedErrorPAAE13failureReasonSSSgvp::SYNTHESIZED::s:6TipKit0aB5ErrorV	implemented	tests/agent/TipKitRuntime.swift	Exercised by the Foundation-only agent runtime
s:10Foundation14LocalizedErrorPAAE16errorDescriptionSSSgvp::SYNTHESIZED::s:6TipKit0aB5ErrorV	implemented	tests/agent/TipKitRuntime.swift	Exercised by the Foundation-only agent runtime
s:10Foundation14LocalizedErrorPAAE18recoverySuggestionSSSgvp::SYNTHESIZED::s:6TipKit0aB5ErrorV	implemented	tests/agent/TipKitRuntime.swift	Exercised by the Foundation-only agent runtime
s:6TipKit03AnyA0V	deferred		Requires real SwiftUI.Text/Image/Edge/Binding/View; gated when SwiftUI is unavailable
s:6TipKit03AnyA0V2IDa	deferred		Requires real SwiftUI.Text/Image/Edge/Binding/View; gated when SwiftUI is unavailable
s:6TipKit04MiniA9ViewStyleV	deferred		Requires real SwiftUI.Text/Image/Edge/Binding/View; gated when SwiftUI is unavailable
s:6TipKit04MiniA9ViewStyleV4Bodya	deferred		Requires real SwiftUI.Text/Image/Edge/Binding/View; gated when SwiftUI is unavailable
s:6TipKit04MiniA9ViewStyleV8makeBody13configurationQrAA0adE13ConfigurationV_tF	deferred		Requires real SwiftUI.Text/Image/Edge/Binding/View; gated when SwiftUI is unavailable
s:6TipKit0A0P	deferred		Requires real SwiftUI.Text/Image/Edge/Binding/View; gated when SwiftUI is unavailable
s:6TipKit0A0P2idSSvp	deferred		Requires real SwiftUI.Text/Image/Edge/Binding/View; gated when SwiftUI is unavailable
s:6TipKit0A0P5image7SwiftUI5ImageVSgvp	deferred		Requires real SwiftUI.Text/Image/Edge/Binding/View; gated when SwiftUI is unavailable
s:6TipKit0A0P5rulesSayAA4TipsO4RuleVGvp	deferred		Requires real SwiftUI.Text/Image/Edge/Binding/View; gated when SwiftUI is unavailable
s:6TipKit0A0P5title7SwiftUI4TextVvp	deferred		Requires real SwiftUI.Text/Image/Edge/Binding/View; gated when SwiftUI is unavailable
s:6TipKit0A0P7actionsSayAA4TipsO6ActionVGvp	deferred		Requires real SwiftUI.Text/Image/Edge/Binding/View; gated when SwiftUI is unavailable
s:6TipKit0A0P7message7SwiftUI4TextVSgvp	deferred		Requires real SwiftUI.Text/Image/Edge/Binding/View; gated when SwiftUI is unavailable
s:6TipKit0A0P7optionsSayAA0A6Option_pGvp	deferred		Requires real SwiftUI.Text/Image/Edge/Binding/View; gated when SwiftUI is unavailable
s:6TipKit0A0PAAE10invalidate6reasonyAA4TipsO18InvalidationReasonO_tF	deferred		Requires real SwiftUI.Text/Image/Edge/Binding/View; gated when SwiftUI is unavailable
s:6TipKit0A0PAAE10invalidate6reasonyAA4TipsO18InvalidationReasonO_tF::SYNTHESIZED::s:6TipKit03AnyA0V	deferred		Requires real SwiftUI.Text/Image/Edge/Binding/View; gated when SwiftUI is unavailable
s:6TipKit0A0PAAE13shouldDisplaySbvp	deferred		Requires real SwiftUI.Text/Image/Edge/Binding/View; gated when SwiftUI is unavailable
