precise	status	evidence	notes
s:10Foundation14LocalizedErrorPAAE10helpAnchorSSSgvp::SYNTHESIZED::s:11Translation0A5ErrorV	implemented	tests/agent/TranslationRuntime.swift	typed fail-closed TranslationError surface
s:10Foundation14LocalizedErrorPAAE18recoverySuggestionSSSgvp::SYNTHESIZED::s:11Translation0A5ErrorV	implemented	tests/agent/TranslationRuntime.swift	typed fail-closed TranslationError surface
s:11Translation0A5ErrorV	implemented	tests/agent/TranslationRuntime.swift	typed fail-closed TranslationError surface
s:11Translation0A5ErrorV08internalB0ACvpZ	implemented	tests/agent/TranslationRuntime.swift	typed fail-closed TranslationError surface
s:11Translation0A5ErrorV12notInstalledACvpZ	implemented	tests/agent/TranslationRuntime.swift	typed fail-closed TranslationError surface
s:11Translation0A5ErrorV13failureReasonSSSgvp	implemented	tests/agent/TranslationRuntime.swift	typed fail-closed TranslationError surface
s:11Translation0A5ErrorV16alreadyCancelledACvpZ	implemented	tests/agent/TranslationRuntime.swift	typed fail-closed TranslationError surface
s:11Translation0A5ErrorV16errorDescriptionSSSgvp	implemented	tests/agent/TranslationRuntime.swift	typed fail-closed TranslationError surface
s:11Translation0A5ErrorV18nothingToTranslateACvpZ	implemented	tests/agent/TranslationRuntime.swift	typed fail-closed TranslationError surface
s:11Translation0A5ErrorV24unableToIdentifyLanguageACvpZ	implemented	tests/agent/TranslationRuntime.swift	typed fail-closed TranslationError surface
s:11Translation0A5ErrorV25unsupportedSourceLanguageACvpZ	implemented	tests/agent/TranslationRuntime.swift	typed fail-closed TranslationError surface
s:11Translation0A5ErrorV25unsupportedTargetLanguageACvpZ	implemented	tests/agent/TranslationRuntime.swift	typed fail-closed TranslationError surface
s:11Translation0A5ErrorV26unsupportedLanguagePairingACvpZ	implemented	tests/agent/TranslationRuntime.swift	typed fail-closed TranslationError surface
s:11Translation0A5ErrorV2teoiySbAC_s0B0_ptFZ	implemented	tests/agent/TranslationRuntime.swift	typed fail-closed TranslationError surface
s:11Translation0A7SessionC	implemented	tests/agent/TranslationRuntime.swift	session bookkeeping plus fail-closed translate/prepare/cancel
s:11Translation0A7SessionC07prepareA0yyYaKF	implemented	tests/agent/TranslationRuntime.swift	session bookkeeping plus fail-closed translate/prepare/cancel
s:11Translation0A7SessionC12translations4fromSayAC8ResponseVGSayAC7RequestVG_tYaKF	implemented	tests/agent/TranslationRuntime.swift	session bookkeeping plus fail-closed translate/prepare/cancel
s:11Translation0A7SessionC13BatchResponseV	implemented	tests/agent/TranslationRuntime.swift	BatchResponse fail-closes on first next() without yielding text
s:11Translation0A7SessionC13BatchResponseV13AsyncIteratorV	implemented	tests/agent/TranslationRuntime.swift	BatchResponse fail-closes on first next() without yielding text
s:11Translation0A7SessionC13BatchResponseV13AsyncIteratorV4nextAC0D0VSgyYaKF	implemented	tests/agent/TranslationRuntime.swift	BatchResponse fail-closes on first next() without yielding text
s:11Translation0A7SessionC13BatchResponseV13AsyncIteratorV7Elementa	implemented	tests/agent/TranslationRuntime.swift	BatchResponse fail-closes on first next() without yielding text
s:11Translation0A7SessionC13BatchResponseV17makeAsyncIteratorAE0fG0VyF	implemented	tests/agent/TranslationRuntime.swift	BatchResponse fail-closes on first next() without yielding text
s:11Translation0A7SessionC13BatchResponseV7Elementa	implemented	tests/agent/TranslationRuntime.swift	BatchResponse fail-closes on first next() without yielding text
s:11Translation0A7SessionC13ConfigurationV	implemented	tests/agent/TranslationRuntime.swift	session bookkeeping plus fail-closed translate/prepare/cancel
s:11Translation0A7SessionC13ConfigurationV10invalidateyyF	implemented	tests/agent/TranslationRuntime.swift	session bookkeeping plus fail-closed translate/prepare/cancel
