precise	kind	title	path	declaration
s:10Foundation14LocalizedErrorPAAE10helpAnchorSSSgvp::SYNTHESIZED::s:11Translation0A5ErrorV	swift.property	helpAnchor	TranslationError.helpAnchor	var helpAnchor: String? { get }
s:10Foundation14LocalizedErrorPAAE18recoverySuggestionSSSgvp::SYNTHESIZED::s:11Translation0A5ErrorV	swift.property	recoverySuggestion	TranslationError.recoverySuggestion	var recoverySuggestion: String? { get }
s:11Translation0A5ErrorV	swift.struct	TranslationError	TranslationError	struct TranslationError
s:11Translation0A5ErrorV08internalB0ACvpZ	swift.type.property	internalError	TranslationError.internalError	static let internalError: TranslationError
s:11Translation0A5ErrorV12notInstalledACvpZ	swift.type.property	notInstalled	TranslationError.notInstalled	static let notInstalled: TranslationError
s:11Translation0A5ErrorV13failureReasonSSSgvp	swift.property	failureReason	TranslationError.failureReason	var failureReason: String? { get }
s:11Translation0A5ErrorV16alreadyCancelledACvpZ	swift.type.property	alreadyCancelled	TranslationError.alreadyCancelled	static let alreadyCancelled: TranslationError
s:11Translation0A5ErrorV16errorDescriptionSSSgvp	swift.property	errorDescription	TranslationError.errorDescription	var errorDescription: String? { get }
s:11Translation0A5ErrorV18nothingToTranslateACvpZ	swift.type.property	nothingToTranslate	TranslationError.nothingToTranslate	static let nothingToTranslate: TranslationError
s:11Translation0A5ErrorV24unableToIdentifyLanguageACvpZ	swift.type.property	unableToIdentifyLanguage	TranslationError.unableToIdentifyLanguage	static let unableToIdentifyLanguage: TranslationError
s:11Translation0A5ErrorV25unsupportedSourceLanguageACvpZ	swift.type.property	unsupportedSourceLanguage	TranslationError.unsupportedSourceLanguage	static let unsupportedSourceLanguage: TranslationError
s:11Translation0A5ErrorV25unsupportedTargetLanguageACvpZ	swift.type.property	unsupportedTargetLanguage	TranslationError.unsupportedTargetLanguage	static let unsupportedTargetLanguage: TranslationError
s:11Translation0A5ErrorV26unsupportedLanguagePairingACvpZ	swift.type.property	unsupportedLanguagePairing	TranslationError.unsupportedLanguagePairing	static let unsupportedLanguagePairing: TranslationError
s:11Translation0A5ErrorV2teoiySbAC_s0B0_ptFZ	swift.func.op	~=(_:_:)	TranslationError.~=(_:_:)	static func ~= (match: TranslationError, error: any Error) -> Bool
s:11Translation0A7SessionC	swift.class	TranslationSession	TranslationSession	class TranslationSession
s:11Translation0A7SessionC07prepareA0yyYaKF	swift.method	prepareTranslation()	TranslationSession.prepareTranslation()	func prepareTranslation() async throws
s:11Translation0A7SessionC12translations4fromSayAC8ResponseVGSayAC7RequestVG_tYaKF	swift.method	translations(from:)	TranslationSession.translations(from:)	func translations(from batch: [TranslationSession.Request]) async throws -> [TranslationSession.Response]
s:11Translation0A7SessionC13BatchResponseV	swift.struct	TranslationSession.BatchResponse	TranslationSession.BatchResponse	struct BatchResponse
s:11Translation0A7SessionC13BatchResponseV13AsyncIteratorV	swift.struct	TranslationSession.BatchResponse.AsyncIterator	TranslationSession.BatchResponse.AsyncIterator	struct AsyncIterator
s:11Translation0A7SessionC13BatchResponseV13AsyncIteratorV4nextAC0D0VSgyYaKF	swift.method	next()	TranslationSession.BatchResponse.AsyncIterator.next()	mutating func next() async throws -> TranslationSession.BatchResponse.Element?
s:11Translation0A7SessionC13BatchResponseV13AsyncIteratorV7Elementa	swift.typealias	TranslationSession.BatchResponse.AsyncIterator.Element	TranslationSession.BatchResponse.AsyncIterator.Element	typealias Element = TranslationSession.BatchResponse.Element
s:11Translation0A7SessionC13BatchResponseV17makeAsyncIteratorAE0fG0VyF	swift.method	makeAsyncIterator()	TranslationSession.BatchResponse.makeAsyncIterator()	func makeAsyncIterator() -> TranslationSession.BatchResponse.AsyncIterator
s:11Translation0A7SessionC13BatchResponseV7Elementa	swift.typealias	TranslationSession.BatchResponse.Element	TranslationSession.BatchResponse.Element	typealias Element = TranslationSession.Response
s:11Translation0A7SessionC13ConfigurationV	swift.struct	TranslationSession.Configuration	TranslationSession.Configuration	struct Configuration
s:11Translation0A7SessionC13ConfigurationV10invalidateyyF	swift.method	invalidate()	TranslationSession.Configuration.invalidate()	mutating func invalidate()
s:11Translation0A7SessionC13ConfigurationV2eeoiySbAE_AEtFZ	swift.func.op	==(_:_:)	TranslationSession.Configuration.==(_:_:)	static func == (lhs: TranslationSession.Configuration, rhs: TranslationSession.Configuration) -> Bool
s:11Translation0A7SessionC13ConfigurationV6source10Foundation6LocaleV8LanguageVSgvp	swift.property	source	TranslationSession.Configuration.source	var source: Locale.Language?
s:11Translation0A7SessionC13ConfigurationV6source6targetAE10Foundation6LocaleV8LanguageVSg_AMtcfc	swift.init	init(source:target:)	TranslationSession.Configuration.init(source:target:)	init(source: Locale.Language? = nil, target: Locale.Language? = nil)
s:11Translation0A7SessionC13ConfigurationV6target10Foundation6LocaleV8LanguageVSgvp	swift.property	target	TranslationSession.Configuration.target	var target: Locale.Language?
s:11Translation0A7SessionC13ConfigurationV7versionSivp	swift.property	version	TranslationSession.Configuration.version	var version: Int { get }
s:11Translation0A7SessionC14sourceLanguage10Foundation6LocaleV0D0VSgvp	swift.property	sourceLanguage	TranslationSession.sourceLanguage	final let sourceLanguage: Locale.Language?
s:11Translation0A7SessionC14targetLanguage10Foundation6LocaleV0D0VSgvp	swift.property	targetLanguage	TranslationSession.targetLanguage	final let targetLanguage: Locale.Language?
s:11Translation0A7SessionC15installedSource6targetAC10Foundation6LocaleV8LanguageV_AJSgtcfc	swift.init	init(installedSource:target:)	TranslationSession.init(installedSource:target:)	convenience init(installedSource source: Locale.Language, target: Locale.Language?)
s:11Translation0A7SessionC19canRequestDownloadsSbvp	swift.property	canRequestDownloads	TranslationSession.canRequestDownloads	var canRequestDownloads: Bool { get }
s:11Translation0A7SessionC6cancelyyF	swift.method	cancel()	TranslationSession.cancel()	func cancel()
s:11Translation0A7SessionC7RequestV	swift.struct	TranslationSession.Request	TranslationSession.Request	struct Request
s:11Translation0A7SessionC7RequestV10sourceText16clientIdentifierAESS_SSSgtcfc	swift.init	init(sourceText:clientIdentifier:)	TranslationSession.Request.init(sourceText:clientIdentifier:)	init(sourceText: String, clientIdentifier: String? = nil)
s:11Translation0A7SessionC7RequestV10sourceTextSSvp	swift.property	sourceText	TranslationSession.Request.sourceText	var sourceText: String
s:11Translation0A7SessionC7RequestV16clientIdentifierSSSgvp	swift.property	clientIdentifier	TranslationSession.Request.clientIdentifier	var clientIdentifier: String?
s:11Translation0A7SessionC7isReadySbvp	swift.property	isReady	TranslationSession.isReady	var isReady: Bool { get async }
s:11Translation0A7SessionC8ResponseV	swift.struct	TranslationSession.Response	TranslationSession.Response	struct Response
