precise	graphKind	graphPath	status	basis	rawCandidateCount	compatibleCandidateCount	selectedNodePath	candidateNodePaths
s:21TranslationUIProvider0A32ProviderUIExtensionConfigurationV	swift.struct	["TranslationProviderUIExtensionConfiguration"]	exact-usr	exact-usr	1	1	/ABIRoot/children/17	["/ABIRoot/children/17"]
s:21TranslationUIProvider0A32ProviderUIExtensionConfigurationVyAcA0aB9Extension_pcfc	swift.init	["TranslationProviderUIExtensionConfiguration","init(_:)"]	exact-usr	exact-usr	1	1	/ABIRoot/children/17/children/0	["/ABIRoot/children/17/children/0"]
s:21TranslationUIProvider0aB14ExtensionSceneP	swift.protocol	["TranslationUIProviderExtensionScene"]	exact-usr	exact-usr	1	1	/ABIRoot/children/13	["/ABIRoot/children/13"]
s:21TranslationUIProvider0aB17SelectedTextSceneV	swift.struct	["TranslationUIProviderSelectedTextScene"]	exact-usr	exact-usr	1	1	/ABIRoot/children/14	["/ABIRoot/children/14"]
s:21TranslationUIProvider0aB17SelectedTextSceneV4Bodya	swift.typealias	["TranslationUIProviderSelectedTextScene","Body"]	exact-usr	exact-usr	1	1	/ABIRoot/children/14/children/2	["/ABIRoot/children/14/children/2"]
s:21TranslationUIProvider0aB17SelectedTextSceneV4bodyQrvp	swift.property	["TranslationUIProviderSelectedTextScene","body"]	exact-usr	exact-usr	1	1	/ABIRoot/children/14/children/1	["/ABIRoot/children/14/children/1"]
s:21TranslationUIProvider0aB17SelectedTextSceneV7contentACyxGxAA0aB7Context_pc_tcfc	swift.init	["TranslationUIProviderSelectedTextScene","init(content:)"]	exact-usr	exact-usr	1	1	/ABIRoot/children/14/children/0	["/ABIRoot/children/14/children/0"]
s:21TranslationUIProvider0aB7ContextP	swift.protocol	["TranslationUIProviderContext"]	exact-usr	exact-usr	1	1	/ABIRoot/children/15	["/ABIRoot/children/15"]
s:21TranslationUIProvider0aB7ContextP11expandSheetyyF	swift.method	["TranslationUIProviderContext","expandSheet()"]	exact-usr	exact-usr	1	1	/ABIRoot/children/15/children/3	["/ABIRoot/children/15/children/3"]
s:21TranslationUIProvider0aB7ContextP17allowsReplacementSbvp	swift.property	["TranslationUIProviderContext","allowsReplacement"]	exact-usr	exact-usr	1	1	/ABIRoot/children/15/children/1	["/ABIRoot/children/15/children/1"]
s:21TranslationUIProvider0aB7ContextP6finish11translationy10Foundation16AttributedStringVSg_tF	swift.method	["TranslationUIProviderContext","finish(translation:)"]	exact-usr	exact-usr	1	1	/ABIRoot/children/15/children/2	["/ABIRoot/children/15/children/2"]
s:21TranslationUIProvider0aB7ContextP9inputText10Foundation16AttributedStringVSgvp	swift.property	["TranslationUIProviderContext","inputText"]	exact-usr	exact-usr	1	1	/ABIRoot/children/15/children/0	["/ABIRoot/children/15/children/0"]
s:21TranslationUIProvider0aB9ExtensionP	swift.protocol	["TranslationUIProviderExtension"]	exact-usr	exact-usr	1	1	/ABIRoot/children/16	["/ABIRoot/children/16"]
s:21TranslationUIProvider0aB9ExtensionP4BodyQa	swift.associatedtype	["TranslationUIProviderExtension","Body"]	exact-usr	exact-usr	1	1	/ABIRoot/children/16/children/0	["/ABIRoot/children/16/children/0"]
s:21TranslationUIProvider0aB9ExtensionP4body4BodyQzvp	swift.property	["TranslationUIProviderExtension","body"]	exact-usr	exact-usr	1	1	/ABIRoot/children/16/children/1	["/ABIRoot/children/16/children/1"]
s:21TranslationUIProvider0aB9ExtensionPAAE13configuration0C3Kit03AppC18SceneConfigurationVvp	swift.property	["TranslationUIProviderExtension","configuration"]	exact-usr	exact-usr	1	1	/ABIRoot/children/16/children/2	["/ABIRoot/children/16/children/2"]
