precise	status	evidence	notes
c:objc(cs)NSItemProvider(im)registeredContentTypesConformingToContentType:	deferred		NSItemProvider and NSItemProviderRepresentationVisibility are not part of isolated Linux Foundation; a public framework-local substitute is forbidden.
c:objc(cs)NSItemProvider(py)registeredContentTypes	deferred		NSItemProvider and NSItemProviderRepresentationVisibility are not part of isolated Linux Foundation; a public framework-local substitute is forbidden.
c:objc(cs)NSItemProvider(py)registeredContentTypesForOpenInPlace	deferred		NSItemProvider and NSItemProviderRepresentationVisibility are not part of isolated Linux Foundation; a public framework-local substitute is forbidden.
c:objc(cs)NSString(im)stringByAppendingPathComponent:conformingToType:	implemented	test:full/uniformtypeidentifiers/tests/agent/UniformTypeIdentifiersTests.swift#testNSStringAdditions	-
c:objc(cs)NSString(im)stringByAppendingPathExtensionForType:	implemented	test:full/uniformtypeidentifiers/tests/agent/UniformTypeIdentifiersTests.swift#testNSStringAdditions	-
c:objc(cs)NSURL(im)URLByAppendingPathComponent:conformingToType:	implemented	test:full/uniformtypeidentifiers/tests/agent/UniformTypeIdentifiersTests.swift#testNSURLAdditions	-
c:objc(cs)NSURL(im)URLByAppendingPathExtensionForType:	implemented	test:full/uniformtypeidentifiers/tests/agent/UniformTypeIdentifiersTests.swift#testNSURLAdditions	-
c:objc(cs)UTType	implemented	test:full/uniformtypeidentifiers/tests/agent/UniformTypeIdentifiersTests.swift#testUTTypeReference	-
c:objc(cs)UTType(cm)exportedTypeWithIdentifier:	implemented	test:full/uniformtypeidentifiers/tests/agent/UniformTypeIdentifiersTests.swift#testUTTypeReference	-
c:objc(cs)UTType(cm)exportedTypeWithIdentifier:conformingToType:	implemented	test:full/uniformtypeidentifiers/tests/agent/UniformTypeIdentifiersTests.swift#testUTTypeReference	-
c:objc(cs)UTType(cm)importedTypeWithIdentifier:	implemented	test:full/uniformtypeidentifiers/tests/agent/UniformTypeIdentifiersTests.swift#testUTTypeReference	-
c:objc(cs)UTType(cm)importedTypeWithIdentifier:conformingToType:	implemented	test:full/uniformtypeidentifiers/tests/agent/UniformTypeIdentifiersTests.swift#testUTTypeReference	-
c:objc(cs)UTType(cm)typeWithFilenameExtension:	implemented	test:full/uniformtypeidentifiers/tests/agent/UniformTypeIdentifiersTests.swift#testUTTypeReference	-
