precise	kind	title	path	declaration
c:@E@UNAlertStyle	swift.enum	UNAlertStyle	UNAlertStyle	enum UNAlertStyle
c:@E@UNAlertStyle@UNAlertStyleAlert	swift.enum.case	UNAlertStyle.alert	UNAlertStyle.alert	case alert
c:@E@UNAlertStyle@UNAlertStyleBanner	swift.enum.case	UNAlertStyle.banner	UNAlertStyle.banner	case banner
c:@E@UNAlertStyle@UNAlertStyleNone	swift.enum.case	UNAlertStyle.none	UNAlertStyle.none	case none
c:@E@UNAuthorizationOptions	swift.struct	UNAuthorizationOptions	UNAuthorizationOptions	struct UNAuthorizationOptions
c:@E@UNAuthorizationOptions@UNAuthorizationOptionAlert	swift.type.property	alert	UNAuthorizationOptions.alert	static var alert: UNAuthorizationOptions { get }
c:@E@UNAuthorizationOptions@UNAuthorizationOptionAnnouncement	swift.type.property	announcement	UNAuthorizationOptions.announcement	static var announcement: UNAuthorizationOptions { get }
c:@E@UNAuthorizationOptions@UNAuthorizationOptionBadge	swift.type.property	badge	UNAuthorizationOptions.badge	static var badge: UNAuthorizationOptions { get }
c:@E@UNAuthorizationOptions@UNAuthorizationOptionCarPlay	swift.type.property	carPlay	UNAuthorizationOptions.carPlay	static var carPlay: UNAuthorizationOptions { get }
c:@E@UNAuthorizationOptions@UNAuthorizationOptionCriticalAlert	swift.type.property	criticalAlert	UNAuthorizationOptions.criticalAlert	static var criticalAlert: UNAuthorizationOptions { get }
c:@E@UNAuthorizationOptions@UNAuthorizationOptionProvidesAppNotificationSettings	swift.type.property	providesAppNotificationSettings	UNAuthorizationOptions.providesAppNotificationSettings	static var providesAppNotificationSettings: UNAuthorizationOptions { get }
c:@E@UNAuthorizationOptions@UNAuthorizationOptionProvisional	swift.type.property	provisional	UNAuthorizationOptions.provisional	static var provisional: UNAuthorizationOptions { get }
c:@E@UNAuthorizationOptions@UNAuthorizationOptionSound	swift.type.property	sound	UNAuthorizationOptions.sound	static var sound: UNAuthorizationOptions { get }
c:@E@UNAuthorizationOptions@UNAuthorizationOptionTimeSensitive	swift.type.property	timeSensitive	UNAuthorizationOptions.timeSensitive	static var timeSensitive: UNAuthorizationOptions { get }
c:@E@UNAuthorizationStatus	swift.enum	UNAuthorizationStatus	UNAuthorizationStatus	enum UNAuthorizationStatus
