precise	status	evidence	notes
c:@E@UNNotificationContentExtensionMediaPlayPauseButtonType	implemented	tests/agent/UserNotificationsUIRuntime.swift	UInt NS_ENUM none=0 default=1 overlay=2
c:@E@UNNotificationContentExtensionMediaPlayPauseButtonType@UNNotificationContentExtensionMediaPlayPauseButtonTypeDefault	implemented	tests/agent/UserNotificationsUIRuntime.swift	case default rawValue 1
c:@E@UNNotificationContentExtensionMediaPlayPauseButtonType@UNNotificationContentExtensionMediaPlayPauseButtonTypeNone	implemented	tests/agent/UserNotificationsUIRuntime.swift	case none rawValue 0
c:@E@UNNotificationContentExtensionMediaPlayPauseButtonType@UNNotificationContentExtensionMediaPlayPauseButtonTypeOverlay	implemented	tests/agent/UserNotificationsUIRuntime.swift	case overlay rawValue 2
c:@E@UNNotificationContentExtensionResponseOption	implemented	tests/agent/UserNotificationsUIRuntime.swift	UInt NS_ENUM doNotDismiss=0 dismiss=1 dismissAndForwardAction=2
c:@E@UNNotificationContentExtensionResponseOption@UNNotificationContentExtensionResponseOptionDismiss	implemented	tests/agent/UserNotificationsUIRuntime.swift	case dismiss rawValue 1
c:@E@UNNotificationContentExtensionResponseOption@UNNotificationContentExtensionResponseOptionDismissAndForwardAction	implemented	tests/agent/UserNotificationsUIRuntime.swift	case dismissAndForwardAction rawValue 2
c:@E@UNNotificationContentExtensionResponseOption@UNNotificationContentExtensionResponseOptionDoNotDismiss	implemented	tests/agent/UserNotificationsUIRuntime.swift	case doNotDismiss rawValue 0
c:objc(cs)NSExtensionContext(im)dismissNotificationContentExtension	deferred	module	BLOCKER: platform Foundation lacks NSExtensionContext; unit-fixture lookalike is not that identity
c:objc(cs)NSExtensionContext(im)mediaPlayingPaused	deferred	module	BLOCKER: platform Foundation lacks NSExtensionContext; unit-fixture lookalike is not that identity
c:objc(cs)NSExtensionContext(im)mediaPlayingStarted	deferred	module	BLOCKER: platform Foundation lacks NSExtensionContext; unit-fixture lookalike is not that identity
c:objc(cs)NSExtensionContext(im)performNotificationDefaultAction	deferred	module	BLOCKER: platform Foundation lacks NSExtensionContext; unit-fixture lookalike is not that identity
c:objc(cs)NSExtensionContext(py)notificationActions	deferred	module	BLOCKER: platform Foundation lacks NSExtensionContext; unit-fixture lookalike is not that identity
c:objc(pl)UNNotificationContentExtension	implemented	tests/agent/UserNotificationsUIExistentialDispatch.swift	Existential conformance; optional members are requirements with defaults
c:objc(pl)UNNotificationContentExtension(im)didReceiveNotification:	implemented	tests/agent/UserNotificationsUIExistentialDispatch.swift	Existential didReceive with repo UserNotifications.UNNotification
c:objc(pl)UNNotificationContentExtension(im)didReceiveNotificationResponse:completionHandler:	implemented	tests/agent/UserNotificationsUIExistentialDispatch.swift	Existential async and completion-handler overrides
c:objc(pl)UNNotificationContentExtension(im)mediaPause	implemented	tests/agent/UserNotificationsUIExistentialDispatch.swift	Existential dispatch of override; static dispatch would leave count 0
c:objc(pl)UNNotificationContentExtension(im)mediaPlay	implemented	tests/agent/UserNotificationsUIExistentialDispatch.swift	Existential dispatch of override; static dispatch would leave count 0
c:objc(pl)UNNotificationContentExtension(py)mediaPlayPauseButtonFrame	implemented	tests/agent/UserNotificationsUIExistentialDispatch.swift	Existential reads overlay frame; default is CGRect.zero
c:objc(pl)UNNotificationContentExtension(py)mediaPlayPauseButtonTintColor	declared	UserNotificationsUI.swift	Protocol requirement; UIKit.UIColor identity needs platform UIKit, not unit-fixture UIColor
c:objc(pl)UNNotificationContentExtension(py)mediaPlayPauseButtonType	implemented	tests/agent/UserNotificationsUIExistentialDispatch.swift	Existential reads overlay; default is none
s:SQsE2neoiySbx_xtFZ::SYNTHESIZED::c:@E@UNNotificationContentExtensionMediaPlayPauseButtonType	implemented	tests/agent/UserNotificationsUIRuntime.swift	Synthesized Equatable != on button type
s:SQsE2neoiySbx_xtFZ::SYNTHESIZED::c:@E@UNNotificationContentExtensionResponseOption	implemented	tests/agent/UserNotificationsUIRuntime.swift	Synthesized Equatable != on response option
s:SYsSHRzSH8RawValueSYRpzrlE04hashB0Sivp::SYNTHESIZED::c:@E@UNNotificationContentExtensionMediaPlayPauseButtonType	implemented	tests/agent/UserNotificationsUIRuntime.swift	Synthesized Hashable hashValue on button type
s:SYsSHRzSH8RawValueSYRpzrlE04hashB0Sivp::SYNTHESIZED::c:@E@UNNotificationContentExtensionResponseOption	implemented	tests/agent/UserNotificationsUIRuntime.swift	Synthesized Hashable hashValue on response option
s:SYsSHRzSH8RawValueSYRpzrlE4hash4intoys6HasherVz_tF::SYNTHESIZED::c:@E@UNNotificationContentExtensionMediaPlayPauseButtonType	implemented	tests/agent/UserNotificationsUIRuntime.swift	Synthesized hash(into:) on button type
s:SYsSHRzSH8RawValueSYRpzrlE4hash4intoys6HasherVz_tF::SYNTHESIZED::c:@E@UNNotificationContentExtensionResponseOption	implemented	tests/agent/UserNotificationsUIRuntime.swift	Synthesized hash(into:) on response option
s:So44UNNotificationContentExtensionResponseOptionV8rawValueABSgSu_tcfc	implemented	tests/agent/UserNotificationsUIRuntime.swift	init?(rawValue:) accepts 0...2 and rejects 7
s:So54UNNotificationContentExtensionMediaPlayPauseButtonTypeV8rawValueABSgSu_tcfc	implemented	tests/agent/UserNotificationsUIRuntime.swift	init?(rawValue:) accepts 0...2 and rejects 99
