precise	status	evidence	notes
c:@F@VTCompressionSessionBeginPass	implemented	test:full/videotoolbox/tests/agent/VideoToolboxCompressionTests.swift#testCompressionSessionFailClosed	H.264/HEVC/JPEG create fail-closed; nil-session encode/pass APIs.
c:@F@VTCompressionSessionCompleteFrames	implemented	test:full/videotoolbox/tests/agent/VideoToolboxCompressionTests.swift#testCompressionSessionFailClosed	H.264/HEVC/JPEG create fail-closed; nil-session encode/pass APIs.
c:@F@VTCompressionSessionCreate	implemented	test:full/videotoolbox/tests/agent/VideoToolboxCompressionTests.swift#testCompressionSessionFailClosed	H.264/HEVC/JPEG create fail-closed; nil-session encode/pass APIs.
c:@F@VTCompressionSessionEncodeFrame	implemented	test:full/videotoolbox/tests/agent/VideoToolboxCompressionTests.swift#testCompressionSessionFailClosed	H.264/HEVC/JPEG create fail-closed; nil-session encode/pass APIs.
c:@F@VTCompressionSessionEncodeMultiImageFrame	implemented	test:full/videotoolbox/tests/agent/VideoToolboxCompressionTests.swift#testCompressionSessionFailClosed	H.264/HEVC/JPEG create fail-closed; nil-session encode/pass APIs.
c:@F@VTCompressionSessionEncodeMultiImageFrameWithOutputHandler	implemented	test:full/videotoolbox/tests/agent/VideoToolboxCompressionTests.swift#testCompressionSessionFailClosed	H.264/HEVC/JPEG create fail-closed; nil-session encode/pass APIs.
c:@F@VTCompressionSessionEndPass	implemented	test:full/videotoolbox/tests/agent/VideoToolboxCompressionTests.swift#testCompressionSessionFailClosed	H.264/HEVC/JPEG create fail-closed; nil-session encode/pass APIs.
c:@F@VTCompressionSessionGetPixelBufferPool	implemented	test:full/videotoolbox/tests/agent/VideoToolboxCompressionTests.swift#testCompressionSessionFailClosed	H.264/HEVC/JPEG create fail-closed; nil-session encode/pass APIs.
c:@F@VTCompressionSessionGetTimeRangesForNextPass	implemented	test:full/videotoolbox/tests/agent/VideoToolboxCompressionTests.swift#testCompressionSessionFailClosed	H.264/HEVC/JPEG create fail-closed; nil-session encode/pass APIs.
c:@F@VTCompressionSessionInvalidate	implemented	test:full/videotoolbox/tests/agent/VideoToolboxCompressionTests.swift#testCompressionSessionFailClosed	H.264/HEVC/JPEG create fail-closed; nil-session encode/pass APIs.
c:@F@VTCompressionSessionPrepareToEncodeFrames	implemented	test:full/videotoolbox/tests/agent/VideoToolboxCompressionTests.swift#testCompressionSessionFailClosed	H.264/HEVC/JPEG create fail-closed; nil-session encode/pass APIs.
c:@F@VTCopyRAWProcessorExtensionProperties	implemented	test:full/videotoolbox/tests/agent/VideoToolboxFailClosedTests.swift#testExtensionPropertyQueries	Media extension property queries fail closed.
c:@F@VTCopySupportedPropertyDictionaryForEncoder	implemented	test:full/videotoolbox/tests/agent/VideoToolboxFailClosedTests.swift#testHardwareAndEncoderDiscovery	Hardware decode always false; encoder list empty on this host.
c:@F@VTCopyVideoDecoderExtensionProperties	implemented	test:full/videotoolbox/tests/agent/VideoToolboxFailClosedTests.swift#testExtensionPropertyQueries	Media extension property queries fail closed.
c:@F@VTCopyVideoEncoderList	implemented	test:full/videotoolbox/tests/agent/VideoToolboxFailClosedTests.swift#testHardwareAndEncoderDiscovery	Hardware decode always false; encoder list empty on this host.
c:@F@VTCreateCGImageFromCVPixelBuffer	implemented	test:full/videotoolbox/tests/agent/VideoToolboxCGImageTests.swift#testCreateCGImageFromPixelBuffer	Host RGBA image copy from a pixel buffer.
c:@F@VTDecompressionSessionCanAcceptFormatDescription	implemented	test:full/videotoolbox/tests/agent/VideoToolboxDecompressionTests.swift#testUncompressedPassthroughDecoder	Uncompressed 32BGRA passthrough decode, PTS/duration, async wait, black buffer.
