precise	kind	title	path	declaration
c:@E@VNBarcodeCompositeType	swift.enum	VNBarcodeCompositeType	VNBarcodeCompositeType	@frozen enum VNBarcodeCompositeType
c:@E@VNBarcodeCompositeType@VNBarcodeCompositeTypeGS1TypeA	swift.enum.case	VNBarcodeCompositeType.gs1TypeA	VNBarcodeCompositeType.gs1TypeA	case gs1TypeA
c:@E@VNBarcodeCompositeType@VNBarcodeCompositeTypeGS1TypeB	swift.enum.case	VNBarcodeCompositeType.gs1TypeB	VNBarcodeCompositeType.gs1TypeB	case gs1TypeB
c:@E@VNBarcodeCompositeType@VNBarcodeCompositeTypeGS1TypeC	swift.enum.case	VNBarcodeCompositeType.gs1TypeC	VNBarcodeCompositeType.gs1TypeC	case gs1TypeC
c:@E@VNBarcodeCompositeType@VNBarcodeCompositeTypeLinked	swift.enum.case	VNBarcodeCompositeType.linked	VNBarcodeCompositeType.linked	case linked
c:@E@VNBarcodeCompositeType@VNBarcodeCompositeTypeNone	swift.enum.case	VNBarcodeCompositeType.none	VNBarcodeCompositeType.none	case none
c:@E@VNChirality	swift.enum	VNChirality	VNChirality	@frozen enum VNChirality
c:@E@VNChirality@VNChiralityLeft	swift.enum.case	VNChirality.left	VNChirality.left	case left
c:@E@VNChirality@VNChiralityRight	swift.enum.case	VNChirality.right	VNChirality.right	case right
c:@E@VNChirality@VNChiralityUnknown	swift.enum.case	VNChirality.unknown	VNChirality.unknown	case unknown
c:@E@VNElementType	swift.enum	VNElementType	VNElementType	enum VNElementType
c:@E@VNElementType@VNElementTypeDouble	swift.enum.case	VNElementType.double	VNElementType.double	case double
c:@E@VNElementType@VNElementTypeFloat	swift.enum.case	VNElementType.float	VNElementType.float	case float
c:@E@VNElementType@VNElementTypeUnknown	swift.enum.case	VNElementType.unknown	VNElementType.unknown	case unknown
c:@E@VNErrorCode	swift.enum	VNErrorCode	VNErrorCode	enum VNErrorCode
c:@E@VNErrorCode@VNErrorDataUnavailable	swift.enum.case	VNErrorCode.dataUnavailable	VNErrorCode.dataUnavailable	case dataUnavailable
c:@E@VNErrorCode@VNErrorIOError	swift.enum.case	VNErrorCode.ioError	VNErrorCode.ioError	case ioError
