precise	status	evidence	notes
c:@M@VisionKit@objc(cs)DataScannerViewController	implemented	tests/agent/VisionKitRuntime.swift	Exercised by the agent runtime against the Linux fail-closed surface.
c:@M@VisionKit@objc(cs)DataScannerViewController(im)loadView	implemented	tests/agent/VisionKitRuntime.swift	Exercised by the agent runtime against the Linux fail-closed surface.
c:@M@VisionKit@objc(cs)DataScannerViewController(im)removeFromParentViewController	implemented	tests/agent/VisionKitRuntime.swift	Exercised by the agent runtime against the Linux fail-closed surface.
c:@M@VisionKit@objc(cs)DataScannerViewController(im)viewDidDisappear:	implemented	tests/agent/VisionKitRuntime.swift	Exercised by the agent runtime against the Linux fail-closed surface.
c:@M@VisionKit@objc(cs)DataScannerViewController(im)viewDidLoad	implemented	tests/agent/VisionKitRuntime.swift	Exercised by the agent runtime against the Linux fail-closed surface.
c:@M@VisionKit@objc(cs)DataScannerViewController(im)viewWillAppear:	implemented	tests/agent/VisionKitRuntime.swift	Exercised by the agent runtime against the Linux fail-closed surface.
c:@M@VisionKit@objc(cs)ImageAnalysisInteraction	implemented	tests/agent/VisionKitRuntime.swift	Exercised by the agent runtime against the Linux fail-closed surface.
c:@M@VisionKit@objc(cs)ImageAnalysisInteraction(im)didMoveToView:	implemented	tests/agent/VisionKitRuntime.swift	Exercised by the agent runtime against the Linux fail-closed surface.
c:@M@VisionKit@objc(cs)ImageAnalysisInteraction(im)init	implemented	tests/agent/VisionKitRuntime.swift	Exercised by the agent runtime against the Linux fail-closed surface.
c:@M@VisionKit@objc(cs)ImageAnalysisInteraction(im)willMoveToView:	implemented	tests/agent/VisionKitRuntime.swift	Exercised by the agent runtime against the Linux fail-closed surface.
c:@M@VisionKit@objc(cs)ImageAnalysisInteraction(py)view	implemented	tests/agent/VisionKitRuntime.swift	Exercised by the agent runtime against the Linux fail-closed surface.
c:objc(cs)VNDocumentCameraScan	implemented	tests/agent/VisionKitRuntime.swift	Exercised by the agent runtime against the Linux fail-closed surface.
c:objc(cs)VNDocumentCameraScan(im)imageOfPageAtIndex:	implemented	tests/agent/VisionKitRuntime.swift	Exercised by the agent runtime against the Linux fail-closed surface.
