precise	status	evidence	notes
c:@E@WCErrorCode	implemented	tests/agent/WatchConnectivityRuntime.swift	exercised by tests/agent/WatchConnectivityRuntime.swift
c:@E@WCErrorCode@WCErrorCodeCompanionAppNotInstalled	implemented	tests/agent/WatchConnectivityRuntime.swift	exercised by tests/agent/WatchConnectivityRuntime.swift
c:@E@WCErrorCode@WCErrorCodeDeliveryFailed	implemented	tests/agent/WatchConnectivityRuntime.swift	exercised by tests/agent/WatchConnectivityRuntime.swift
c:@E@WCErrorCode@WCErrorCodeDeviceNotPaired	implemented	tests/agent/WatchConnectivityRuntime.swift	exercised by tests/agent/WatchConnectivityRuntime.swift
c:@E@WCErrorCode@WCErrorCodeFileAccessDenied	implemented	tests/agent/WatchConnectivityRuntime.swift	exercised by tests/agent/WatchConnectivityRuntime.swift
c:@E@WCErrorCode@WCErrorCodeGenericError	implemented	tests/agent/WatchConnectivityRuntime.swift	exercised by tests/agent/WatchConnectivityRuntime.swift
c:@E@WCErrorCode@WCErrorCodeInsufficientSpace	implemented	tests/agent/WatchConnectivityRuntime.swift	exercised by tests/agent/WatchConnectivityRuntime.swift
c:@E@WCErrorCode@WCErrorCodeInvalidParameter	implemented	tests/agent/WatchConnectivityRuntime.swift	exercised by tests/agent/WatchConnectivityRuntime.swift
c:@E@WCErrorCode@WCErrorCodeMessageReplyFailed	implemented	tests/agent/WatchConnectivityRuntime.swift	exercised by tests/agent/WatchConnectivityRuntime.swift
c:@E@WCErrorCode@WCErrorCodeMessageReplyTimedOut	implemented	tests/agent/WatchConnectivityRuntime.swift	exercised by tests/agent/WatchConnectivityRuntime.swift
c:@E@WCErrorCode@WCErrorCodeNotReachable	implemented	tests/agent/WatchConnectivityRuntime.swift	exercised by tests/agent/WatchConnectivityRuntime.swift
c:@E@WCErrorCode@WCErrorCodePayloadTooLarge	implemented	tests/agent/WatchConnectivityRuntime.swift	exercised by tests/agent/WatchConnectivityRuntime.swift
c:@E@WCErrorCode@WCErrorCodePayloadUnsupportedTypes	implemented	tests/agent/WatchConnectivityRuntime.swift	exercised by tests/agent/WatchConnectivityRuntime.swift
c:@E@WCErrorCode@WCErrorCodeSessionInactive	implemented	tests/agent/WatchConnectivityRuntime.swift	exercised by tests/agent/WatchConnectivityRuntime.swift
c:@E@WCErrorCode@WCErrorCodeSessionMissingDelegate	implemented	tests/agent/WatchConnectivityRuntime.swift	exercised by tests/agent/WatchConnectivityRuntime.swift
c:@E@WCErrorCode@WCErrorCodeSessionNotActivated	implemented	tests/agent/WatchConnectivityRuntime.swift	exercised by tests/agent/WatchConnectivityRuntime.swift
c:@E@WCErrorCode@WCErrorCodeSessionNotSupported	implemented	tests/agent/WatchConnectivityRuntime.swift	exercised by tests/agent/WatchConnectivityRuntime.swift
c:@E@WCErrorCode@WCErrorCodeTransferTimedOut	implemented	tests/agent/WatchConnectivityRuntime.swift	exercised by tests/agent/WatchConnectivityRuntime.swift
