precise	graphKind	graphPath	status	basis	rawCandidateCount	compatibleCandidateCount	selectedNodePath	candidateNodePaths
s:10WeatherKit03DayA0V	swift.struct	["DayWeather"]	exact-usr	exact-usr	1	1	/ABIRoot/children/10	["/ABIRoot/children/10"]
s:10WeatherKit03DayA0V06restOfC8ForecastAA0c4PartF0VSgvp	swift.property	["DayWeather","restOfDayForecast"]	exact-usr	exact-usr	1	1	/ABIRoot/children/10/children/24	["/ABIRoot/children/10/children/24"]
s:10WeatherKit03DayA0V10symbolNameSSvp	swift.property	["DayWeather","symbolName"]	exact-usr	exact-usr	1	1	/ABIRoot/children/10/children/2	["/ABIRoot/children/10/children/2"]
s:10WeatherKit03DayA0V13highWindSpeed10Foundation11MeasurementVySo06NSUnitF0CGSgvp	swift.property	["DayWeather","highWindSpeed"]	exact-usr	exact-usr	1	1	/ABIRoot/children/10/children/21	["/ABIRoot/children/10/children/21"]
s:10WeatherKit03DayA0V13precipitationAA13PrecipitationOvp	swift.property	["DayWeather","precipitation"]	exact-usr	exact-usr	1	1	/ABIRoot/children/10/children/9	["/ABIRoot/children/10/children/9"]
s:10WeatherKit03DayA0V14lowTemperature10Foundation11MeasurementVySo06NSUnitE0CGvp	swift.property	["DayWeather","lowTemperature"]	exact-usr	exact-usr	1	1	/ABIRoot/children/10/children/5	["/ABIRoot/children/10/children/5"]
s:10WeatherKit03DayA0V14rainfallAmount10Foundation11MeasurementVySo12NSUnitLengthCGvp	swift.property	["DayWeather","rainfallAmount"]	exact-usr	exact-usr	1	1	/ABIRoot/children/10/children/12	["/ABIRoot/children/10/children/12"]
s:10WeatherKit03DayA0V14snowfallAmount10Foundation11MeasurementVySo12NSUnitLengthCGvp	swift.property	["DayWeather","snowfallAmount"]	exact-usr	exact-usr	1	1	/ABIRoot/children/10/children/13	["/ABIRoot/children/10/children/13"]
s:10WeatherKit03DayA0V15daytimeForecastAA0c4PartE0Vvp	swift.property	["DayWeather","daytimeForecast"]	exact-usr	exact-usr	1	1	/ABIRoot/children/10/children/22	["/ABIRoot/children/10/children/22"]
s:10WeatherKit03DayA0V15highTemperature10Foundation11MeasurementVySo06NSUnitE0CGvp	swift.property	["DayWeather","highTemperature"]	exact-usr	exact-usr	1	1	/ABIRoot/children/10/children/3	["/ABIRoot/children/10/children/3"]
s:10WeatherKit03DayA0V15maximumHumiditySdvp	swift.property	["DayWeather","maximumHumidity"]	exact-usr	exact-usr	1	1	/ABIRoot/children/10/children/7	["/ABIRoot/children/10/children/7"]
s:10WeatherKit03DayA0V15minimumHumiditySdvp	swift.property	["DayWeather","minimumHumidity"]	exact-usr	exact-usr	1	1	/ABIRoot/children/10/children/8	["/ABIRoot/children/10/children/8"]
s:10WeatherKit03DayA0V17maximumVisibilitySdvp	swift.property	["DayWeather","maximumVisibility"]	exact-usr	exact-usr	1	1	/ABIRoot/children/10/children/18	["/ABIRoot/children/10/children/18"]
s:10WeatherKit03DayA0V17minimumVisibilitySdvp	swift.property	["DayWeather","minimumVisibility"]	exact-usr	exact-usr	1	1	/ABIRoot/children/10/children/19	["/ABIRoot/children/10/children/19"]
s:10WeatherKit03DayA0V17overnightForecastAA0c4PartE0Vvp	swift.property	["DayWeather","overnightForecast"]	exact-usr	exact-usr	1	1	/ABIRoot/children/10/children/23	["/ABIRoot/children/10/children/23"]
s:10WeatherKit03DayA0V18lowTemperatureTime10Foundation4DateVSgvp	swift.property	["DayWeather","lowTemperatureTime"]	exact-usr	exact-usr	1	1	/ABIRoot/children/10/children/6	["/ABIRoot/children/10/children/6"]
