precise	status	evidence	notes
c:@NSUserActivityTypeLiveActivity	deferred		Constant string payload is not recorded in the graph, digester, or pinned bindings; value would be invented.
s:11ActivityKit0A10AttributesP06WidgetB0E14previewContext_7isStale8viewKindQr12ContentStateQz_SbAD0a11PreviewViewJ0OtF	deferred		Preview APIs are not implemented; AGENTS.md forbids prioritizing #Preview, and ActivityKit preview is not a host dependency.
s:21DeveloperToolsSupport7PreviewV9WidgetKitE_2as5using6widget13contentStatesACSSSg_AD08ActivityD8ViewKindOxq_ycSay12ContentStateQzGyYaScMYcctc0lF00L10AttributesRz7SwiftUI0E0R_r0_lufc	deferred		Preview APIs are not implemented; AGENTS.md forbids prioritizing #Preview, and ActivityKit preview is not a host dependency.
s:21DeveloperToolsSupport7PreviewV9WidgetKitE_2as5using6widget16timelineProviderACSSSg_AD0E6FamilyO6IntentQzq_ycxyctcAD03Appm8TimelineK0Rz7SwiftUI0E0R_r0_lufc	deferred		Preview APIs are not implemented; AGENTS.md forbids prioritizing #Preview, and ActivityKit preview is not a host dependency.
s:21DeveloperToolsSupport7PreviewV9WidgetKitE_2as5using6widget16timelineProviderACSSSg_AD0E6FamilyO6IntentQzq_ycxyctcAD0m8TimelineK0Rz7SwiftUI0E0R_r0_lufc	deferred		Preview APIs are not implemented; AGENTS.md forbids prioritizing #Preview, and ActivityKit preview is not a host dependency.
s:21DeveloperToolsSupport7PreviewV9WidgetKitE_2as6widget16timelineProviderACSSSg_AD0E6FamilyOxycq_yctc7SwiftUI0E0RzAD08TimelineJ0R_r0_lufc	deferred		Preview APIs are not implemented; AGENTS.md forbids prioritizing #Preview, and ActivityKit preview is not a host dependency.
s:21DeveloperToolsSupport7PreviewV9WidgetKitE_2as6widget8timelineACSSSg_AD0E6FamilyOxycSayAD13TimelineEntry_pGyYaScMYcctc7SwiftUI0E0Rzlufc	deferred		Preview APIs are not implemented; AGENTS.md forbids prioritizing #Preview, and ActivityKit preview is not a host dependency.
s:7SwiftUI12WidgetBundleP0C3KitE4mainyyFZ	implemented	test:full/widgetkit/tests/agent/WidgetKitEngineTests.swift#testWidgetAndBundleMain	-
s:7SwiftUI13ControlWidgetP0D3KitE4mainyyFZ	declared	source:full/widgetkit/WidgetKitControls.swift#main	-
s:7SwiftUI17EnvironmentValuesV9WidgetKitE05showsE19ContainerBackgroundSbvp	implemented	test:full/widgetkit/tests/agent/WidgetKitTests.swift#testEnvironmentValuesDefaults	-
s:7SwiftUI17EnvironmentValuesV9WidgetKitE05showsE5LabelSbvp	implemented	test:full/widgetkit/tests/agent/WidgetKitEngineTests.swift#testEnvironmentValuesRemaining	-
s:7SwiftUI17EnvironmentValuesV9WidgetKitE12widgetFamilyAD0eH0Ovp	implemented	test:full/widgetkit/tests/agent/WidgetKitTests.swift#testEnvironmentValuesDefaults	-
s:7SwiftUI17EnvironmentValuesV9WidgetKitE13levelOfDetailAD05LevelhI0Vvp	implemented	test:full/widgetkit/tests/agent/WidgetKitTests.swift#testEnvironmentValuesDefaults	-
s:7SwiftUI17EnvironmentValuesV9WidgetKitE14activityFamilyAD08ActivityH0Ovp	implemented	test:full/widgetkit/tests/agent/WidgetKitTests.swift#testEnvironmentValuesDefaults	-
s:7SwiftUI17EnvironmentValuesV9WidgetKitE19widgetRenderingModeAD0ehI0Vvp	implemented	test:full/widgetkit/tests/agent/WidgetKitTests.swift#testEnvironmentValuesDefaults	-
s:7SwiftUI17EnvironmentValuesV9WidgetKitE20isActivityFullscreenSbvp	implemented	test:full/widgetkit/tests/agent/WidgetKitTests.swift#testEnvironmentValuesDefaults	-
s:7SwiftUI17EnvironmentValuesV9WidgetKitE20widgetContentMarginsAA10EdgeInsetsVvp	implemented	test:full/widgetkit/tests/agent/WidgetKitEngineTests.swift#testEnvironmentValuesRemaining	-
s:7SwiftUI17EnvironmentValuesV9WidgetKitE23isActivityUpdateReducedSbvp	implemented	test:full/widgetkit/tests/agent/WidgetKitEngineTests.swift#testEnvironmentValuesRemaining	-
s:7SwiftUI17EnvironmentValuesV9WidgetKitE25supportedActivityFamiliesShyAD0H6FamilyOGvp	implemented	test:full/widgetkit/tests/agent/WidgetKitEngineTests.swift#testEnvironmentValuesRemaining	-
s:7SwiftUI19WidgetConfigurationP0C3KitE014promptsForUserD0QryF	implemented	test:full/widgetkit/tests/agent/WidgetKitEngineTests.swift#testConfigurationPushAndSession	-
s:7SwiftUI19WidgetConfigurationP0C3KitE014promptsForUserD0QryF::SYNTHESIZED::s:9WidgetKit19IntentConfigurationV	implemented	test:full/widgetkit/tests/agent/WidgetKitEngineTests.swift#testConfigurationPushAndSession	-
s:7SwiftUI19WidgetConfigurationP0C3KitE014promptsForUserD0QryF::SYNTHESIZED::s:9WidgetKit19StaticConfigurationV	implemented	test:full/widgetkit/tests/agent/WidgetKitEngineTests.swift#testConfigurationPushAndSession	-
s:7SwiftUI19WidgetConfigurationP0C3KitE014promptsForUserD0QryF::SYNTHESIZED::s:9WidgetKit21ActivityConfigurationV	implemented	test:full/widgetkit/tests/agent/WidgetKitEngineTests.swift#testConfigurationPushAndSession	-
s:7SwiftUI19WidgetConfigurationP0C3KitE014promptsForUserD0QryF::SYNTHESIZED::s:9WidgetKit22AppIntentConfigurationV	implemented	test:full/widgetkit/tests/agent/WidgetKitEngineTests.swift#testConfigurationPushAndSession	-
s:7SwiftUI19WidgetConfigurationP0C3KitE11descriptionyQr10Foundation23LocalizedStringResourceVF	implemented	test:full/widgetkit/tests/agent/WidgetKitEngineTests.swift#testConfigurationDisplayNameAndDescription	-
s:7SwiftUI19WidgetConfigurationP0C3KitE11descriptionyQr10Foundation23LocalizedStringResourceVF::SYNTHESIZED::s:9WidgetKit19IntentConfigurationV	implemented	test:full/widgetkit/tests/agent/WidgetKitEngineTests.swift#testConfigurationDisplayNameAndDescription	-
s:7SwiftUI19WidgetConfigurationP0C3KitE11descriptionyQr10Foundation23LocalizedStringResourceVF::SYNTHESIZED::s:9WidgetKit19StaticConfigurationV	implemented	test:full/widgetkit/tests/agent/WidgetKitEngineTests.swift#testConfigurationDisplayNameAndDescription	-
s:7SwiftUI19WidgetConfigurationP0C3KitE11descriptionyQr10Foundation23LocalizedStringResourceVF::SYNTHESIZED::s:9WidgetKit21ActivityConfigurationV	implemented	test:full/widgetkit/tests/agent/WidgetKitEngineTests.swift#testConfigurationDisplayNameAndDescription	-
s:7SwiftUI19WidgetConfigurationP0C3KitE11descriptionyQr10Foundation23LocalizedStringResourceVF::SYNTHESIZED::s:9WidgetKit22AppIntentConfigurationV	implemented	test:full/widgetkit/tests/agent/WidgetKitEngineTests.swift#testConfigurationDisplayNameAndDescription	-
s:7SwiftUI19WidgetConfigurationP0C3KitE11descriptionyQrAA18LocalizedStringKeyVF	implemented	test:full/widgetkit/tests/agent/WidgetKitEngineTests.swift#testConfigurationDisplayNameAndDescription	-
s:7SwiftUI19WidgetConfigurationP0C3KitE11descriptionyQrAA18LocalizedStringKeyVF::SYNTHESIZED::s:9WidgetKit19IntentConfigurationV	implemented	test:full/widgetkit/tests/agent/WidgetKitEngineTests.swift#testConfigurationDisplayNameAndDescription	-
s:7SwiftUI19WidgetConfigurationP0C3KitE11descriptionyQrAA18LocalizedStringKeyVF::SYNTHESIZED::s:9WidgetKit19StaticConfigurationV	implemented	test:full/widgetkit/tests/agent/WidgetKitEngineTests.swift#testConfigurationDisplayNameAndDescription	-
s:7SwiftUI19WidgetConfigurationP0C3KitE11descriptionyQrAA18LocalizedStringKeyVF::SYNTHESIZED::s:9WidgetKit21ActivityConfigurationV	implemented	test:full/widgetkit/tests/agent/WidgetKitEngineTests.swift#testConfigurationDisplayNameAndDescription	-
s:7SwiftUI19WidgetConfigurationP0C3KitE11descriptionyQrAA18LocalizedStringKeyVF::SYNTHESIZED::s:9WidgetKit22AppIntentConfigurationV	implemented	test:full/widgetkit/tests/agent/WidgetKitEngineTests.swift#testConfigurationDisplayNameAndDescription	-
s:7SwiftUI19WidgetConfigurationP0C3KitE11descriptionyQrAA4TextVF	implemented	test:full/widgetkit/tests/agent/WidgetKitEngineTests.swift#testConfigurationDisplayNameAndDescription	-
s:7SwiftUI19WidgetConfigurationP0C3KitE11descriptionyQrAA4TextVF::SYNTHESIZED::s:9WidgetKit19IntentConfigurationV	implemented	test:full/widgetkit/tests/agent/WidgetKitEngineTests.swift#testConfigurationDisplayNameAndDescription	-
s:7SwiftUI19WidgetConfigurationP0C3KitE11descriptionyQrAA4TextVF::SYNTHESIZED::s:9WidgetKit19StaticConfigurationV	implemented	test:full/widgetkit/tests/agent/WidgetKitEngineTests.swift#testConfigurationDisplayNameAndDescription	-
s:7SwiftUI19WidgetConfigurationP0C3KitE11descriptionyQrAA4TextVF::SYNTHESIZED::s:9WidgetKit21ActivityConfigurationV	implemented	test:full/widgetkit/tests/agent/WidgetKitEngineTests.swift#testConfigurationDisplayNameAndDescription	-
s:7SwiftUI19WidgetConfigurationP0C3KitE11descriptionyQrAA4TextVF::SYNTHESIZED::s:9WidgetKit22AppIntentConfigurationV	implemented	test:full/widgetkit/tests/agent/WidgetKitEngineTests.swift#testConfigurationDisplayNameAndDescription	-
s:7SwiftUI19WidgetConfigurationP0C3KitE11descriptionyQrqd__SyRd__lF	implemented	test:full/widgetkit/tests/agent/WidgetKitEngineTests.swift#testConfigurationDisplayNameAndDescription	-
s:7SwiftUI19WidgetConfigurationP0C3KitE11descriptionyQrqd__SyRd__lF::SYNTHESIZED::s:9WidgetKit19IntentConfigurationV	implemented	test:full/widgetkit/tests/agent/WidgetKitEngineTests.swift#testConfigurationDisplayNameAndDescription	-
s:7SwiftUI19WidgetConfigurationP0C3KitE11descriptionyQrqd__SyRd__lF::SYNTHESIZED::s:9WidgetKit19StaticConfigurationV	implemented	test:full/widgetkit/tests/agent/WidgetKitEngineTests.swift#testConfigurationDisplayNameAndDescription	-
s:7SwiftUI19WidgetConfigurationP0C3KitE11descriptionyQrqd__SyRd__lF::SYNTHESIZED::s:9WidgetKit21ActivityConfigurationV	implemented	test:full/widgetkit/tests/agent/WidgetKitEngineTests.swift#testConfigurationDisplayNameAndDescription	-
s:7SwiftUI19WidgetConfigurationP0C3KitE11descriptionyQrqd__SyRd__lF::SYNTHESIZED::s:9WidgetKit22AppIntentConfigurationV	implemented	test:full/widgetkit/tests/agent/WidgetKitEngineTests.swift#testConfigurationDisplayNameAndDescription	-
s:7SwiftUI19WidgetConfigurationP0C3KitE11pushHandleryQrAD0c4PushG0_pXpF	implemented	test:full/widgetkit/tests/agent/WidgetKitEngineTests.swift#testConfigurationPushAndSession	-
s:7SwiftUI19WidgetConfigurationP0C3KitE11pushHandleryQrAD0c4PushG0_pXpF::SYNTHESIZED::s:9WidgetKit19IntentConfigurationV	implemented	test:full/widgetkit/tests/agent/WidgetKitEngineTests.swift#testConfigurationPushAndSession	-
s:7SwiftUI19WidgetConfigurationP0C3KitE11pushHandleryQrAD0c4PushG0_pXpF::SYNTHESIZED::s:9WidgetKit19StaticConfigurationV	implemented	test:full/widgetkit/tests/agent/WidgetKitEngineTests.swift#testConfigurationPushAndSession	-
s:7SwiftUI19WidgetConfigurationP0C3KitE11pushHandleryQrAD0c4PushG0_pXpF::SYNTHESIZED::s:9WidgetKit21ActivityConfigurationV	implemented	test:full/widgetkit/tests/agent/WidgetKitEngineTests.swift#testConfigurationPushAndSession	-
s:7SwiftUI19WidgetConfigurationP0C3KitE11pushHandleryQrAD0c4PushG0_pXpF::SYNTHESIZED::s:9WidgetKit22AppIntentConfigurationV	implemented	test:full/widgetkit/tests/agent/WidgetKitEngineTests.swift#testConfigurationPushAndSession	-
s:7SwiftUI19WidgetConfigurationP0C3KitE14associatedKindyQrSSSgF::SYNTHESIZED::s:9WidgetKit19IntentConfigurationV	implemented	test:full/widgetkit/tests/agent/WidgetKitEngineTests.swift#testConfigurationPushAndSession	-
s:7SwiftUI19WidgetConfigurationP0C3KitE14associatedKindyQrSSSgF::SYNTHESIZED::s:9WidgetKit19StaticConfigurationV	implemented	test:full/widgetkit/tests/agent/WidgetKitEngineTests.swift#testConfigurationPushAndSession	-
s:7SwiftUI19WidgetConfigurationP0C3KitE14associatedKindyQrSSSgF::SYNTHESIZED::s:9WidgetKit21ActivityConfigurationV	implemented	test:full/widgetkit/tests/agent/WidgetKitEngineTests.swift#testConfigurationPushAndSession	-
s:7SwiftUI19WidgetConfigurationP0C3KitE14associatedKindyQrSSSgF::SYNTHESIZED::s:9WidgetKit22AppIntentConfigurationV	implemented	test:full/widgetkit/tests/agent/WidgetKitEngineTests.swift#testConfigurationPushAndSession	-
s:7SwiftUI19WidgetConfigurationP0C3KitE17supportedFamiliesyQrSayAD0C6FamilyOGF	implemented	test:full/widgetkit/tests/agent/WidgetKitEngineTests.swift#testConfigurationFamiliesMarginsAndBackground	-
s:7SwiftUI19WidgetConfigurationP0C3KitE17supportedFamiliesyQrSayAD0C6FamilyOGF::SYNTHESIZED::s:9WidgetKit19IntentConfigurationV	implemented	test:full/widgetkit/tests/agent/WidgetKitEngineTests.swift#testConfigurationFamiliesMarginsAndBackground	-
s:7SwiftUI19WidgetConfigurationP0C3KitE17supportedFamiliesyQrSayAD0C6FamilyOGF::SYNTHESIZED::s:9WidgetKit19StaticConfigurationV	implemented	test:full/widgetkit/tests/agent/WidgetKitEngineTests.swift#testConfigurationFamiliesMarginsAndBackground	-
s:7SwiftUI19WidgetConfigurationP0C3KitE17supportedFamiliesyQrSayAD0C6FamilyOGF::SYNTHESIZED::s:9WidgetKit21ActivityConfigurationV	implemented	test:full/widgetkit/tests/agent/WidgetKitEngineTests.swift#testConfigurationFamiliesMarginsAndBackground	-
s:7SwiftUI19WidgetConfigurationP0C3KitE17supportedFamiliesyQrSayAD0C6FamilyOGF::SYNTHESIZED::s:9WidgetKit22AppIntentConfigurationV	implemented	test:full/widgetkit/tests/agent/WidgetKitEngineTests.swift#testConfigurationFamiliesMarginsAndBackground	-
s:7SwiftUI19WidgetConfigurationP0C3KitE19disfavoredLocations_3forQrSayAD0C8LocationVG_SayAD0C6FamilyOGtF	implemented	test:full/widgetkit/tests/agent/WidgetKitEngineTests.swift#testConfigurationFamiliesMarginsAndBackground	-
s:7SwiftUI19WidgetConfigurationP0C3KitE19disfavoredLocations_3forQrSayAD0C8LocationVG_SayAD0C6FamilyOGtF::SYNTHESIZED::s:9WidgetKit19IntentConfigurationV	implemented	test:full/widgetkit/tests/agent/WidgetKitEngineTests.swift#testConfigurationFamiliesMarginsAndBackground	-
s:7SwiftUI19WidgetConfigurationP0C3KitE19disfavoredLocations_3forQrSayAD0C8LocationVG_SayAD0C6FamilyOGtF::SYNTHESIZED::s:9WidgetKit19StaticConfigurationV	implemented	test:full/widgetkit/tests/agent/WidgetKitEngineTests.swift#testConfigurationFamiliesMarginsAndBackground	-
s:7SwiftUI19WidgetConfigurationP0C3KitE19disfavoredLocations_3forQrSayAD0C8LocationVG_SayAD0C6FamilyOGtF::SYNTHESIZED::s:9WidgetKit21ActivityConfigurationV	implemented	test:full/widgetkit/tests/agent/WidgetKitEngineTests.swift#testConfigurationFamiliesMarginsAndBackground	-
s:7SwiftUI19WidgetConfigurationP0C3KitE19disfavoredLocations_3forQrSayAD0C8LocationVG_SayAD0C6FamilyOGtF::SYNTHESIZED::s:9WidgetKit22AppIntentConfigurationV	implemented	test:full/widgetkit/tests/agent/WidgetKitEngineTests.swift#testConfigurationFamiliesMarginsAndBackground	-
s:7SwiftUI19WidgetConfigurationP0C3KitE22contentMarginsDisabledQryF	implemented	test:full/widgetkit/tests/agent/WidgetKitEngineTests.swift#testConfigurationFamiliesMarginsAndBackground	-
s:7SwiftUI19WidgetConfigurationP0C3KitE22contentMarginsDisabledQryF::SYNTHESIZED::s:9WidgetKit19IntentConfigurationV	implemented	test:full/widgetkit/tests/agent/WidgetKitEngineTests.swift#testConfigurationFamiliesMarginsAndBackground	-
s:7SwiftUI19WidgetConfigurationP0C3KitE22contentMarginsDisabledQryF::SYNTHESIZED::s:9WidgetKit19StaticConfigurationV	implemented	test:full/widgetkit/tests/agent/WidgetKitEngineTests.swift#testConfigurationFamiliesMarginsAndBackground	-
s:7SwiftUI19WidgetConfigurationP0C3KitE22contentMarginsDisabledQryF::SYNTHESIZED::s:9WidgetKit21ActivityConfigurationV	implemented	test:full/widgetkit/tests/agent/WidgetKitEngineTests.swift#testConfigurationFamiliesMarginsAndBackground	-
s:7SwiftUI19WidgetConfigurationP0C3KitE22contentMarginsDisabledQryF::SYNTHESIZED::s:9WidgetKit22AppIntentConfigurationV	implemented	test:full/widgetkit/tests/agent/WidgetKitEngineTests.swift#testConfigurationFamiliesMarginsAndBackground	-
s:7SwiftUI19WidgetConfigurationP0C3KitE23supportedMountingStylesyQrSayAD0cG5StyleVGF	implemented	test:full/widgetkit/tests/agent/WidgetKitEngineTests.swift#testConfigurationFamiliesMarginsAndBackground	-
s:7SwiftUI19WidgetConfigurationP0C3KitE23supportedMountingStylesyQrSayAD0cG5StyleVGF::SYNTHESIZED::s:9WidgetKit19IntentConfigurationV	implemented	test:full/widgetkit/tests/agent/WidgetKitEngineTests.swift#testConfigurationFamiliesMarginsAndBackground	-
s:7SwiftUI19WidgetConfigurationP0C3KitE23supportedMountingStylesyQrSayAD0cG5StyleVGF::SYNTHESIZED::s:9WidgetKit19StaticConfigurationV	implemented	test:full/widgetkit/tests/agent/WidgetKitEngineTests.swift#testConfigurationFamiliesMarginsAndBackground	-
s:7SwiftUI19WidgetConfigurationP0C3KitE23supportedMountingStylesyQrSayAD0cG5StyleVGF::SYNTHESIZED::s:9WidgetKit21ActivityConfigurationV	implemented	test:full/widgetkit/tests/agent/WidgetKitEngineTests.swift#testConfigurationFamiliesMarginsAndBackground	-
s:7SwiftUI19WidgetConfigurationP0C3KitE23supportedMountingStylesyQrSayAD0cG5StyleVGF::SYNTHESIZED::s:9WidgetKit22AppIntentConfigurationV	implemented	test:full/widgetkit/tests/agent/WidgetKitEngineTests.swift#testConfigurationFamiliesMarginsAndBackground	-
s:7SwiftUI19WidgetConfigurationP0C3KitE24configurationDisplayNameyQr10Foundation23LocalizedStringResourceVF	implemented	test:full/widgetkit/tests/agent/WidgetKitEngineTests.swift#testConfigurationDisplayNameAndDescription	-
s:7SwiftUI19WidgetConfigurationP0C3KitE24configurationDisplayNameyQr10Foundation23LocalizedStringResourceVF::SYNTHESIZED::s:9WidgetKit19IntentConfigurationV	implemented	test:full/widgetkit/tests/agent/WidgetKitEngineTests.swift#testConfigurationDisplayNameAndDescription	-
s:7SwiftUI19WidgetConfigurationP0C3KitE24configurationDisplayNameyQr10Foundation23LocalizedStringResourceVF::SYNTHESIZED::s:9WidgetKit19StaticConfigurationV	implemented	test:full/widgetkit/tests/agent/WidgetKitEngineTests.swift#testConfigurationDisplayNameAndDescription	-
s:7SwiftUI19WidgetConfigurationP0C3KitE24configurationDisplayNameyQr10Foundation23LocalizedStringResourceVF::SYNTHESIZED::s:9WidgetKit21ActivityConfigurationV	implemented	test:full/widgetkit/tests/agent/WidgetKitEngineTests.swift#testConfigurationDisplayNameAndDescription	-
s:7SwiftUI19WidgetConfigurationP0C3KitE24configurationDisplayNameyQr10Foundation23LocalizedStringResourceVF::SYNTHESIZED::s:9WidgetKit22AppIntentConfigurationV	implemented	test:full/widgetkit/tests/agent/WidgetKitEngineTests.swift#testConfigurationDisplayNameAndDescription	-
s:7SwiftUI19WidgetConfigurationP0C3KitE24configurationDisplayNameyQrAA18LocalizedStringKeyVF	implemented	test:full/widgetkit/tests/agent/WidgetKitEngineTests.swift#testConfigurationDisplayNameAndDescription	-
s:7SwiftUI19WidgetConfigurationP0C3KitE24configurationDisplayNameyQrAA18LocalizedStringKeyVF::SYNTHESIZED::s:9WidgetKit19IntentConfigurationV	implemented	test:full/widgetkit/tests/agent/WidgetKitEngineTests.swift#testConfigurationDisplayNameAndDescription	-
s:7SwiftUI19WidgetConfigurationP0C3KitE24configurationDisplayNameyQrAA18LocalizedStringKeyVF::SYNTHESIZED::s:9WidgetKit19StaticConfigurationV	implemented	test:full/widgetkit/tests/agent/WidgetKitEngineTests.swift#testConfigurationDisplayNameAndDescription	-
s:7SwiftUI19WidgetConfigurationP0C3KitE24configurationDisplayNameyQrAA18LocalizedStringKeyVF::SYNTHESIZED::s:9WidgetKit21ActivityConfigurationV	implemented	test:full/widgetkit/tests/agent/WidgetKitEngineTests.swift#testConfigurationDisplayNameAndDescription	-
s:7SwiftUI19WidgetConfigurationP0C3KitE24configurationDisplayNameyQrAA18LocalizedStringKeyVF::SYNTHESIZED::s:9WidgetKit22AppIntentConfigurationV	implemented	test:full/widgetkit/tests/agent/WidgetKitEngineTests.swift#testConfigurationDisplayNameAndDescription	-
s:7SwiftUI19WidgetConfigurationP0C3KitE24configurationDisplayNameyQrAA4TextVF	implemented	test:full/widgetkit/tests/agent/WidgetKitEngineTests.swift#testConfigurationDisplayNameAndDescription	-
s:7SwiftUI19WidgetConfigurationP0C3KitE24configurationDisplayNameyQrAA4TextVF::SYNTHESIZED::s:9WidgetKit19IntentConfigurationV	implemented	test:full/widgetkit/tests/agent/WidgetKitEngineTests.swift#testConfigurationDisplayNameAndDescription	-
s:7SwiftUI19WidgetConfigurationP0C3KitE24configurationDisplayNameyQrAA4TextVF::SYNTHESIZED::s:9WidgetKit19StaticConfigurationV	implemented	test:full/widgetkit/tests/agent/WidgetKitEngineTests.swift#testConfigurationDisplayNameAndDescription	-
s:7SwiftUI19WidgetConfigurationP0C3KitE24configurationDisplayNameyQrAA4TextVF::SYNTHESIZED::s:9WidgetKit21ActivityConfigurationV	implemented	test:full/widgetkit/tests/agent/WidgetKitEngineTests.swift#testConfigurationDisplayNameAndDescription	-
s:7SwiftUI19WidgetConfigurationP0C3KitE24configurationDisplayNameyQrAA4TextVF::SYNTHESIZED::s:9WidgetKit22AppIntentConfigurationV	implemented	test:full/widgetkit/tests/agent/WidgetKitEngineTests.swift#testConfigurationDisplayNameAndDescription	-
s:7SwiftUI19WidgetConfigurationP0C3KitE24configurationDisplayNameyQrqd__SyRd__lF	implemented	test:full/widgetkit/tests/agent/WidgetKitEngineTests.swift#testConfigurationDisplayNameAndDescription	-
s:7SwiftUI19WidgetConfigurationP0C3KitE24configurationDisplayNameyQrqd__SyRd__lF::SYNTHESIZED::s:9WidgetKit19IntentConfigurationV	implemented	test:full/widgetkit/tests/agent/WidgetKitEngineTests.swift#testConfigurationDisplayNameAndDescription	-
s:7SwiftUI19WidgetConfigurationP0C3KitE24configurationDisplayNameyQrqd__SyRd__lF::SYNTHESIZED::s:9WidgetKit19StaticConfigurationV	implemented	test:full/widgetkit/tests/agent/WidgetKitEngineTests.swift#testConfigurationDisplayNameAndDescription	-
s:7SwiftUI19WidgetConfigurationP0C3KitE24configurationDisplayNameyQrqd__SyRd__lF::SYNTHESIZED::s:9WidgetKit21ActivityConfigurationV	implemented	test:full/widgetkit/tests/agent/WidgetKitEngineTests.swift#testConfigurationDisplayNameAndDescription	-
s:7SwiftUI19WidgetConfigurationP0C3KitE24configurationDisplayNameyQrqd__SyRd__lF::SYNTHESIZED::s:9WidgetKit22AppIntentConfigurationV	implemented	test:full/widgetkit/tests/agent/WidgetKitEngineTests.swift#testConfigurationDisplayNameAndDescription	-
s:7SwiftUI19WidgetConfigurationP0C3KitE28containerBackgroundRemovableyQrSbF	implemented	test:full/widgetkit/tests/agent/WidgetKitEngineTests.swift#testConfigurationFamiliesMarginsAndBackground	-
s:7SwiftUI19WidgetConfigurationP0C3KitE28containerBackgroundRemovableyQrSbF::SYNTHESIZED::s:9WidgetKit19IntentConfigurationV	implemented	test:full/widgetkit/tests/agent/WidgetKitEngineTests.swift#testConfigurationFamiliesMarginsAndBackground	-
