precise	status	evidence	notes
s:10WorkoutKit010SingleGoalA0V	implemented	test:full/workoutkit/tests/agent/WorkoutKitWorkoutTypeTests.swift#testSingleGoalWorkout	value type
s:10WorkoutKit010SingleGoalA0V08supportsD0_8activity8locationSbAA0aD0O_So21HKWorkoutActivityTypeVSo0h15SessionLocationJ0VtFZ	implemented	test:full/workoutkit/tests/agent/WorkoutKitWorkoutTypeTests.swift#testSingleGoalSupports	documented matrix
s:10WorkoutKit010SingleGoalA0V16supportsActivityySbSo09HKWorkoutF4TypeVFZ	implemented	test:full/workoutkit/tests/agent/WorkoutKitWorkoutTypeTests.swift#testSingleGoalSupports	documented matrix
s:10WorkoutKit010SingleGoalA0V16swimmingLocationSo017HKWorkoutSwimmingF4TypeVvp	implemented	test:full/workoutkit/tests/agent/WorkoutKitWorkoutTypeTests.swift#testSingleGoalWorkout	init default unknown
s:10WorkoutKit010SingleGoalA0V2eeoiySbAC_ACtFZ	implemented	test:full/workoutkit/tests/agent/WorkoutKitWorkoutTypeTests.swift#testSingleGoalWorkout	equality
s:10WorkoutKit010SingleGoalA0V4goalAA0aD0Ovp	implemented	test:full/workoutkit/tests/agent/WorkoutKitWorkoutTypeTests.swift#testSingleGoalWorkout	get set
s:10WorkoutKit010SingleGoalA0V4hash4intoys6HasherVz_tF	implemented	test:full/workoutkit/tests/agent/WorkoutKitWorkoutTypeTests.swift#testSingleGoalWorkout	hash
s:10WorkoutKit010SingleGoalA0V8activity8location16swimmingLocation4goalACSo21HKWorkoutActivityTypeV_So0j7SessionhL0VSo0j8SwimminghL0VAA0aD0Otcfc	implemented	test:full/workoutkit/tests/agent/WorkoutKitWorkoutTypeTests.swift#testSingleGoalWorkout	init
s:10WorkoutKit010SingleGoalA0V8activitySo21HKWorkoutActivityTypeVvp	implemented	test:full/workoutkit/tests/agent/WorkoutKitWorkoutTypeTests.swift#testSingleGoalWorkout	get set
s:10WorkoutKit010SingleGoalA0V8locationSo28HKWorkoutSessionLocationTypeVvp	implemented	test:full/workoutkit/tests/agent/WorkoutKitWorkoutTypeTests.swift#testSingleGoalWorkout	get-only after init
s:10WorkoutKit010SingleGoalA0V9hashValueSivp	implemented	test:full/workoutkit/tests/agent/WorkoutKitWorkoutTypeTests.swift#testSingleGoalWorkout	hashValue
s:10WorkoutKit011SwimBikeRunA0V	implemented	test:full/workoutkit/tests/agent/WorkoutKitWorkoutTypeTests.swift#testSwimBikeRunWorkout	value type
s:10WorkoutKit011SwimBikeRunA0V10activities11displayNameACSayAC8ActivityOG_SSSgtcfc	implemented	test:full/workoutkit/tests/agent/WorkoutKitWorkoutTypeTests.swift#testSwimBikeRunWorkout	init
s:10WorkoutKit011SwimBikeRunA0V10activitiesSayAC8ActivityOGvp	implemented	test:full/workoutkit/tests/agent/WorkoutKitWorkoutTypeTests.swift#testSwimBikeRunWorkout	get set
s:10WorkoutKit011SwimBikeRunA0V11displayNameSSSgvp	implemented	test:full/workoutkit/tests/agent/WorkoutKitWorkoutTypeTests.swift#testSwimBikeRunWorkout	optional name
s:10WorkoutKit011SwimBikeRunA0V24supportsActivityOrderingySbSayAC0G0OGFZ	implemented	test:full/workoutkit/tests/agent/WorkoutKitWorkoutTypeTests.swift#testSwimBikeRunWorkout	one of each sport
s:10WorkoutKit011SwimBikeRunA0V2eeoiySbAC_ACtFZ	implemented	test:full/workoutkit/tests/agent/WorkoutKitWorkoutTypeTests.swift#testSwimBikeRunWorkout	equality
s:10WorkoutKit011SwimBikeRunA0V4hash4intoys6HasherVz_tF	implemented	test:full/workoutkit/tests/agent/WorkoutKitWorkoutTypeTests.swift#testSwimBikeRunWorkout	hash
s:10WorkoutKit011SwimBikeRunA0V8ActivityO	implemented	test:full/workoutkit/tests/agent/WorkoutKitEnumTests.swift#testSwimBikeRunActivityCases	enum
s:10WorkoutKit011SwimBikeRunA0V8ActivityO2eeoiySbAE_AEtFZ	implemented	test:full/workoutkit/tests/agent/WorkoutKitEnumTests.swift#testSwimBikeRunActivityCases	equality
s:10WorkoutKit011SwimBikeRunA0V8ActivityO4hash4intoys6HasherVz_tF	implemented	test:full/workoutkit/tests/agent/WorkoutKitEnumTests.swift#testSwimBikeRunActivityCases	hash
s:10WorkoutKit011SwimBikeRunA0V8ActivityO7cyclingyAESo28HKWorkoutSessionLocationTypeVcAEmF	implemented	test:full/workoutkit/tests/agent/WorkoutKitEnumTests.swift#testSwimBikeRunActivityCases	table-driven enum
s:10WorkoutKit011SwimBikeRunA0V8ActivityO7runningyAESo28HKWorkoutSessionLocationTypeVcAEmF	implemented	test:full/workoutkit/tests/agent/WorkoutKitEnumTests.swift#testSwimBikeRunActivityCases	table-driven enum
s:10WorkoutKit011SwimBikeRunA0V8ActivityO8swimmingyAESo29HKWorkoutSwimmingLocationTypeVcAEmF	implemented	test:full/workoutkit/tests/agent/WorkoutKitEnumTests.swift#testSwimBikeRunActivityCases	table-driven enum
s:10WorkoutKit011SwimBikeRunA0V8ActivityO9hashValueSivp	implemented	test:full/workoutkit/tests/agent/WorkoutKitEnumTests.swift#testSwimBikeRunActivityCases	hashValue
s:10WorkoutKit011SwimBikeRunA0V9hashValueSivp	implemented	test:full/workoutkit/tests/agent/WorkoutKitWorkoutTypeTests.swift#testSwimBikeRunWorkout	hashValue
s:10WorkoutKit05PacerA0V	implemented	test:full/workoutkit/tests/agent/WorkoutKitWorkoutTypeTests.swift#testPacerWorkout	value type
s:10WorkoutKit05PacerA0V16supportsActivityySbSo09HKWorkoutE4TypeVFZ	implemented	test:full/workoutkit/tests/agent/WorkoutKitWorkoutTypeTests.swift#testPacerWorkout	distance sports
s:10WorkoutKit05PacerA0V2eeoiySbAC_ACtFZ	implemented	test:full/workoutkit/tests/agent/WorkoutKitWorkoutTypeTests.swift#testPacerWorkout	equality
s:10WorkoutKit05PacerA0V4hash4intoys6HasherVz_tF	implemented	test:full/workoutkit/tests/agent/WorkoutKitWorkoutTypeTests.swift#testPacerWorkout	hash
s:10WorkoutKit05PacerA0V4time10Foundation11MeasurementVySo14NSUnitDurationCGvp	implemented	test:full/workoutkit/tests/agent/WorkoutKitWorkoutTypeTests.swift#testPacerWorkout	get set
s:10WorkoutKit05PacerA0V8activity8location8distance4timeACSo21HKWorkoutActivityTypeV_So0h15SessionLocationJ0V10Foundation11MeasurementVySo12NSUnitLengthCGANySo0O8DurationCGtcfc	implemented	test:full/workoutkit/tests/agent/WorkoutKitWorkoutTypeTests.swift#testPacerWorkout	init
s:10WorkoutKit05PacerA0V8activitySo21HKWorkoutActivityTypeVvp	implemented	test:full/workoutkit/tests/agent/WorkoutKitWorkoutTypeTests.swift#testPacerWorkout	get set
s:10WorkoutKit05PacerA0V8distance10Foundation11MeasurementVySo12NSUnitLengthCGvp	implemented	test:full/workoutkit/tests/agent/WorkoutKitWorkoutTypeTests.swift#testPacerWorkout	get set
s:10WorkoutKit05PacerA0V8locationSo28HKWorkoutSessionLocationTypeVvp	implemented	test:full/workoutkit/tests/agent/WorkoutKitWorkoutTypeTests.swift#testPacerWorkout	get-only after init
s:10WorkoutKit05PacerA0V9hashValueSivp	implemented	test:full/workoutkit/tests/agent/WorkoutKitWorkoutTypeTests.swift#testPacerWorkout	hashValue
s:10WorkoutKit06CustomA0V	implemented	test:full/workoutkit/tests/agent/WorkoutKitWorkoutTypeTests.swift#testCustomWorkout	value type
s:10WorkoutKit06CustomA0V11displayNameSSSgvp	implemented	test:full/workoutkit/tests/agent/WorkoutKitWorkoutTypeTests.swift#testCustomWorkout	optional name
s:10WorkoutKit06CustomA0V12supportsGoal_8activity8locationSbAA0aE0O_So21HKWorkoutActivityTypeVSo0h15SessionLocationJ0VtFZ	implemented	test:full/workoutkit/tests/agent/WorkoutKitWorkoutTypeTests.swift#testCustomWorkout	same matrix as single-goal
s:10WorkoutKit06CustomA0V13supportsAlert_8activity8locationSbAA0aE0_p_So21HKWorkoutActivityTypeVSo0h15SessionLocationJ0VtFZ	implemented	test:full/workoutkit/tests/agent/WorkoutKitWorkoutTypeTests.swift#testCustomWorkout	delegates to alert.supports
s:10WorkoutKit06CustomA0V16supportsActivityySbSo09HKWorkoutE4TypeVFZ	implemented	test:full/workoutkit/tests/agent/WorkoutKitWorkoutTypeTests.swift#testCustomWorkout	structured activities
s:10WorkoutKit06CustomA0V2eeoiySbAC_ACtFZ	implemented	test:full/workoutkit/tests/agent/WorkoutKitWorkoutTypeTests.swift#testCustomWorkout	equality
s:10WorkoutKit06CustomA0V4hash4intoys6HasherVz_tF	implemented	test:full/workoutkit/tests/agent/WorkoutKitWorkoutTypeTests.swift#testCustomWorkout	hash
s:10WorkoutKit06CustomA0V6blocksSayAA13IntervalBlockVGvp	implemented	test:full/workoutkit/tests/agent/WorkoutKitWorkoutTypeTests.swift#testCustomWorkout	get set
s:10WorkoutKit06CustomA0V6warmupAA0A4StepVSgvp	implemented	test:full/workoutkit/tests/agent/WorkoutKitWorkoutTypeTests.swift#testCustomWorkout	optional step
s:10WorkoutKit06CustomA0V8activity8location11displayName6warmup6blocks8cooldownACSo21HKWorkoutActivityTypeV_So0k15SessionLocationM0VSSSgAA0A4StepVSgSayAA13IntervalBlockVGAQtcfc	implemented	test:full/workoutkit/tests/agent/WorkoutKitWorkoutTypeTests.swift#testCustomWorkout	init
