precise	kind	title	path	declaration
s:10WorkoutKit010SingleGoalA0V	swift.struct	SingleGoalWorkout	SingleGoalWorkout	struct SingleGoalWorkout
s:10WorkoutKit010SingleGoalA0V08supportsD0_8activity8locationSbAA0aD0O_So21HKWorkoutActivityTypeVSo0h15SessionLocationJ0VtFZ	swift.type.method	supportsGoal(_:activity:location:)	SingleGoalWorkout.supportsGoal(_:activity:location:)	static func supportsGoal(_ goal: WorkoutGoal, activity: HKWorkoutActivityType, location: HKWorkoutSessionLocationType = .unknown) -> Bool
s:10WorkoutKit010SingleGoalA0V16supportsActivityySbSo09HKWorkoutF4TypeVFZ	swift.type.method	supportsActivity(_:)	SingleGoalWorkout.supportsActivity(_:)	static func supportsActivity(_ activity: HKWorkoutActivityType) -> Bool
s:10WorkoutKit010SingleGoalA0V16swimmingLocationSo017HKWorkoutSwimmingF4TypeVvp	swift.property	swimmingLocation	SingleGoalWorkout.swimmingLocation	var swimmingLocation: HKWorkoutSwimmingLocationType
s:10WorkoutKit010SingleGoalA0V2eeoiySbAC_ACtFZ	swift.func.op	==(_:_:)	SingleGoalWorkout.==(_:_:)	static func == (a: SingleGoalWorkout, b: SingleGoalWorkout) -> Bool
s:10WorkoutKit010SingleGoalA0V4goalAA0aD0Ovp	swift.property	goal	SingleGoalWorkout.goal	var goal: WorkoutGoal { get set }
s:10WorkoutKit010SingleGoalA0V4hash4intoys6HasherVz_tF	swift.method	hash(into:)	SingleGoalWorkout.hash(into:)	func hash(into hasher: inout Hasher)
s:10WorkoutKit010SingleGoalA0V8activity8location16swimmingLocation4goalACSo21HKWorkoutActivityTypeV_So0j7SessionhL0VSo0j8SwimminghL0VAA0aD0Otcfc	swift.init	init(activity:location:swimmingLocation:goal:)	SingleGoalWorkout.init(activity:location:swimmingLocation:goal:)	init(activity: HKWorkoutActivityType, location: HKWorkoutSessionLocationType = .unknown, swimmingLocation: HKWorkoutSwimmingLocationType = .unknown, goal: WorkoutGoal = .open)
s:10WorkoutKit010SingleGoalA0V8activitySo21HKWorkoutActivityTypeVvp	swift.property	activity	SingleGoalWorkout.activity	var activity: HKWorkoutActivityType { get set }
s:10WorkoutKit010SingleGoalA0V8locationSo28HKWorkoutSessionLocationTypeVvp	swift.property	location	SingleGoalWorkout.location	var location: HKWorkoutSessionLocationType
