# iPhone 16 simulator, iOS 26.1 (23B86), xcrun simctl spawn, 2026-09-22
style=0 rows=[10] header=0.0 contentSize=(320.0, 440.0)
  rect 0.0 = (0.0, 0.0, 320.0, 44.0)
  rect 0.1 = (0.0, 44.0, 320.0, 44.0)
  rect 0.2 = (0.0, 88.0, 320.0, 44.0)
  rect 0.3 = (0.0, 132.0, 320.0, 44.0)
  rect 0.4 = (0.0, 176.0, 320.0, 44.0)
  rect 0.5 = (0.0, 220.0, 320.0, 44.0)
  rect 0.6 = (0.0, 264.0, 320.0, 44.0)
  rect 0.7 = (0.0, 308.0, 320.0, 44.0)
  rect 0.8 = (0.0, 352.0, 320.0, 44.0)
  rect 0.9 = (0.0, 396.0, 320.0, 44.0)
  in (0.0, 0.0, 320.0, 200.0) -> [0.0 0.1 0.2 0.3 0.4]
  in (0.0, 44.0, 320.0, 44.0) -> [0.1]
  in (0.0, 43.5, 320.0, 1.0) -> [0.0]
  in (0.0, 88.0, 320.0, 0.0) -> [0.2]
  in (0.0, 44.0, 0.0, 44.0) -> [0.1 0.2]
  in (400.0, 0.0, 10.0, 10.0) -> []
  in (0.0, 1000.0, 320.0, 100.0) -> []
  in (0.0, -50.0, 320.0, 60.0) -> [0.0]
  in (0.0, 0.0, 0.0, 0.0) -> [0.0]
  in (inf, inf, 0.0, 0.0) -> []
  in (-8.988465674311579e+307, -8.988465674311579e+307, 1.7976931348623157e+308, 1.7976931348623157e+308) -> [0.0 0.1 0.2 0.3 0.4 0.5 0.6 0.7 0.8 0.9]
  in (0.0, 43.5, 320.0, 1.5) -> [0.0 0.1]
  in (0.0, 43.5, 320.0, 1.51) -> [0.0 0.1]
  in (0.0, 43.0, 320.0, 2.0) -> [0.0 0.1]
  in (0.0, 43.0, 320.0, 1.99) -> [0.0]
  in (0.0, 10.0, 320.0, 34.99) -> [0.0]
  in (0.0, 10.0, 320.0, 35.0) -> [0.0 0.1]
  in (0.0, 10.0, 320.0, 35.01) -> [0.0 0.1]
  in (0.0, 0.0, 320.0, 0.5) -> [0.0]
  in (0.0, 43.99, 320.0, 0.02) -> [0.0]
  in (0.0, 44.0, 0.5, 44.0) -> [0.1]
  in (0.0, 44.0, 320.0, 44.5) -> [0.1]
  in (0.0, 44.0, 320.0, 45.0) -> [0.1 0.2]
  in (319.0, 0.0, 10.0, 10.0) -> [0.0]
  in (320.0, 0.0, 10.0, 10.0) -> []
  in (-10.0, 0.0, 10.0, 10.0) -> []
  in (-10.0, 0.0, 10.5, 10.0) -> [0.0]
  in (100.0, 0.0, 0.0, 0.0) -> [0.0]
  in (500.0, 0.0, 0.0, 0.0) -> []
style=0 rows=[2, 3] header=28.0 contentSize=(320.0, 220.0)
  rect 0.0 = (0.0, 0.0, 320.0, 44.0)
  rect 0.1 = (0.0, 44.0, 320.0, 44.0)
  rect 1.0 = (0.0, 88.0, 320.0, 44.0)
  rect 1.1 = (0.0, 132.0, 320.0, 44.0)
  rect 1.2 = (0.0, 176.0, 320.0, 44.0)
  in (0.0, 0.0, 320.0, 200.0) -> [0.0 0.1 1.0 1.1 1.2]
  in (0.0, 44.0, 320.0, 44.0) -> [0.1]
  in (0.0, 43.5, 320.0, 1.0) -> [0.0]
  in (0.0, 88.0, 320.0, 0.0) -> [1.0]
  in (0.0, 44.0, 0.0, 44.0) -> [0.1 1.0]
  in (400.0, 0.0, 10.0, 10.0) -> []
  in (0.0, 1000.0, 320.0, 100.0) -> []
  in (0.0, -50.0, 320.0, 60.0) -> [0.0]
  in (0.0, 0.0, 0.0, 0.0) -> [0.0]
  in (inf, inf, 0.0, 0.0) -> []
  in (-8.988465674311579e+307, -8.988465674311579e+307, 1.7976931348623157e+308, 1.7976931348623157e+308) -> [0.0 0.1 1.0 1.1 1.2]
  in (0.0, 43.5, 320.0, 1.5) -> [0.0 0.1]
  in (0.0, 43.5, 320.0, 1.51) -> [0.0 0.1]
  in (0.0, 43.0, 320.0, 2.0) -> [0.0 0.1]
  in (0.0, 43.0, 320.0, 1.99) -> [0.0]
  in (0.0, 10.0, 320.0, 34.99) -> [0.0]
  in (0.0, 10.0, 320.0, 35.0) -> [0.0 0.1]
  in (0.0, 10.0, 320.0, 35.01) -> [0.0 0.1]
  in (0.0, 0.0, 320.0, 0.5) -> [0.0]
  in (0.0, 43.99, 320.0, 0.02) -> [0.0]
  in (0.0, 44.0, 0.5, 44.0) -> [0.1]
  in (0.0, 44.0, 320.0, 44.5) -> [0.1]
  in (0.0, 44.0, 320.0, 45.0) -> [0.1 1.0]
  in (319.0, 0.0, 10.0, 10.0) -> [0.0]
  in (320.0, 0.0, 10.0, 10.0) -> []
  in (-10.0, 0.0, 10.0, 10.0) -> []
  in (-10.0, 0.0, 10.5, 10.0) -> [0.0]
  in (100.0, 0.0, 0.0, 0.0) -> [0.0]
  in (500.0, 0.0, 0.0, 0.0) -> []
style=0 rows=[0] header=0.0 contentSize=(320.0, 0.0)
  in (0.0, 0.0, 320.0, 200.0) -> []
  in (0.0, 44.0, 320.0, 44.0) -> []
  in (0.0, 43.5, 320.0, 1.0) -> []
  in (0.0, 88.0, 320.0, 0.0) -> []
  in (0.0, 44.0, 0.0, 44.0) -> []
  in (400.0, 0.0, 10.0, 10.0) -> []
  in (0.0, 1000.0, 320.0, 100.0) -> []
  in (0.0, -50.0, 320.0, 60.0) -> []
  in (0.0, 0.0, 0.0, 0.0) -> []
  in (inf, inf, 0.0, 0.0) -> []
  in (-8.988465674311579e+307, -8.988465674311579e+307, 1.7976931348623157e+308, 1.7976931348623157e+308) -> []
  in (0.0, 43.5, 320.0, 1.5) -> []
  in (0.0, 43.5, 320.0, 1.51) -> []
  in (0.0, 43.0, 320.0, 2.0) -> []
  in (0.0, 43.0, 320.0, 1.99) -> []
  in (0.0, 10.0, 320.0, 34.99) -> []
  in (0.0, 10.0, 320.0, 35.0) -> []
  in (0.0, 10.0, 320.0, 35.01) -> []
  in (0.0, 0.0, 320.0, 0.5) -> []
  in (0.0, 43.99, 320.0, 0.02) -> []
  in (0.0, 44.0, 0.5, 44.0) -> []
  in (0.0, 44.0, 320.0, 44.5) -> []
  in (0.0, 44.0, 320.0, 45.0) -> []
  in (319.0, 0.0, 10.0, 10.0) -> []
  in (320.0, 0.0, 10.0, 10.0) -> []
  in (-10.0, 0.0, 10.0, 10.0) -> []
  in (-10.0, 0.0, 10.5, 10.0) -> []
  in (100.0, 0.0, 0.0, 0.0) -> []
  in (500.0, 0.0, 0.0, 0.0) -> []
style=1 rows=[2, 2] header=default contentSize=(320.0, 283.3333333333333)
  rect 0.0 = (0.0, 35.0, 320.0, 44.0)
  rect 0.1 = (0.0, 79.0, 320.0, 44.0)
  rect 1.0 = (0.0, 157.99999999999997, 320.0, 44.0)
  rect 1.1 = (0.0, 202.0, 320.0, 44.0)
  in (0.0, 0.0, 320.0, 200.0) -> [0.0 0.1 1.0]
  in (0.0, 44.0, 320.0, 44.0) -> [0.0 0.1]
  in (0.0, 43.5, 320.0, 1.0) -> [0.0]
  in (0.0, 88.0, 320.0, 0.0) -> [0.1]
  in (0.0, 44.0, 0.0, 44.0) -> [0.0 0.1]
  in (400.0, 0.0, 10.0, 10.0) -> []
  in (0.0, 1000.0, 320.0, 100.0) -> []
  in (0.0, -50.0, 320.0, 60.0) -> []
  in (0.0, 0.0, 0.0, 0.0) -> []
  in (inf, inf, 0.0, 0.0) -> []
  in (-8.988465674311579e+307, -8.988465674311579e+307, 1.7976931348623157e+308, 1.7976931348623157e+308) -> [0.0 0.1 1.0 1.1]
  in (0.0, 43.5, 320.0, 1.5) -> [0.0]
  in (0.0, 43.5, 320.0, 1.51) -> [0.0]
  in (0.0, 43.0, 320.0, 2.0) -> [0.0]
  in (0.0, 43.0, 320.0, 1.99) -> [0.0]
  in (0.0, 10.0, 320.0, 34.99) -> [0.0]
  in (0.0, 10.0, 320.0, 35.0) -> [0.0]
  in (0.0, 10.0, 320.0, 35.01) -> [0.0]
  in (0.0, 0.0, 320.0, 0.5) -> []
  in (0.0, 43.99, 320.0, 0.02) -> [0.0]
  in (0.0, 44.0, 0.5, 44.0) -> [0.0 0.1]
  in (0.0, 44.0, 320.0, 44.5) -> [0.0 0.1]
  in (0.0, 44.0, 320.0, 45.0) -> [0.0 0.1]
  in (319.0, 0.0, 10.0, 10.0) -> []
  in (320.0, 0.0, 10.0, 10.0) -> []
  in (-10.0, 0.0, 10.0, 10.0) -> []
  in (-10.0, 0.0, 10.5, 10.0) -> []
  in (100.0, 0.0, 0.0, 0.0) -> []
  in (500.0, 0.0, 0.0, 0.0) -> []
